District,Year,Method,Contraceptives,Gender,Number of user
Kailali,2067/68,Temporary Methods,IUD,,11510
Kailali,2067/68,Temporary Methods,Norplant,,2211
Kailali,2067/68,Permanent method,Sterilization,Male,32642
Kailali,2067/68,Permanent method,Sterilization,Female,4520
Kanchanpur,2067/68,Temporary Methods,Condom,,12
Kanchanpur,2067/68,Temporary Methods,Pills,,5221
Kanchanpur,2067/68,Temporary Methods,Depo,,3460
Kanchanpur,2067/68,Temporary Methods,IUD,,6168
Kanchanpur,2067/68,Temporary Methods,Norplant,,1786
Kanchanpur,2067/68,Permanent method,Sterilization,Male,18731
Kanchanpur,2067/68,Permanent method,Sterilization,Female,4095
Dadeldhura,2067/68,Temporary Methods,Condom,,12
Dadeldhura,2067/68,Temporary Methods,Pills,,1105
Dadeldhura,2067/68,Temporary Methods,Depo,,1933
Dadeldhura,2067/68,Temporary Methods,IUD,,1897
Dadeldhura,2067/68,Temporary Methods,Norplant,,147
Dadeldhura,2067/68,Permanent method,Sterilization,Male,5592
Dadeldhura,2067/68,Permanent method,Sterilization,Female,3137
Baitadi,2067/68,Temporary Methods,Condom,,12
Baitadi,2067/68,Temporary Methods,Pills,,3086
Baitadi,2067/68,Temporary Methods,Depo,,2227
Baitadi,2067/68,Temporary Methods,IUD,,3010
Baitadi,2067/68,Temporary Methods,Norplant,,486
Baitadi,2067/68,Permanent method,Sterilization,Male,10779
Baitadi,2067/68,Permanent method,Sterilization,Female,3858
Darchula,2067/68,Temporary Methods,Condom,,12
Darchula,2067/68,Temporary Methods,Pills,,1074
Darchula,2067/68,Temporary Methods,Depo,,610
Darchula,2067/68,Temporary Methods,IUD,,1677
Darchula,2067/68,Temporary Methods,Norplant,,110
Darchula,2067/68,Permanent method,Sterilization,Male,3638
Darchula,2067/68,Permanent method,Sterilization,Female,2480
Taplejung,2068/69,Temporary Methods,Condom,,750
Taplejung,2068/69,Temporary Methods,Pills,,1341
Taplejung,2068/69,Temporary Methods,Depo,,4539
Taplejung,2068/69,Temporary Methods,IUD,,938
Taplejung,2068/69,Temporary Methods,Norplant,,108
Taplejung,2068/69,Permanent method,Sterilization,Male,2019
Taplejung,2068/69,Permanent method,Sterilization,Female,3
Panchthar,2068/69,Temporary Methods,Condom,,1360
Panchthar,2068/69,Temporary Methods,Pills,,1922
Panchthar,2068/69,Temporary Methods,Depo,,4963
Panchthar,2068/69,Temporary Methods,IUD,,970
Panchthar,2068/69,Temporary Methods,Norplant,,871
Panchthar,2068/69,Permanent method,Sterilization,Male,1877
Panchthar,2068/69,Permanent method,Sterilization,Female,379
Ilam,2068/69,Temporary Methods,Condom,,2036
Ilam,2068/69,Temporary Methods,Pills,,6577
Ilam,2068/69,Temporary Methods,Depo,,12669
Ilam,2068/69,Temporary Methods,IUD,,1782
Ilam,2068/69,Temporary Methods,Norplant,,1225
Ilam,2068/69,Permanent method,Sterilization,Male,1967
Ilam,2068/69,Permanent method,Sterilization,Female,6913
Jhapa,2068/69,Temporary Methods,Condom,,3173
Jhapa,2068/69,Temporary Methods,Pills,,10184
Jhapa,2068/69,Temporary Methods,Depo,,19216
Jhapa,2068/69,Temporary Methods,IUD,,4513
Jhapa,2068/69,Temporary Methods,Norplant,,2730
Jhapa,2068/69,Permanent method,Sterilization,Male,9281
Jhapa,2068/69,Permanent method,Sterilization,Female,52792
Morang,2068/69,Temporary Methods,Condom,,4200
Morang,2068/69,Temporary Methods,Pills,,7806
Morang,2068/69,Temporary Methods,Depo,,18072
Morang,2068/69,Temporary Methods,IUD,,6196
Morang,2068/69,Temporary Methods,Norplant,,4316
Morang,2068/69,Permanent method,Sterilization,Male,5442
Morang,2068/69,Permanent method,Sterilization,Female,90392
Sunsari,2068/69,Temporary Methods,Condom,,4086
Sunsari,2068/69,Temporary Methods,Pills,,5484
Sunsari,2068/69,Temporary Methods,Depo,,12787
Sunsari,2068/69,Temporary Methods,IUD,,1794
Sunsari,2068/69,Temporary Methods,Norplant,,1667
Sunsari,2068/69,Permanent method,Sterilization,Male,3286
Sunsari,2068/69,Permanent method,Sterilization,Female,40046
Dhankuta,2068/69,Temporary Methods,Condom,,1375
Dhankuta,2068/69,Temporary Methods,Pills,,3029
Dhankuta,2068/69,Temporary Methods,Depo,,5398
Dhankuta,2068/69,Temporary Methods,IUD,,516
Dhankuta,2068/69,Temporary Methods,Norplant,,958
Dhankuta,2068/69,Permanent method,Sterilization,Male,1978
Dhankuta,2068/69,Permanent method,Sterilization,Female,1761
Teharthum,2068/69,Temporary Methods,Condom,,903
Teharthum,2068/69,Temporary Methods,Pills,,629
Teharthum,2068/69,Temporary Methods,Depo,,1873
Teharthum,2068/69,Temporary Methods,IUD,,341
Teharthum,2068/69,Temporary Methods,Norplant,,445
Teharthum,2068/69,Permanent method,Sterilization,Male,1813
Teharthum,2068/69,Permanent method,Sterilization,Female,146
Sankhuwasabha,2068/69,Temporary Methods,Condom,,913
Sankhuwasabha,2068/69,Temporary Methods,Pills,,665
Sankhuwasabha,2068/69,Temporary Methods,Depo,,3359
Sankhuwasabha,2068/69,Temporary Methods,IUD,,969
Sankhuwasabha,2068/69,Temporary Methods,Norplant,,1169
Sankhuwasabha,2068/69,Permanent method,Sterilization,Male,2846
Sankhuwasabha,2068/69,Permanent method,Sterilization,Female,54
Bhojpur,2068/69,Temporary Methods,Condom,,1316
Bhojpur,2068/69,Temporary Methods,Pills,,1617
Bhojpur,2068/69,Temporary Methods,Depo,,4427
Bhojpur,2068/69,Temporary Methods,IUD,,707
Bhojpur,2068/69,Temporary Methods,Norplant,,807
Bhojpur,2068/69,Permanent method,Sterilization,Male,2729
Bhojpur,2068/69,Permanent method,Sterilization,Female,133
Solukhumbu,2068/69,Temporary Methods,Condom,,1092
Solukhumbu,2068/69,Temporary Methods,Pills,,1318
Solukhumbu,2068/69,Temporary Methods,Depo,,5190
Solukhumbu,2068/69,Temporary Methods,IUD,,95
Solukhumbu,2068/69,Temporary Methods,Norplant,,686
Solukhumbu,2068/69,Permanent method,Sterilization,Male,858
Solukhumbu,2068/69,Permanent method,Sterilization,Female,185
Okhaldhunga,2068/69,Temporary Methods,Condom,,757
Okhaldhunga,2068/69,Temporary Methods,Pills,,1384
Okhaldhunga,2068/69,Temporary Methods,Depo,,5064
Okhaldhunga,2068/69,Temporary Methods,IUD,,403
Okhaldhunga,2068/69,Temporary Methods,Norplant,,1076
Okhaldhunga,2068/69,Permanent method,Sterilization,Male,2432
Okhaldhunga,2068/69,Permanent method,Sterilization,Female,295
Khotang,2068/69,Temporary Methods,Condom,,1134
Khotang,2068/69,Temporary Methods,Pills,,5199
Khotang,2068/69,Temporary Methods,Depo,,11591
Khotang,2068/69,Temporary Methods,IUD,,440
Khotang,2068/69,Temporary Methods,Norplant,,182
Khotang,2068/69,Permanent method,Sterilization,Male,2633
Khotang,2068/69,Permanent method,Sterilization,Female,213
Udaypur,2068/69,Temporary Methods,Condom,,882
Udaypur,2068/69,Temporary Methods,Pills,,1874
Udaypur,2068/69,Temporary Methods,Depo,,5676
Udaypur,2068/69,Temporary Methods,IUD,,279
Udaypur,2068/69,Temporary Methods,Norplant,,278
Udaypur,2068/69,Permanent method,Sterilization,Male,4376
Udaypur,2068/69,Permanent method,Sterilization,Female,4270
Saptari,2068/69,Temporary Methods,Condom,,3689
Saptari,2068/69,Temporary Methods,Pills,,5404
Saptari,2068/69,Temporary Methods,Depo,,12748
Saptari,2068/69,Temporary Methods,IUD,,745
Saptari,2068/69,Temporary Methods,Norplant,,0
Saptari,2068/69,Permanent method,Sterilization,Male,616
Saptari,2068/69,Permanent method,Sterilization,Female,56479
Siraha,2068/69,Temporary Methods,Condom,,3744
Siraha,2068/69,Temporary Methods,Pills,,2548
Siraha,2068/69,Temporary Methods,Depo,,6841
Siraha,2068/69,Temporary Methods,IUD,,1682
Siraha,2068/69,Temporary Methods,Norplant,,1721
Siraha,2068/69,Permanent method,Sterilization,Male,1210
Siraha,2068/69,Permanent method,Sterilization,Female,55475
Dhanusha,2068/69,Temporary Methods,Condom,,4140
Dhanusha,2068/69,Temporary Methods,Pills,,1948
Dhanusha,2068/69,Temporary Methods,Depo,,6241
Dhanusha,2068/69,Temporary Methods,IUD,,251
Dhanusha,2068/69,Temporary Methods,Norplant,,113
Dhanusha,2068/69,Permanent method,Sterilization,Male,1741
Dhanusha,2068/69,Permanent method,Sterilization,Female,78578
Mahottari,2068/69,Temporary Methods,Condom,,3423
Mahottari,2068/69,Temporary Methods,Pills,,5697
Mahottari,2068/69,Temporary Methods,Depo,,13679
Mahottari,2068/69,Temporary Methods,IUD,,1935
Mahottari,2068/69,Temporary Methods,Norplant,,500
Mahottari,2068/69,Permanent method,Sterilization,Male,463
Mahottari,2068/69,Permanent method,Sterilization,Female,53105
Sarlahi,2068/69,Temporary Methods,Condom,,3674
Sarlahi,2068/69,Temporary Methods,Pills,,5294
Sarlahi,2068/69,Temporary Methods,Depo,,6999
Sarlahi,2068/69,Temporary Methods,IUD,,3158
Sarlahi,2068/69,Temporary Methods,Norplant,,2541
Sarlahi,2068/69,Permanent method,Sterilization,Male,2754
Sarlahi,2068/69,Permanent method,Sterilization,Female,64877
Sindhuli,2068/69,Temporary Methods,Condom,,1315
Sindhuli,2068/69,Temporary Methods,Pills,,1987
Sindhuli,2068/69,Temporary Methods,Depo,,4725
Sindhuli,2068/69,Temporary Methods,IUD,,737
Sindhuli,2068/69,Temporary Methods,Norplant,,1277
Sindhuli,2068/69,Permanent method,Sterilization,Male,4517
Sindhuli,2068/69,Permanent method,Sterilization,Female,4905
Ramechhap,2068/69,Temporary Methods,Condom,,836
Ramechhap,2068/69,Temporary Methods,Pills,,642
Ramechhap,2068/69,Temporary Methods,Depo,,4848
Ramechhap,2068/69,Temporary Methods,IUD,,1249
Ramechhap,2068/69,Temporary Methods,Norplant,,1235
Ramechhap,2068/69,Permanent method,Sterilization,Male,3500
Ramechhap,2068/69,Permanent method,Sterilization,Female,197
Dolkha,2068/69,Temporary Methods,Condom,,879
Dolkha,2068/69,Temporary Methods,Pills,,809
Dolkha,2068/69,Temporary Methods,Depo,,3848
Dolkha,2068/69,Temporary Methods,IUD,,317
Dolkha,2068/69,Temporary Methods,Norplant,,695
Dolkha,2068/69,Permanent method,Sterilization,Male,4803
Dolkha,2068/69,Permanent method,Sterilization,Female,3146
Sindhupalchowk,2068/69,Temporary Methods,Condom,,1048
Sindhupalchowk,2068/69,Temporary Methods,Pills,,1382
Sindhupalchowk,2068/69,Temporary Methods,Depo,,8753
Sindhupalchowk,2068/69,Temporary Methods,IUD,,1454
Sindhupalchowk,2068/69,Temporary Methods,Norplant,,1180
Sindhupalchowk,2068/69,Permanent method,Sterilization,Male,7747
Sindhupalchowk,2068/69,Permanent method,Sterilization,Female,2105
Kavre,2068/69,Temporary Methods,Condom,,2631
Kavre,2068/69,Temporary Methods,Pills,,2030
Kavre,2068/69,Temporary Methods,Depo,,12574
Kavre,2068/69,Temporary Methods,IUD,,3986
Kavre,2068/69,Temporary Methods,Norplant,,7297
Kavre,2068/69,Permanent method,Sterilization,Male,9032
Kavre,2068/69,Permanent method,Sterilization,Female,9596
Lalitpur,2068/69,Temporary Methods,Condom,,2193
Lalitpur,2068/69,Temporary Methods,Pills,,2811
Lalitpur,2068/69,Temporary Methods,Depo,,12885
Lalitpur,2068/69,Temporary Methods,IUD,,5334
Lalitpur,2068/69,Temporary Methods,Norplant,,6149
Lalitpur,2068/69,Permanent method,Sterilization,Male,19490
Lalitpur,2068/69,Permanent method,Sterilization,Female,9792
Bhaktapur,2068/69,Temporary Methods,Condom,,813
Bhaktapur,2068/69,Temporary Methods,Pills,,1317
Bhaktapur,2068/69,Temporary Methods,Depo,,6157
Bhaktapur,2068/69,Temporary Methods,IUD,,2280
Bhaktapur,2068/69,Temporary Methods,Norplant,,1870
Bhaktapur,2068/69,Permanent method,Sterilization,Male,3804
Bhaktapur,2068/69,Permanent method,Sterilization,Female,8446
Kathmandu,2068/69,Temporary Methods,Condom,,3458
Kathmandu,2068/69,Temporary Methods,Pills,,7389
Kathmandu,2068/69,Temporary Methods,Depo,,28779
Kathmandu,2068/69,Temporary Methods,IUD,,13924
Kathmandu,2068/69,Temporary Methods,Norplant,,8890
Kathmandu,2068/69,Permanent method,Sterilization,Male,19406
Kathmandu,2068/69,Permanent method,Sterilization,Female,32458
Nuwakot,2068/69,Temporary Methods,Condom,,1190
Nuwakot,2068/69,Temporary Methods,Pills,,1175
Nuwakot,2068/69,Temporary Methods,Depo,,5775
Nuwakot,2068/69,Temporary Methods,IUD,,996
Nuwakot,2068/69,Temporary Methods,Norplant,,836
Nuwakot,2068/69,Permanent method,Sterilization,Male,7647
Nuwakot,2068/69,Permanent method,Sterilization,Female,7337
Rasuwa,2068/69,Temporary Methods,Condom,,542
Rasuwa,2068/69,Temporary Methods,Pills,,163
Rasuwa,2068/69,Temporary Methods,Depo,,873
Rasuwa,2068/69,Temporary Methods,IUD,,51
Rasuwa,2068/69,Temporary Methods,Norplant,,417
Rasuwa,2068/69,Permanent method,Sterilization,Male,1908
Rasuwa,2068/69,Permanent method,Sterilization,Female,695
Dhading,2068/69,Temporary Methods,Condom,,4124
Dhading,2068/69,Temporary Methods,Pills,,3741
Dhading,2068/69,Temporary Methods,Depo,,11475
Dhading,2068/69,Temporary Methods,IUD,,2361
Dhading,2068/69,Temporary Methods,Norplant,,3323
Dhading,2068/69,Permanent method,Sterilization,Male,9526
Dhading,2068/69,Permanent method,Sterilization,Female,1630
Makawanpur,2068/69,Temporary Methods,Condom,,3016
Makawanpur,2068/69,Temporary Methods,Pills,,1703
Makawanpur,2068/69,Temporary Methods,Depo,,8626
Makawanpur,2068/69,Temporary Methods,IUD,,1124
Makawanpur,2068/69,Temporary Methods,Norplant,,4320
Makawanpur,2068/69,Permanent method,Sterilization,Male,29067
Makawanpur,2068/69,Permanent method,Sterilization,Female,3922
Rautahat,2068/69,Temporary Methods,Condom,,3224
Rautahat,2068/69,Temporary Methods,Pills,,1559
Rautahat,2068/69,Temporary Methods,Depo,,3817
Rautahat,2068/69,Temporary Methods,IUD,,1020
Rautahat,2068/69,Temporary Methods,Norplant,,830
Rautahat,2068/69,Permanent method,Sterilization,Male,771
Rautahat,2068/69,Permanent method,Sterilization,Female,58316
Bara,2068/69,Temporary Methods,Condom,,3654
Bara,2068/69,Temporary Methods,Pills,,1817
Bara,2068/69,Temporary Methods,Depo,,7908
Bara,2068/69,Temporary Methods,IUD,,2113
Bara,2068/69,Temporary Methods,Norplant,,1369
Bara,2068/69,Permanent method,Sterilization,Male,2056
Bara,2068/69,Permanent method,Sterilization,Female,40530
Parsa,2068/69,Temporary Methods,Condom,,2382
Parsa,2068/69,Temporary Methods,Pills,,919
Parsa,2068/69,Temporary Methods,Depo,,4128
Parsa,2068/69,Temporary Methods,IUD,,382
Parsa,2068/69,Temporary Methods,Norplant,,455
Parsa,2068/69,Permanent method,Sterilization,Male,3119
Parsa,2068/69,Permanent method,Sterilization,Female,71299
Chitwan,2068/69,Temporary Methods,Condom,,3045
Chitwan,2068/69,Temporary Methods,Pills,,2807
Chitwan,2068/69,Temporary Methods,Depo,,5148
Chitwan,2068/69,Temporary Methods,IUD,,2958
Chitwan,2068/69,Temporary Methods,Norplant,,1935
Chitwan,2068/69,Permanent method,Sterilization,Male,26275
Chitwan,2068/69,Permanent method,Sterilization,Female,12759
Gorkha,2068/69,Temporary Methods,Condom,,1153
Gorkha,2068/69,Temporary Methods,Pills,,959
Gorkha,2068/69,Temporary Methods,Depo,,3709
Gorkha,2068/69,Temporary Methods,IUD,,444
Gorkha,2068/69,Temporary Methods,Norplant,,292
Gorkha,2068/69,Permanent method,Sterilization,Male,6465
Gorkha,2068/69,Permanent method,Sterilization,Female,6086
Lamjung,2068/69,Temporary Methods,Condom,,1528
Lamjung,2068/69,Temporary Methods,Pills,,888
Lamjung,2068/69,Temporary Methods,Depo,,2047
Lamjung,2068/69,Temporary Methods,IUD,,728
Lamjung,2068/69,Temporary Methods,Norplant,,514
Lamjung,2068/69,Permanent method,Sterilization,Male,5952
Lamjung,2068/69,Permanent method,Sterilization,Female,2119
Tanahu,2068/69,Temporary Methods,Condom,,2127
Tanahu,2068/69,Temporary Methods,Pills,,1181
Tanahu,2068/69,Temporary Methods,Depo,,2807
Tanahu,2068/69,Temporary Methods,IUD,,2148
Tanahu,2068/69,Temporary Methods,Norplant,,645
Tanahu,2068/69,Permanent method,Sterilization,Male,7445
Tanahu,2068/69,Permanent method,Sterilization,Female,6292
Syangja,2068/69,Temporary Methods,Condom,,1854
Syangja,2068/69,Temporary Methods,Pills,,1907
Syangja,2068/69,Temporary Methods,Depo,,2468
Syangja,2068/69,Temporary Methods,IUD,,521
Syangja,2068/69,Temporary Methods,Norplant,,58
Syangja,2068/69,Permanent method,Sterilization,Male,4357
Syangja,2068/69,Permanent method,Sterilization,Female,9422
Kaski,2068/69,Temporary Methods,Condom,,2906
Kaski,2068/69,Temporary Methods,Pills,,3690
Kaski,2068/69,Temporary Methods,Depo,,5009
Kaski,2068/69,Temporary Methods,IUD,,3256
Kaski,2068/69,Temporary Methods,Norplant,,1626
Kaski,2068/69,Permanent method,Sterilization,Male,12991
Kaski,2068/69,Permanent method,Sterilization,Female,11155
Manang,2068/69,Temporary Methods,Condom,,141
Manang,2068/69,Temporary Methods,Pills,,65
Manang,2068/69,Temporary Methods,Depo,,124
Manang,2068/69,Temporary Methods,IUD,,9
Manang,2068/69,Temporary Methods,Norplant,,171
Manang,2068/69,Permanent method,Sterilization,Male,194
Manang,2068/69,Permanent method,Sterilization,Female,17
Mustang,2068/69,Temporary Methods,Condom,,227
Mustang,2068/69,Temporary Methods,Pills,,135
Mustang,2068/69,Temporary Methods,Depo,,369
Mustang,2068/69,Temporary Methods,IUD,,131
Mustang,2068/69,Temporary Methods,Norplant,,187
Mustang,2068/69,Permanent method,Sterilization,Male,322
Mustang,2068/69,Permanent method,Sterilization,Female,260
Myagdi,2068/69,Temporary Methods,Condom,,1436
Myagdi,2068/69,Temporary Methods,Pills,,556
Myagdi,2068/69,Temporary Methods,Depo,,1710
Myagdi,2068/69,Temporary Methods,IUD,,922
Myagdi,2068/69,Temporary Methods,Norplant,,606
Myagdi,2068/69,Permanent method,Sterilization,Male,3087
Myagdi,2068/69,Permanent method,Sterilization,Female,931
Parbat,2068/69,Temporary Methods,Condom,,1154
Parbat,2068/69,Temporary Methods,Pills,,712
Parbat,2068/69,Temporary Methods,Depo,,1192
Parbat,2068/69,Temporary Methods,IUD,,469
Parbat,2068/69,Temporary Methods,Norplant,,532
Parbat,2068/69,Permanent method,Sterilization,Male,4293
Parbat,2068/69,Permanent method,Sterilization,Female,1051
Baglung,2068/69,Temporary Methods,Condom,,1742
Baglung,2068/69,Temporary Methods,Pills,,2660
Baglung,2068/69,Temporary Methods,Depo,,2446
Baglung,2068/69,Temporary Methods,IUD,,1396
Baglung,2068/69,Temporary Methods,Norplant,,436
Baglung,2068/69,Permanent method,Sterilization,Male,6272
Baglung,2068/69,Permanent method,Sterilization,Female,3474
Gulmi,2068/69,Temporary Methods,Condom,,3821
Gulmi,2068/69,Temporary Methods,Pills,,1994
Gulmi,2068/69,Temporary Methods,Depo,,4340
Gulmi,2068/69,Temporary Methods,IUD,,1542
Gulmi,2068/69,Temporary Methods,Norplant,,1421
Gulmi,2068/69,Permanent method,Sterilization,Male,3598
Gulmi,2068/69,Permanent method,Sterilization,Female,5900
Palpa,2068/69,Temporary Methods,Condom,,1970
Palpa,2068/69,Temporary Methods,Pills,,1599
Palpa,2068/69,Temporary Methods,Depo,,3750
Palpa,2068/69,Temporary Methods,IUD,,814
Palpa,2068/69,Temporary Methods,Norplant,,1438
Palpa,2068/69,Permanent method,Sterilization,Male,5393
Palpa,2068/69,Permanent method,Sterilization,Female,8367
Nawalparasi,2068/69,Temporary Methods,Condom,,4536
Nawalparasi,2068/69,Temporary Methods,Pills,,3036
Nawalparasi,2068/69,Temporary Methods,Depo,,7978
Nawalparasi,2068/69,Temporary Methods,IUD,,1533
Nawalparasi,2068/69,Temporary Methods,Norplant,,703
Nawalparasi,2068/69,Permanent method,Sterilization,Male,8551
Nawalparasi,2068/69,Permanent method,Sterilization,Female,30284
Rupandehi,2068/69,Temporary Methods,Condom,,5665
Rupandehi,2068/69,Temporary Methods,Pills,,5028
Rupandehi,2068/69,Temporary Methods,Depo,,11193
Rupandehi,2068/69,Temporary Methods,IUD,,1637
Rupandehi,2068/69,Temporary Methods,Norplant,,1275
Rupandehi,2068/69,Permanent method,Sterilization,Male,2544
Rupandehi,2068/69,Permanent method,Sterilization,Female,29006
Kapilvastu,2068/69,Temporary Methods,Condom,,3236
Kapilvastu,2068/69,Temporary Methods,Pills,,2449
Kapilvastu,2068/69,Temporary Methods,Depo,,10045
Kapilvastu,2068/69,Temporary Methods,IUD,,1388
Kapilvastu,2068/69,Temporary Methods,Norplant,,807
Kapilvastu,2068/69,Permanent method,Sterilization,Male,1825
Kapilvastu,2068/69,Permanent method,Sterilization,Female,13411
Arghakhanchi,2068/69,Temporary Methods,Condom,,1813
Arghakhanchi,2068/69,Temporary Methods,Pills,,1017
Arghakhanchi,2068/69,Temporary Methods,Depo,,1378
Arghakhanchi,2068/69,Temporary Methods,IUD,,405
Arghakhanchi,2068/69,Temporary Methods,Norplant,,498
Arghakhanchi,2068/69,Permanent method,Sterilization,Male,3134
Arghakhanchi,2068/69,Permanent method,Sterilization,Female,2794
Pyuthan,2068/69,Temporary Methods,Condom,,4353
Pyuthan,2068/69,Temporary Methods,Pills,,3586
Pyuthan,2068/69,Temporary Methods,Depo,,5522
Pyuthan,2068/69,Temporary Methods,IUD,,678
Pyuthan,2068/69,Temporary Methods,Norplant,,658
Pyuthan,2068/69,Permanent method,Sterilization,Male,3032
Pyuthan,2068/69,Permanent method,Sterilization,Female,2069
Rolpa,2068/69,Temporary Methods,Condom,,3979
Rolpa,2068/69,Temporary Methods,Pills,,1472
Rolpa,2068/69,Temporary Methods,Depo,,4332
Rolpa,2068/69,Temporary Methods,IUD,,1148
Rolpa,2068/69,Temporary Methods,Norplant,,4403
Rolpa,2068/69,Permanent method,Sterilization,Male,3589
Rolpa,2068/69,Permanent method,Sterilization,Female,107
Rukum,2068/69,Temporary Methods,Condom,,829
Rukum,2068/69,Temporary Methods,Pills,,1612
Rukum,2068/69,Temporary Methods,Depo,,4448
Rukum,2068/69,Temporary Methods,IUD,,172
Rukum,2068/69,Temporary Methods,Norplant,,335
Rukum,2068/69,Permanent method,Sterilization,Male,3605
Rukum,2068/69,Permanent method,Sterilization,Female,214
Salyan,2068/69,Temporary Methods,Condom,,1924
Salyan,2068/69,Temporary Methods,Pills,,965
Salyan,2068/69,Temporary Methods,Depo,,4540
Salyan,2068/69,Temporary Methods,IUD,,1196
Salyan,2068/69,Temporary Methods,Norplant,,1535
Salyan,2068/69,Permanent method,Sterilization,Male,5669
Salyan,2068/69,Permanent method,Sterilization,Female,815
Dang,2068/69,Temporary Methods,Condom,,3922
Dang,2068/69,Temporary Methods,Pills,,5408
Dang,2068/69,Temporary Methods,Depo,,12904
Dang,2068/69,Temporary Methods,IUD,,5884
Dang,2068/69,Temporary Methods,Norplant,,1356
Dang,2068/69,Permanent method,Sterilization,Male,4078
Dang,2068/69,Permanent method,Sterilization,Female,19884
Banke,2068/69,Temporary Methods,Condom,,4462
Banke,2068/69,Temporary Methods,Pills,,3000
Banke,2068/69,Temporary Methods,Depo,,8708
Banke,2068/69,Temporary Methods,IUD,,2720
Banke,2068/69,Temporary Methods,Norplant,,2770
Banke,2068/69,Permanent method,Sterilization,Male,6376
Banke,2068/69,Permanent method,Sterilization,Female,16565
Bardiya,2068/69,Temporary Methods,Condom,,5603
Bardiya,2068/69,Temporary Methods,Pills,,2210
Bardiya,2068/69,Temporary Methods,Depo,,5879
Bardiya,2068/69,Temporary Methods,IUD,,3981
Bardiya,2068/69,Temporary Methods,Norplant,,3358
Bardiya,2068/69,Permanent method,Sterilization,Male,3149
Bardiya,2068/69,Permanent method,Sterilization,Female,25428
Surkhet,2068/69,Temporary Methods,Condom,,3934
Surkhet,2068/69,Temporary Methods,Pills,,2826
Surkhet,2068/69,Temporary Methods,Depo,,5158
Surkhet,2068/69,Temporary Methods,IUD,,2504
Surkhet,2068/69,Temporary Methods,Norplant,,1639
Surkhet,2068/69,Permanent method,Sterilization,Male,12135
Surkhet,2068/69,Permanent method,Sterilization,Female,10334
Dailekh,2068/69,Temporary Methods,Condom,,3224
Dailekh,2068/69,Temporary Methods,Pills,,1767
Dailekh,2068/69,Temporary Methods,Depo,,3469
Dailekh,2068/69,Temporary Methods,IUD,,1031
Dailekh,2068/69,Temporary Methods,Norplant,,2470
Dailekh,2068/69,Permanent method,Sterilization,Male,6294
Dailekh,2068/69,Permanent method,Sterilization,Female,77
Jajarkot,2068/69,Temporary Methods,Condom,,670
Jajarkot,2068/69,Temporary Methods,Pills,,908
Jajarkot,2068/69,Temporary Methods,Depo,,2789
Jajarkot,2068/69,Temporary Methods,IUD,,258
Jajarkot,2068/69,Temporary Methods,Norplant,,227
Jajarkot,2068/69,Permanent method,Sterilization,Male,3521
Jajarkot,2068/69,Permanent method,Sterilization,Female,213
Dolpa,2068/69,Temporary Methods,Condom,,840
Dolpa,2068/69,Temporary Methods,Pills,,351
Dolpa,2068/69,Temporary Methods,Depo,,528
Dolpa,2068/69,Temporary Methods,IUD,,72
Dolpa,2068/69,Temporary Methods,Norplant,,0
Dolpa,2068/69,Permanent method,Sterilization,Male,786
Dolpa,2068/69,Permanent method,Sterilization,Female,12
Jumla,2068/69,Temporary Methods,Condom,,1478
Jumla,2068/69,Temporary Methods,Pills,,366
Jumla,2068/69,Temporary Methods,Depo,,863
Jumla,2068/69,Temporary Methods,IUD,,456
Jumla,2068/69,Temporary Methods,Norplant,,612
Jumla,2068/69,Permanent method,Sterilization,Male,5422
Jumla,2068/69,Permanent method,Sterilization,Female,219
Kalikot,2068/69,Temporary Methods,Condom,,1391
Kalikot,2068/69,Temporary Methods,Pills,,575
Kalikot,2068/69,Temporary Methods,Depo,,1201
Kalikot,2068/69,Temporary Methods,IUD,,234
Kalikot,2068/69,Temporary Methods,Norplant,,795
Kalikot,2068/69,Permanent method,Sterilization,Male,2309
Kalikot,2068/69,Permanent method,Sterilization,Female,8
Mugu,2068/69,Temporary Methods,Condom,,382
Mugu,2068/69,Temporary Methods,Pills,,96
Mugu,2068/69,Temporary Methods,Depo,,487
Mugu,2068/69,Temporary Methods,IUD,,83
Mugu,2068/69,Temporary Methods,Norplant,,134
Mugu,2068/69,Permanent method,Sterilization,Male,1775
Mugu,2068/69,Permanent method,Sterilization,Female,30
Humla,2068/69,Temporary Methods,Condom,,275
Humla,2068/69,Temporary Methods,Pills,,360
Humla,2068/69,Temporary Methods,Depo,,1016
Humla,2068/69,Temporary Methods,IUD,,90
Humla,2068/69,Temporary Methods,Norplant,,400
Humla,2068/69,Permanent method,Sterilization,Male,1274
Humla,2068/69,Permanent method,Sterilization,Female,54
Bajura,2068/69,Temporary Methods,Condom,,1304
Bajura,2068/69,Temporary Methods,Pills,,804
Bajura,2068/69,Temporary Methods,Depo,,1528
Bajura,2068/69,Temporary Methods,IUD,,304
Bajura,2068/69,Temporary Methods,Norplant,,675
Bajura,2068/69,Permanent method,Sterilization,Male,3265
Bajura,2068/69,Permanent method,Sterilization,Female,383
Bajhang,2068/69,Temporary Methods,Condom,,1874
Bajhang,2068/69,Temporary Methods,Pills,,429
Bajhang,2068/69,Temporary Methods,Depo,,2055
Bajhang,2068/69,Temporary Methods,IUD,,218
Bajhang,2068/69,Temporary Methods,Norplant,,656
Bajhang,2068/69,Permanent method,Sterilization,Male,4401
