Year,District,Communicable and infectious disease,Number of people
2010/011,Gulmi,Upper respiratory Tract infection,19391
2010/011,Gulmi,Pneumonia,10246
2010/011,Gulmi,Server Pneumonia,519
2010/011,Gulmi,Bronchitis,9200
2010/011,Gulmi,Asthma,6439
2010/011,Gulmi,Urinary Tract infection,7084
2010/011,Gulmi,Viral Influenza,7713
2010/011,Gulmi,Reproductive Tract Infection male,144
2010/011,Gulmi,Reproductive tract infection female,328
2010/011,Palpa,ARI /Lower respiratory tract infection,15285
2010/011,Palpa,Upper respiratory Tract infection,13082
2010/011,Palpa,Pneumonia,6236
2010/011,Palpa,Server Pneumonia,123
2010/011,Palpa,Bronchitis,6685
2010/011,Palpa,Asthma,6813
2010/011,Palpa,Urinary Tract infection,8072
2010/011,Palpa,Viral Influenza,4094
2010/011,Palpa,Reproductive Tract Infection male,60
2010/011,Palpa,Reproductive tract infection female,104
2010/011,Nawalparasi,ARI /Lower respiratory tract infection,22699
2010/011,Nawalparasi,Upper respiratory Tract infection,25136
2010/011,Nawalparasi,Pneumonia,10309
2010/011,Nawalparasi,Server Pneumonia,209
2010/011,Nawalparasi,Bronchitis,5083
2010/011,Nawalparasi,Asthma,7379
2010/011,Nawalparasi,Urinary Tract infection,4429
2010/011,Nawalparasi,Viral Influenza,1964
2010/011,Nawalparasi,Reproductive Tract Infection male,71
2010/011,Nawalparasi,Reproductive tract infection female,119
2010/011,Rupandehi,ARI /Lower respiratory tract infection,0
2010/011,Rupandehi,Upper respiratory Tract infection,0
2010/011,Rupandehi,Pneumonia,0
2010/011,Rupandehi,Server Pneumonia,0
2010/011,Rupandehi,Bronchitis,0
2010/011,Rupandehi,Asthma,0
2010/011,Rupandehi,Urinary Tract infection,0
2010/011,Rupandehi,Viral Influenza,0
2010/011,Rupandehi,Reproductive Tract Infection male,0
2010/011,Rupandehi,Reproductive tract infection female,0
2010/011,Kapilvastu,ARI /Lower respiratory tract infection,15969
2010/011,Kapilvastu,Upper respiratory Tract infection,20758
2010/011,Kapilvastu,Pneumonia,8081
2010/011,Kapilvastu,Server Pneumonia,1036
2010/011,Kapilvastu,Bronchitis,9069
2010/011,Kapilvastu,Asthma,9102
2010/011,Kapilvastu,Urinary Tract infection,6042
2010/011,Kapilvastu,Viral Influenza,2523
2010/011,Kapilvastu,Reproductive Tract Infection male,331
2010/011,Kapilvastu,Reproductive tract infection female,733
2010/011,Arghakhanchi,ARI /Lower respiratory tract infection,9668
2010/011,Arghakhanchi,Upper respiratory Tract infection,7581
2010/011,Arghakhanchi,Pneumonia,6266
2010/011,Arghakhanchi,Server Pneumonia,168
2010/011,Arghakhanchi,Bronchitis,4876
2010/011,Arghakhanchi,Asthma,4299
2010/011,Arghakhanchi,Urinary Tract infection,3278
2010/011,Arghakhanchi,Viral Influenza,2442
2010/011,Arghakhanchi,Reproductive Tract Infection male,548
2010/011,Arghakhanchi,Reproductive tract infection female,687
2010/011,Pyuthan,ARI /Lower respiratory tract infection,9817
2010/011,Pyuthan,Upper respiratory Tract infection,12117
2010/011,Pyuthan,Pneumonia,6529
2010/011,Pyuthan,Server Pneumonia,420
2010/011,Pyuthan,Bronchitis,4366
2010/011,Pyuthan,Asthma,4727
2010/011,Pyuthan,Urinary Tract infection,2951
2010/011,Pyuthan,Viral Influenza,103
2010/011,Pyuthan,Reproductive Tract Infection male,31
2010/011,Pyuthan,Reproductive tract infection female,132
2010/011,Rolpa,ARI /Lower respiratory tract infection,11114
2010/011,Rolpa,Upper respiratory Tract infection,9638
2010/011,Rolpa,Pneumonia,5977
2010/011,Rolpa,Server Pneumonia,167
2010/011,Rolpa,Bronchitis,2528
2010/011,Rolpa,Asthma,3040
2010/011,Rolpa,Urinary Tract infection,2754
2010/011,Rolpa,Viral Influenza,384
2010/011,Rolpa,Reproductive Tract Infection male,11
2010/011,Rolpa,Reproductive tract infection female,47
2010/011,Rukum,ARI /Lower respiratory tract infection,11619
2010/011,Rukum,Upper respiratory Tract infection,10467
2010/011,Rukum,Pneumonia,5931
2010/011,Rukum,Server Pneumonia,646
2010/011,Rukum,Bronchitis,4310
2010/011,Rukum,Asthma,3303
2010/011,Rukum,Urinary Tract infection,3667
2010/011,Rukum,Viral Influenza,164
2010/011,Rukum,Reproductive Tract Infection male,121
2010/011,Rukum,Reproductive tract infection female,158
2010/011,Salyan,ARI /Lower respiratory tract infection,13642
2010/011,Salyan,Upper respiratory Tract infection,12816
2010/011,Salyan,Pneumonia,5891
2010/011,Salyan,Server Pneumonia,638
2010/011,Salyan,Bronchitis,3411
2010/011,Salyan,Asthma,6136
2010/011,Salyan,Urinary Tract infection,4232
2010/011,Salyan,Viral Influenza,677
2010/011,Salyan,Reproductive Tract Infection male,61
2010/011,Salyan,Reproductive tract infection female,260
2010/011,Dang,ARI /Lower respiratory tract infection,17187
2010/011,Dang,Upper respiratory Tract infection,16331
2010/011,Dang,Pneumonia,7474
2010/011,Dang,Server Pneumonia,475
2010/011,Dang,Bronchitis,5494
2010/011,Dang,Asthma,9412
2010/011,Dang,Urinary Tract infection,4886
2010/011,Dang,Viral Influenza,2659
2010/011,Dang,Reproductive Tract Infection male,123
2010/011,Dang,Reproductive tract infection female,143
2010/011,Banke,ARI /Lower respiratory tract infection,20410
2010/011,Banke,Upper respiratory Tract infection,22316
2010/011,Banke,Pneumonia,8976
2010/011,Banke,Server Pneumonia,347
2010/011,Banke,Bronchitis,3038
2010/011,Banke,Asthma,5445
2010/011,Banke,Urinary Tract infection,3395
2010/011,Banke,Viral Influenza,5671
2010/011,Banke,Reproductive Tract Infection male,39
2010/011,Banke,Reproductive tract infection female,115
2010/011,Bardiya,ARI /Lower respiratory tract infection,19076
2010/011,Bardiya,Upper respiratory Tract infection,25377
2010/011,Bardiya,Pneumonia,7375
2010/011,Bardiya,Server Pneumonia,280
2010/011,Bardiya,Bronchitis,8434
2010/011,Bardiya,Asthma,6625
2010/011,Bardiya,Urinary Tract infection,7256
2010/011,Bardiya,Viral Influenza,4252
2010/011,Bardiya,Reproductive Tract Infection male,366
2010/011,Bardiya,Reproductive tract infection female,649
2010/011,Surkhet,ARI /Lower respiratory tract infection,19185
2010/011,Surkhet,Upper respiratory Tract infection,23551
2010/011,Surkhet,Pneumonia,9005
2010/011,Surkhet,Server Pneumonia,351
2010/011,Surkhet,Bronchitis,4133
2010/011,Surkhet,Asthma,6222
2010/011,Surkhet,Urinary Tract infection,6197
2010/011,Surkhet,Viral Influenza,5287
2010/011,Surkhet,Reproductive Tract Infection male,120
2010/011,Surkhet,Reproductive tract infection female,178
2010/011,Dailekh,ARI /Lower respiratory tract infection,24385
2010/011,Dailekh,Upper respiratory Tract infection,17611
2010/011,Dailekh,Pneumonia,7114
2010/011,Dailekh,Server Pneumonia,300
2010/011,Dailekh,Bronchitis,4196
2010/011,Dailekh,Asthma,5758
2010/011,Dailekh,Urinary Tract infection,3648
2010/011,Dailekh,Viral Influenza,109
2010/011,Dailekh,Reproductive Tract Infection male,72
2010/011,Dailekh,Reproductive tract infection female,137
2010/011,Jajarkot,ARI /Lower respiratory tract infection,6480
2010/011,Jajarkot,Upper respiratory Tract infection,10432
2010/011,Jajarkot,Pneumonia,3352
2010/011,Jajarkot,Server Pneumonia,522
2010/011,Jajarkot,Bronchitis,2191
2010/011,Jajarkot,Asthma,3631
2010/011,Jajarkot,Urinary Tract infection,3674
2010/011,Jajarkot,Viral Influenza,856
2010/011,Jajarkot,Reproductive Tract Infection male,156
2010/011,Jajarkot,Reproductive tract infection female,324
2010/011,Dolpa,ARI /Lower respiratory tract infection,1117
2010/011,Dolpa,Upper respiratory Tract infection,1391
2010/011,Dolpa,Pneumonia,634
2010/011,Dolpa,Server Pneumonia,36
2010/011,Dolpa,Bronchitis,227
2010/011,Dolpa,Asthma,371
2010/011,Dolpa,Urinary Tract infection,388
2010/011,Dolpa,Viral Influenza,97
2010/011,Dolpa,Reproductive Tract Infection male,52
2010/011,Dolpa,Reproductive tract infection female,68
2010/011,Jumla,ARI /Lower respiratory tract infection,5034
2010/011,Jumla,Upper respiratory Tract infection,6350
2010/011,Jumla,Pneumonia,2353
2010/011,Jumla,Server Pneumonia,155
2010/011,Jumla,Bronchitis,1112
2010/011,Jumla,Asthma,1688
2010/011,Jumla,Urinary Tract infection,981
2010/011,Jumla,Viral Influenza,133
2010/011,Jumla,Reproductive Tract Infection male,16
2010/011,Jumla,Reproductive tract infection female,23
2010/011,Kalikot,ARI /Lower respiratory tract infection,3335
2010/011,Kalikot,Upper respiratory Tract infection,3719
2010/011,Kalikot,Pneumonia,2040
2010/011,Kalikot,Server Pneumonia,237
2010/011,Kalikot,Bronchitis,1886
2010/011,Kalikot,Asthma,2299
2010/011,Kalikot,Urinary Tract infection,1629
2010/011,Kalikot,Viral Influenza,674
2010/011,Kalikot,Reproductive Tract Infection male,38
2010/011,Kalikot,Reproductive tract infection female,95
2010/011,Mugu,ARI /Lower respiratory tract infection,2880
2010/011,Mugu,Upper respiratory Tract infection,2565
2010/011,Mugu,Pneumonia,1421
2010/011,Mugu,Server Pneumonia,151
2010/011,Mugu,Bronchitis,1010
2010/011,Mugu,Asthma,1346
2010/011,Mugu,Urinary Tract infection,1171
2010/011,Mugu,Viral Influenza,41
2010/011,Mugu,Reproductive Tract Infection male,72
2010/011,Mugu,Reproductive tract infection female,127
2010/011,Humla,ARI /Lower respiratory tract infection,4064
2010/011,Humla,Upper respiratory Tract infection,4182
2010/011,Humla,Pneumonia,2426
2010/011,Humla,Server Pneumonia,257
2010/011,Humla,Bronchitis,1394
2010/011,Humla,Asthma,2340
2010/011,Humla,Urinary Tract infection,1395
2010/011,Humla,Viral Influenza,957
2010/011,Humla,Reproductive Tract Infection male,97
2010/011,Humla,Reproductive tract infection female,115
2010/011,Bajura,ARI /Lower respiratory tract infection,5186
2010/011,Bajura,Upper respiratory Tract infection,5747
2010/011,Bajura,Pneumonia,4358
2010/011,Bajura,Server Pneumonia,250
2010/011,Bajura,Bronchitis,1431
2010/011,Bajura,Asthma,3223
2010/011,Bajura,Urinary Tract infection,2115
2010/011,Bajura,Viral Influenza,1793
2010/011,Bajura,Reproductive Tract Infection male,8
2010/011,Bajura,Reproductive tract infection female,24
2010/011,Bajhang,ARI /Lower respiratory tract infection,7484
2010/011,Bajhang,Upper respiratory Tract infection,9251
2010/011,Bajhang,Pneumonia,3913
2010/011,Bajhang,Server Pneumonia,239
2010/011,Bajhang,Bronchitis,1881
2010/011,Bajhang,Asthma,3049
2010/011,Bajhang,Urinary Tract infection,2972
2010/011,Bajhang,Viral Influenza,620
2010/011,Bajhang,Reproductive Tract Infection male,38
2010/011,Bajhang,Reproductive tract infection female,65
2010/011,Achham,ARI /Lower respiratory tract infection,21794
2010/011,Achham,Upper respiratory Tract infection,22092
2010/011,Achham,Pneumonia,6270
2010/011,Achham,Server Pneumonia,406
2010/011,Achham,Bronchitis,2624
2010/011,Achham,Asthma,6146
2010/011,Achham,Urinary Tract infection,4745
2010/011,Achham,Viral Influenza,769
2010/011,Achham,Reproductive Tract Infection male,91
2010/011,Achham,Reproductive tract infection female,106
2010/011,Doti,ARI /Lower respiratory tract infection,11224
2010/011,Doti,Upper respiratory Tract infection,12834
2010/011,Doti,Pneumonia,3493
2010/011,Doti,Server Pneumonia,154
2010/011,Doti,Bronchitis,2002
2010/011,Doti,Asthma,4779
2010/011,Doti,Urinary Tract infection,2387
2010/011,Doti,Viral Influenza,699
2010/011,Doti,Reproductive Tract Infection male,25
2010/011,Doti,Reproductive tract infection female,9
2010/011,Kailali,ARI /Lower respiratory tract infection,31224
2010/011,Kailali,Upper respiratory Tract infection,18795
2010/011,Kailali,Pneumonia,7343
2010/011,Kailali,Server Pneumonia,754
2010/011,Kailali,Bronchitis,3744
2010/011,Kailali,Asthma,6235
2010/011,Kailali,Urinary Tract infection,6580
2010/011,Kailali,Viral Influenza,2509
2010/011,Kailali,Reproductive Tract Infection male,167
2010/011,Kailali,Reproductive tract infection female,443
2010/011,Kanchanpur,ARI /Lower respiratory tract infection,17682
2010/011,Kanchanpur,Upper respiratory Tract infection,17489
2010/011,Kanchanpur,Pneumonia,7849
2010/011,Kanchanpur,Server Pneumonia,202
2010/011,Kanchanpur,Bronchitis,3935
2010/011,Kanchanpur,Asthma,5102
2010/011,Kanchanpur,Urinary Tract infection,4682
2010/011,Kanchanpur,Viral Influenza,8789
2010/011,Kanchanpur,Reproductive Tract Infection male,93
2010/011,Kanchanpur,Reproductive tract infection female,254
2010/011,Dadeldhura,ARI /Lower respiratory tract infection,11811
2010/011,Dadeldhura,Upper respiratory Tract infection,11226
2010/011,Dadeldhura,Pneumonia,4503
2010/011,Dadeldhura,Server Pneumonia,467
2010/011,Dadeldhura,Bronchitis,1340
2010/011,Dadeldhura,Asthma,3773
2010/011,Dadeldhura,Urinary Tract infection,3607
2010/011,Dadeldhura,Viral Influenza,2236
2010/011,Dadeldhura,Reproductive Tract Infection male,114
2010/011,Dadeldhura,Reproductive tract infection female,187
2010/011,Baitadi,ARI /Lower respiratory tract infection,14764
2010/011,Baitadi,Upper respiratory Tract infection,13090
2010/011,Baitadi,Pneumonia,6235
2010/011,Baitadi,Server Pneumonia,315
2010/011,Baitadi,Bronchitis,3247
2010/011,Baitadi,Asthma,6392
2010/011,Baitadi,Urinary Tract infection,2707
2010/011,Baitadi,Viral Influenza,4252
2010/011,Baitadi,Reproductive Tract Infection male,39
2010/011,Baitadi,Reproductive tract infection female,64
2010/011,Darchula,ARI /Lower respiratory tract infection,6528
2010/011,Darchula,Upper respiratory Tract infection,5913
2010/011,Darchula,Pneumonia,1582
2010/011,Darchula,Server Pneumonia,57
2010/011,Darchula,Bronchitis,2988
2010/011,Darchula,Asthma,3803
2010/011,Darchula,Urinary Tract infection,1303
2010/011,Darchula,Viral Influenza,1350
2010/011,Darchula,Reproductive Tract Infection male,14
2010/011,Darchula,Reproductive tract infection female,53
2012/013,Taplejung,ARI /Lower respiratory tract infection,7891
2012/013,Taplejung,Upper respiratory Tract infection,7860
2012/013,Taplejung,Pneumonia,3826
2012/013,Taplejung,Server Pneumonia,330
2012/013,Taplejung,Bronchitis,1118
2012/013,Taplejung,Asthma,1687
2012/013,Taplejung,Urinary Tract infection,1534
2012/013,Taplejung,Viral Influenza,3096
2012/013,Taplejung,Reproductive Tract Infection male,8
2012/013,Taplejung,Reproductive tract infection female,22
2012/013,Panchthar,ARI /Lower respiratory tract infection,9108
2012/013,Panchthar,Upper respiratory Tract infection,8511
2012/013,Panchthar,Pneumonia,4691
2012/013,Panchthar,Server Pneumonia,229
2012/013,Panchthar,Bronchitis,1220
2012/013,Panchthar,Asthma,1602
2012/013,Panchthar,Urinary Tract infection,1285
2012/013,Panchthar,Viral Influenza,1049
2012/013,Panchthar,Reproductive Tract Infection male,22
2012/013,Panchthar,Reproductive tract infection female,46
2012/013,Ilam,ARI /Lower respiratory tract infection,8964
2012/013,Ilam,Upper respiratory Tract infection,8497
2012/013,Ilam,Pneumonia,4220
2012/013,Ilam,Server Pneumonia,193
2012/013,Ilam,Bronchitis,1430
2012/013,Ilam,Asthma,1749
2012/013,Ilam,Urinary Tract infection,2127
2012/013,Ilam,Viral Influenza,7610
2012/013,Ilam,Reproductive Tract Infection male,124
2012/013,Ilam,Reproductive tract infection female,167
2012/013,Jhapa,ARI /Lower respiratory tract infection,29104
2012/013,Jhapa,Upper respiratory Tract infection,32353
2012/013,Jhapa,Pneumonia,12585
2012/013,Jhapa,Server Pneumonia,717
2012/013,Jhapa,Bronchitis,10708
2012/013,Jhapa,Asthma,9263
2012/013,Jhapa,Urinary Tract infection,10570
2012/013,Jhapa,Viral Influenza,25567
2012/013,Jhapa,Reproductive Tract Infection male,758
2012/013,Jhapa,Reproductive tract infection female,686
2012/013,Morang,ARI /Lower respiratory tract infection,37006
2012/013,Morang,Upper respiratory Tract infection,35091
2012/013,Morang,Pneumonia,13155
2012/013,Morang,Server Pneumonia,658
2012/013,Morang,Bronchitis,9851
2012/013,Morang,Asthma,8140
2012/013,Morang,Urinary Tract infection,19646
2012/013,Morang,Viral Influenza,12693
2012/013,Morang,Reproductive Tract Infection male,244
2012/013,Morang,Reproductive tract infection female,566
2012/013,Sunsari,ARI /Lower respiratory tract infection,36371
2012/013,Sunsari,Upper respiratory Tract infection,33223
2012/013,Sunsari,Pneumonia,13280
2012/013,Sunsari,Server Pneumonia,339
2012/013,Sunsari,Bronchitis,3335
2012/013,Sunsari,Asthma,5704
2012/013,Sunsari,Urinary Tract infection,6454
2012/013,Sunsari,Viral Influenza,6519
2012/013,Sunsari,Reproductive Tract Infection male,159
2012/013,Sunsari,Reproductive tract infection female,266
2012/013,Dhankuta,ARI /Lower respiratory tract infection,8616
2012/013,Dhankuta,Upper respiratory Tract infection,9676
2012/013,Dhankuta,Pneumonia,4202
2012/013,Dhankuta,Server Pneumonia,74
2012/013,Dhankuta,Bronchitis,2437
2012/013,Dhankuta,Asthma,1655
2012/013,Dhankuta,Urinary Tract infection,1601
2012/013,Dhankuta,Viral Influenza,4652
2012/013,Dhankuta,Reproductive Tract Infection male,69
2012/013,Dhankuta,Reproductive tract infection female,123
2012/013,Teharthum,ARI /Lower respiratory tract infection,4724
2012/013,Teharthum,Upper respiratory Tract infection,6808
2012/013,Teharthum,Pneumonia,2456
2012/013,Teharthum,Server Pneumonia,133
2012/013,Teharthum,Bronchitis,1889
2012/013,Teharthum,Asthma,1538
2012/013,Teharthum,Urinary Tract infection,1333
2012/013,Teharthum,Viral Influenza,2175
2012/013,Teharthum,Reproductive Tract Infection male,85
2012/013,Teharthum,Reproductive tract infection female,85
2012/013,Sankhuwasabha,ARI /Lower respiratory tract infection,8629
2012/013,Sankhuwasabha,Upper respiratory Tract infection,7504
2012/013,Sankhuwasabha,Pneumonia,4579
2012/013,Sankhuwasabha,Server Pneumonia,145
2012/013,Sankhuwasabha,Bronchitis,774
2012/013,Sankhuwasabha,Asthma,2120
2012/013,Sankhuwasabha,Urinary Tract infection,2055
2012/013,Sankhuwasabha,Viral Influenza,1270
2012/013,Sankhuwasabha,Reproductive Tract Infection male,91
2012/013,Sankhuwasabha,Reproductive tract infection female,183
2012/013,Bhojpur,ARI /Lower respiratory tract infection,9365
2012/013,Bhojpur,Upper respiratory Tract infection,9980
2012/013,Bhojpur,Pneumonia,4315
2012/013,Bhojpur,Server Pneumonia,179
2012/013,Bhojpur,Bronchitis,2192
2012/013,Bhojpur,Asthma,3395
2012/013,Bhojpur,Urinary Tract infection,2710
2012/013,Bhojpur,Viral Influenza,6991
2012/013,Bhojpur,Reproductive Tract Infection male,189
2012/013,Bhojpur,Reproductive tract infection female,309
2012/013,Solukhumbu,ARI /Lower respiratory tract infection,9145
2012/013,Solukhumbu,Upper respiratory Tract infection,8040
2012/013,Solukhumbu,Pneumonia,2811
2012/013,Solukhumbu,Server Pneumonia,194
2012/013,Solukhumbu,Bronchitis,2663
2012/013,Solukhumbu,Asthma,2784
2012/013,Solukhumbu,Urinary Tract infection,2522
2012/013,Solukhumbu,Viral Influenza,1043
2012/013,Solukhumbu,Reproductive Tract Infection male,126
2012/013,Solukhumbu,Reproductive tract infection female,221
2012/013,Okhaldhunga,ARI /Lower respiratory tract infection,13607
2012/013,Okhaldhunga,Upper respiratory Tract infection,13051
2012/013,Okhaldhunga,Pneumonia,3815
2012/013,Okhaldhunga,Server Pneumonia,111
2012/013,Okhaldhunga,Bronchitis,2093
2012/013,Okhaldhunga,Asthma,3292
2012/013,Okhaldhunga,Urinary Tract infection,2349
2012/013,Okhaldhunga,Viral Influenza,1785
2012/013,Okhaldhunga,Reproductive Tract Infection male,19
2012/013,Okhaldhunga,Reproductive tract infection female,130
2012/013,Khotang,ARI /Lower respiratory tract infection,13214
2012/013,Khotang,Upper respiratory Tract infection,13927
2012/013,Khotang,Pneumonia,7176
2012/013,Khotang,Server Pneumonia,374
2012/013,Khotang,Bronchitis,3599
2012/013,Khotang,Asthma,3491
2012/013,Khotang,Urinary Tract infection,3665
2012/013,Khotang,Viral Influenza,2242
2012/013,Khotang,Reproductive Tract Infection male,66
2012/013,Khotang,Reproductive tract infection female,210
2012/013,Udaypur,ARI /Lower respiratory tract infection,10596
2012/013,Udaypur,Upper respiratory Tract infection,9653
2012/013,Udaypur,Pneumonia,5465
2012/013,Udaypur,Server Pneumonia,452
2012/013,Udaypur,Bronchitis,3236
2012/013,Udaypur,Asthma,2849
2012/013,Udaypur,Urinary Tract infection,3797
2012/013,Udaypur,Viral Influenza,7018
2012/013,Udaypur,Reproductive Tract Infection male,152
2012/013,Udaypur,Reproductive tract infection female,414
2012/013,Saptari,ARI /Lower respiratory tract infection,34370
2012/013,Saptari,Upper respiratory Tract infection,23036
2012/013,Saptari,Pneumonia,7810
2012/013,Saptari,Server Pneumonia,259
2012/013,Saptari,Bronchitis,10677
2012/013,Saptari,Asthma,9389
2012/013,Saptari,Urinary Tract infection,6573
2012/013,Saptari,Viral Influenza,8295
2012/013,Saptari,Reproductive Tract Infection male,103
2012/013,Saptari,Reproductive tract infection female,237
2012/013,Siraha,ARI /Lower respiratory tract infection,33787
2012/013,Siraha,Upper respiratory Tract infection,34562
2012/013,Siraha,Pneumonia,10434
2012/013,Siraha,Server Pneumonia,613
2012/013,Siraha,Bronchitis,11251
2012/013,Siraha,Asthma,8862
2012/013,Siraha,Urinary Tract infection,7571
2012/013,Siraha,Viral Influenza,5255
2012/013,Siraha,Reproductive Tract Infection male,360
2012/013,Siraha,Reproductive tract infection female,429
2012/013,Dhanusha,ARI /Lower respiratory tract infection,30282
2012/013,Dhanusha,Upper respiratory Tract infection,22064
2012/013,Dhanusha,Pneumonia,7430
2012/013,Dhanusha,Server Pneumonia,751
2012/013,Dhanusha,Bronchitis,8302
2012/013,Dhanusha,Asthma,8632
2012/013,Dhanusha,Urinary Tract infection,4617
2012/013,Dhanusha,Viral Influenza,6401
2012/013,Dhanusha,Reproductive Tract Infection male,175
2012/013,Dhanusha,Reproductive tract infection female,277
2012/013,Mahottari,ARI /Lower respiratory tract infection,33247
2012/013,Mahottari,Upper respiratory Tract infection,25716
2012/013,Mahottari,Pneumonia,8903
2012/013,Mahottari,Server Pneumonia,854
2012/013,Mahottari,Bronchitis,12090
2012/013,Mahottari,Asthma,12216
2012/013,Mahottari,Urinary Tract infection,7353
2012/013,Mahottari,Viral Influenza,6299
2012/013,Mahottari,Reproductive Tract Infection male,81
2012/013,Mahottari,Reproductive tract infection female,424
2012/013,Sarlahi,ARI /Lower respiratory tract infection,29398
2012/013,Sarlahi,Upper respiratory Tract infection,28441
2012/013,Sarlahi,Pneumonia,8790
2012/013,Sarlahi,Server Pneumonia,834
2012/013,Sarlahi,Bronchitis,15490
2012/013,Sarlahi,Asthma,16640
2012/013,Sarlahi,Urinary Tract infection,5725
2012/013,Sarlahi,Viral Influenza,3559
2012/013,Sarlahi,Reproductive Tract Infection male,40
2012/013,Sarlahi,Reproductive tract infection female,139
2012/013,Sindhuli,ARI /Lower respiratory tract infection,6313
2012/013,Sindhuli,Upper respiratory Tract infection,7039
2012/013,Sindhuli,Pneumonia,3851
2012/013,Sindhuli,Server Pneumonia,220
2012/013,Sindhuli,Bronchitis,1918
2012/013,Sindhuli,Asthma,2917
2012/013,Sindhuli,Urinary Tract infection,2478
2012/013,Sindhuli,Viral Influenza,1753
2012/013,Sindhuli,Reproductive Tract Infection male,48
2012/013,Sindhuli,Reproductive tract infection female,230
2012/013,Ramechhap,ARI /Lower respiratory tract infection,15306
2012/013,Ramechhap,Upper respiratory Tract infection,11257
2012/013,Ramechhap,Pneumonia,4292
2012/013,Ramechhap,Server Pneumonia,199
2012/013,Ramechhap,Bronchitis,2579
2012/013,Ramechhap,Asthma,2876
2012/013,Ramechhap,Urinary Tract infection,3275
2012/013,Ramechhap,Viral Influenza,2785
2012/013,Ramechhap,Reproductive Tract Infection male,52
2012/013,Ramechhap,Reproductive tract infection female,40
2012/013,Dolkha,ARI /Lower respiratory tract infection,16539
2012/013,Dolkha,Upper respiratory Tract infection,12717
2012/013,Dolkha,Pneumonia,2887
2012/013,Dolkha,Server Pneumonia,187
2012/013,Dolkha,Bronchitis,2250
2012/013,Dolkha,Asthma,3659
2012/013,Dolkha,Urinary Tract infection,3824
2012/013,Dolkha,Viral Influenza,5842
2012/013,Dolkha,Reproductive Tract Infection male,65
2012/013,Dolkha,Reproductive tract infection female,103
2012/013,Sindhupalchowk,ARI /Lower respiratory tract infection,18084
2012/013,Sindhupalchowk,Upper respiratory Tract infection,13741
2012/013,Sindhupalchowk,Pneumonia,5152
2012/013,Sindhupalchowk,Server Pneumonia,232
2012/013,Sindhupalchowk,Bronchitis,3461
2012/013,Sindhupalchowk,Asthma,5228
2012/013,Sindhupalchowk,Urinary Tract infection,3735
2012/013,Sindhupalchowk,Viral Influenza,4643
2012/013,Sindhupalchowk,Reproductive Tract Infection male,269
2012/013,Sindhupalchowk,Reproductive tract infection female,668
2012/013,Kavre,ARI /Lower respiratory tract infection,29277
2012/013,Kavre,Upper respiratory Tract infection,32510
2012/013,Kavre,Pneumonia,7021
2012/013,Kavre,Server Pneumonia,145
2012/013,Kavre,Bronchitis,4347
2012/013,Kavre,Asthma,8849
2012/013,Kavre,Urinary Tract infection,6383
2012/013,Kavre,Viral Influenza,7554
2012/013,Kavre,Reproductive Tract Infection male,67
2012/013,Kavre,Reproductive tract infection female,154
2012/013,Lalitpur,ARI /Lower respiratory tract infection,0
2012/013,Lalitpur,Upper respiratory Tract infection,0
2012/013,Lalitpur,Pneumonia,0
2012/013,Lalitpur,Server Pneumonia,0
2012/013,Lalitpur,Bronchitis,0
2012/013,Lalitpur,Asthma,0
2012/013,Lalitpur,Urinary Tract infection,0
2012/013,Lalitpur,Viral Influenza,0
2012/013,Lalitpur,Reproductive Tract Infection male,0
2012/013,Lalitpur,Reproductive tract infection female,0
2012/013,Bhaktapur,ARI /Lower respiratory tract infection,10724
2012/013,Bhaktapur,Upper respiratory Tract infection,12361
2012/013,Bhaktapur,Pneumonia,2557
2012/013,Bhaktapur,Server Pneumonia,88
2012/013,Bhaktapur,Bronchitis,1715
2012/013,Bhaktapur,Asthma,3060
2012/013,Bhaktapur,Urinary Tract infection,3457
2012/013,Bhaktapur,Viral Influenza,2808
2012/013,Bhaktapur,Reproductive Tract Infection male,126
2012/013,Bhaktapur,Reproductive tract infection female,175
2012/013,Kathmandu,ARI /Lower respiratory tract infection,23821
2012/013,Kathmandu,Upper respiratory Tract infection,31343
2012/013,Kathmandu,Pneumonia,9070
2012/013,Kathmandu,Server Pneumonia,1124
2012/013,Kathmandu,Bronchitis,9424
2012/013,Kathmandu,Asthma,18611
2012/013,Kathmandu,Urinary Tract infection,17716
2012/013,Kathmandu,Viral Influenza,11949
2012/013,Kathmandu,Reproductive Tract Infection male,545
2012/013,Kathmandu,Reproductive tract infection female,1231
2012/013,Nuwakot,ARI /Lower respiratory tract infection,10304
2012/013,Nuwakot,Upper respiratory Tract infection,9053
2012/013,Nuwakot,Pneumonia,3670
2012/013,Nuwakot,Server Pneumonia,360
2012/013,Nuwakot,Bronchitis,2671
2012/013,Nuwakot,Asthma,6227
2012/013,Nuwakot,Urinary Tract infection,3084
2012/013,Nuwakot,Viral Influenza,3571
2012/013,Nuwakot,Reproductive Tract Infection male,189
2012/013,Nuwakot,Reproductive tract infection female,347
2012/013,Rasuwa,ARI /Lower respiratory tract infection,2712
2012/013,Rasuwa,Upper respiratory Tract infection,5397
2012/013,Rasuwa,Pneumonia,327
2012/013,Rasuwa,Server Pneumonia,7
2012/013,Rasuwa,Bronchitis,487
2012/013,Rasuwa,Asthma,676
2012/013,Rasuwa,Urinary Tract infection,529
2012/013,Rasuwa,Viral Influenza,1130
2012/013,Rasuwa,Reproductive Tract Infection male,5
