District,Year,Respiratory problems,Morbidity Number
Achham,2067/68,Pneumonia,6270
Achham,2067/68,Sever Pneumonia,406
Achham,2067/68,Bronchitis,2624
Achham,2067/68,Asthama,6146
Achham,2067/68,Viral Influnenza,769
Achham,2067/68,Foreign body in respiratory tract,106
Doti,2067/68,"ARI/Lower respiratory
tract Infection",11224
Doti,2067/68,"Upper respiratory tract
Infection",12834
Doti,2067/68,Pneumonia,3493
Doti,2067/68,Sever Pneumonia,154
Doti,2067/68,Bronchitis,2002
Doti,2067/68,Asthama,4779
Doti,2067/68,Viral Influnenza,699
Doti,2067/68,Foreign body in respiratory tract,67
Kailali,2067/68,"ARI/Lower respiratory
tract Infection",31224
Kailali,2067/68,"Upper respiratory tract
Infection",18795
Kailali,2067/68,Pneumonia,7343
Kailali,2067/68,Sever Pneumonia,754
Kailali,2067/68,Bronchitis,3744
Kailali,2067/68,Asthama,6235
Kailali,2067/68,Viral Influnenza,2509
Kailali,2067/68,Foreign body in respiratory tract,146
Kanchanpur,2067/68,"ARI/Lower respiratory
tract Infection",17682
Kanchanpur,2067/68,"Upper respiratory tract
Infection",17489
Kanchanpur,2067/68,Pneumonia,7849
Kanchanpur,2067/68,Sever Pneumonia,202
Kanchanpur,2067/68,Bronchitis,3935
Kanchanpur,2067/68,Asthama,5102
Kanchanpur,2067/68,Viral Influnenza,8789
Kanchanpur,2067/68,Foreign body in respiratory tract,194
Dadeldhura,2067/68,"ARI/Lower respiratory
tract Infection",11811
Dadeldhura,2067/68,"Upper respiratory tract
Infection",11226
Dadeldhura,2067/68,Pneumonia,4503
Dadeldhura,2067/68,Sever Pneumonia,467
Dadeldhura,2067/68,Bronchitis,1340
Dadeldhura,2067/68,Asthama,3773
Dadeldhura,2067/68,Viral Influnenza,2236
Dadeldhura,2067/68,Foreign body in respiratory tract,102
Baitadi,2067/68,"ARI/Lower respiratory
tract Infection",14764
Baitadi,2067/68,"Upper respiratory tract
Infection",13090
Baitadi,2067/68,Pneumonia,6235
Baitadi,2067/68,Sever Pneumonia,315
Baitadi,2067/68,Bronchitis,3247
Baitadi,2067/68,Asthama,6392
Baitadi,2067/68,Viral Influnenza,4252
Baitadi,2067/68,Foreign body in respiratory tract,325
Darchula,2067/68,"ARI/Lower respiratory
tract Infection",6528
Darchula,2067/68,"Upper respiratory tract
Infection",5913
Darchula,2067/68,Pneumonia,1582
Darchula,2067/68,Sever Pneumonia,57
Darchula,2067/68,Bronchitis,2988
Darchula,2067/68,Asthama,3803
Darchula,2067/68,Viral Influnenza,1350
Darchula,2067/68,Foreign body in respiratory tract,78
Taplejung,2068/69,"ARI/Lower respiratory
tract Infection",6045
Taplejung,2068/69,"Upper respiratory tract
Infection",6299
Taplejung,2068/69,Pneumonia,3861
Taplejung,2068/69,Sever Pneumonia,137
Taplejung,2068/69,Bronchitis,1090
Taplejung,2068/69,Asthama,1654
Taplejung,2068/69,Viral Influnenza,1063
Taplejung,2068/69,Foreign body in respiratory tract,101
Panchthar,2068/69,"ARI/Lower respiratory
tract Infection",7998
Panchthar,2068/69,"Upper respiratory tract
Infection",7111
Panchthar,2068/69,Pneumonia,4341
Panchthar,2068/69,Sever Pneumonia,170
Panchthar,2068/69,Bronchitis,1238
Panchthar,2068/69,Asthama,1616
Panchthar,2068/69,Viral Influnenza,501
Panchthar,2068/69,Foreign body in respiratory tract,48
Ilam,2068/69,"ARI/Lower respiratory
tract Infection",8558
Ilam,2068/69,"Upper respiratory tract
Infection",7147
Ilam,2068/69,Pneumonia,4416
Ilam,2068/69,Sever Pneumonia,202
Ilam,2068/69,Bronchitis,1591
Ilam,2068/69,Asthama,1722
Ilam,2068/69,Viral Influnenza,3064
Ilam,2068/69,Foreign body in respiratory tract,59
Jhapa,2068/69,"ARI/Lower respiratory
tract Infection",23150
Jhapa,2068/69,"Upper respiratory tract
Infection",25124
Jhapa,2068/69,Pneumonia,12792
Jhapa,2068/69,Sever Pneumonia,506
Jhapa,2068/69,Bronchitis,9101
Jhapa,2068/69,Asthama,6995
Jhapa,2068/69,Viral Influnenza,13190
Jhapa,2068/69,Foreign body in respiratory tract,115
Morang,2068/69,"ARI/Lower respiratory
tract Infection",30757
Morang,2068/69,"Upper respiratory tract
Infection",29791
Morang,2068/69,Pneumonia,11237
Morang,2068/69,Sever Pneumonia,401
Morang,2068/69,Bronchitis,9816
Morang,2068/69,Asthama,6144
Morang,2068/69,Viral Influnenza,3714
Morang,2068/69,Foreign body in respiratory tract,166
Sunsari,2068/69,"ARI/Lower respiratory
tract Infection",35009
Sunsari,2068/69,"Upper respiratory tract
Infection",29285
Sunsari,2068/69,Pneumonia,14377
Sunsari,2068/69,Sever Pneumonia,277
Sunsari,2068/69,Bronchitis,3348
Sunsari,2068/69,Asthama,5924
Sunsari,2068/69,Viral Influnenza,2436
Sunsari,2068/69,Foreign body in respiratory tract,48
Dhankuta,2068/69,"ARI/Lower respiratory
tract Infection",7248
Dhankuta,2068/69,"Upper respiratory tract
Infection",6885
Dhankuta,2068/69,Pneumonia,4526
Dhankuta,2068/69,Sever Pneumonia,47
Dhankuta,2068/69,Bronchitis,2745
Dhankuta,2068/69,Asthama,1699
Dhankuta,2068/69,Viral Influnenza,1639
Dhankuta,2068/69,Foreign body in respiratory tract,28
Teharthum,2068/69,"ARI/Lower respiratory
tract Infection",4965
Teharthum,2068/69,"Upper respiratory tract
Infection",6383
Teharthum,2068/69,Pneumonia,2448
Teharthum,2068/69,Sever Pneumonia,82
Teharthum,2068/69,Bronchitis,2286
Teharthum,2068/69,Asthama,1339
Teharthum,2068/69,Viral Influnenza,1347
Teharthum,2068/69,Foreign body in respiratory tract,43
Sankhuwasabha,2068/69,"ARI/Lower respiratory
tract Infection",7834
Sankhuwasabha,2068/69,"Upper respiratory tract
Infection",6356
Sankhuwasabha,2068/69,Pneumonia,4407
Sankhuwasabha,2068/69,Sever Pneumonia,80
Sankhuwasabha,2068/69,Bronchitis,610
Sankhuwasabha,2068/69,Asthama,1952
Sankhuwasabha,2068/69,Viral Influnenza,231
Sankhuwasabha,2068/69,Foreign body in respiratory tract,33
Bhojpur,2068/69,"ARI/Lower respiratory
tract Infection",10567
Bhojpur,2068/69,"Upper respiratory tract
Infection",7375
Bhojpur,2068/69,Pneumonia,5788
Bhojpur,2068/69,Sever Pneumonia,150
Bhojpur,2068/69,Bronchitis,2807
Bhojpur,2068/69,Asthama,3794
Bhojpur,2068/69,Viral Influnenza,2073
Bhojpur,2068/69,Foreign body in respiratory tract,275
Solukhumbu,2068/69,"ARI/Lower respiratory
tract Infection",8258
Solukhumbu,2068/69,"Upper respiratory tract
Infection",10338
Solukhumbu,2068/69,Pneumonia,3406
Solukhumbu,2068/69,Sever Pneumonia,134
Solukhumbu,2068/69,Bronchitis,2678
Solukhumbu,2068/69,Asthama,3028
Solukhumbu,2068/69,Viral Influnenza,385
Solukhumbu,2068/69,Foreign body in respiratory tract,132
Okhaldhunga,2068/69,"ARI/Lower respiratory
tract Infection",14844
Okhaldhunga,2068/69,"Upper respiratory tract
Infection",15016
Okhaldhunga,2068/69,Pneumonia,5558
Okhaldhunga,2068/69,Sever Pneumonia,111
Okhaldhunga,2068/69,Bronchitis,2593
Okhaldhunga,2068/69,Asthama,3093
Okhaldhunga,2068/69,Viral Influnenza,1381
Okhaldhunga,2068/69,Foreign body in respiratory tract,120
Khotang,2068/69,"ARI/Lower respiratory
tract Infection",9992
Khotang,2068/69,"Upper respiratory tract
Infection",8973
Khotang,2068/69,Pneumonia,6586
Khotang,2068/69,Sever Pneumonia,410
Khotang,2068/69,Bronchitis,2964
Khotang,2068/69,Asthama,3587
Khotang,2068/69,Viral Influnenza,895
Khotang,2068/69,Foreign body in respiratory tract,223
Udaypur,2068/69,"ARI/Lower respiratory
tract Infection",9442
Udaypur,2068/69,"Upper respiratory tract
Infection",7820
Udaypur,2068/69,Pneumonia,5018
Udaypur,2068/69,Sever Pneumonia,370
Udaypur,2068/69,Bronchitis,3125
Udaypur,2068/69,Asthama,2750
Udaypur,2068/69,Viral Influnenza,1448
Udaypur,2068/69,Foreign body in respiratory tract,138
Saptari,2068/69,"ARI/Lower respiratory
tract Infection",27031
Saptari,2068/69,"Upper respiratory tract
Infection",18836
Saptari,2068/69,Pneumonia,8262
Saptari,2068/69,Sever Pneumonia,201
Saptari,2068/69,Bronchitis,10523
Saptari,2068/69,Asthama,8446
Saptari,2068/69,Viral Influnenza,5941
Saptari,2068/69,Foreign body in respiratory tract,197
Siraha,2068/69,"ARI/Lower respiratory
tract Infection",29700
Siraha,2068/69,"Upper respiratory tract
Infection",26019
Siraha,2068/69,Pneumonia,9754
Siraha,2068/69,Sever Pneumonia,307
Siraha,2068/69,Bronchitis,9873
Siraha,2068/69,Asthama,8192
Siraha,2068/69,Viral Influnenza,3071
Siraha,2068/69,Foreign body in respiratory tract,141
Dhanusha,2068/69,"ARI/Lower respiratory
tract Infection",34361
Dhanusha,2068/69,"Upper respiratory tract
Infection",23597
Dhanusha,2068/69,Pneumonia,9952
Dhanusha,2068/69,Sever Pneumonia,412
Dhanusha,2068/69,Bronchitis,10998
Dhanusha,2068/69,Asthama,11120
Dhanusha,2068/69,Viral Influnenza,5214
Dhanusha,2068/69,Foreign body in respiratory tract,296
Mahottari,2068/69,"ARI/Lower respiratory
tract Infection",24232
Mahottari,2068/69,"Upper respiratory tract
Infection",20923
Mahottari,2068/69,Pneumonia,7755
Mahottari,2068/69,Sever Pneumonia,267
Mahottari,2068/69,Bronchitis,10040
Mahottari,2068/69,Asthama,10275
Mahottari,2068/69,Viral Influnenza,2692
Mahottari,2068/69,Foreign body in respiratory tract,223
Sarlahi,2068/69,"ARI/Lower respiratory
tract Infection",25794
Sarlahi,2068/69,"Upper respiratory tract
Infection",27289
Sarlahi,2068/69,Pneumonia,9478
Sarlahi,2068/69,Sever Pneumonia,1146
Sarlahi,2068/69,Bronchitis,14920
Sarlahi,2068/69,Asthama,17354
Sarlahi,2068/69,Viral Influnenza,3044
Sarlahi,2068/69,Foreign body in respiratory tract,257
Sindhuli,2068/69,"ARI/Lower respiratory
tract Infection",5337
Sindhuli,2068/69,"Upper respiratory tract
Infection",5715
Sindhuli,2068/69,Pneumonia,4333
Sindhuli,2068/69,Sever Pneumonia,124
Sindhuli,2068/69,Bronchitis,1837
Sindhuli,2068/69,Asthama,2745
Sindhuli,2068/69,Viral Influnenza,565
Sindhuli,2068/69,Foreign body in respiratory tract,34
Ramechhap,2068/69,"ARI/Lower respiratory
tract Infection",11612
Ramechhap,2068/69,"Upper respiratory tract
Infection",9907
Ramechhap,2068/69,Pneumonia,4738
Ramechhap,2068/69,Sever Pneumonia,157
Ramechhap,2068/69,Bronchitis,3657
Ramechhap,2068/69,Asthama,3312
Ramechhap,2068/69,Viral Influnenza,2851
Ramechhap,2068/69,Foreign body in respiratory tract,144
Dolkha,2068/69,"ARI/Lower respiratory
tract Infection",14389
Dolkha,2068/69,"Upper respiratory tract
Infection",10760
Dolkha,2068/69,Pneumonia,2820
Dolkha,2068/69,Sever Pneumonia,47
Dolkha,2068/69,Bronchitis,2195
Dolkha,2068/69,Asthama,3364
Dolkha,2068/69,Viral Influnenza,2728
Dolkha,2068/69,Foreign body in respiratory tract,89
Sindhupalchowk,2068/69,"ARI/Lower respiratory
tract Infection",17480
Sindhupalchowk,2068/69,"Upper respiratory tract
Infection",15158
Sindhupalchowk,2068/69,Pneumonia,5713
Sindhupalchowk,2068/69,Sever Pneumonia,280
Sindhupalchowk,2068/69,Bronchitis,4000
Sindhupalchowk,2068/69,Asthama,5340
Sindhupalchowk,2068/69,Viral Influnenza,4547
Sindhupalchowk,2068/69,Foreign body in respiratory tract,217
Kavre,2068/69,"ARI/Lower respiratory
tract Infection",24689
Kavre,2068/69,"Upper respiratory tract
Infection",24126
Kavre,2068/69,Pneumonia,7274
Kavre,2068/69,Sever Pneumonia,165
Kavre,2068/69,Bronchitis,4679
Kavre,2068/69,Asthama,8210
Kavre,2068/69,Viral Influnenza,3734
Kavre,2068/69,Foreign body in respiratory tract,29
Lalitpur,2068/69,"ARI/Lower respiratory
tract Infection",0
Lalitpur,2068/69,"Upper respiratory tract
Infection",0
Lalitpur,2068/69,Pneumonia,0
Lalitpur,2068/69,Sever Pneumonia,0
Lalitpur,2068/69,Bronchitis,0
Lalitpur,2068/69,Asthama,0
Lalitpur,2068/69,Viral Influnenza,0
Lalitpur,2068/69,Foreign body in respiratory tract,0
Bhaktapur,2068/69,"ARI/Lower respiratory
tract Infection",8602
Bhaktapur,2068/69,"Upper respiratory tract
Infection",10375
Bhaktapur,2068/69,Pneumonia,2918
Bhaktapur,2068/69,Sever Pneumonia,114
Bhaktapur,2068/69,Bronchitis,1526
Bhaktapur,2068/69,Asthama,2926
Bhaktapur,2068/69,Viral Influnenza,2428
Bhaktapur,2068/69,Foreign body in respiratory tract,148
Kathmandu,2068/69,"ARI/Lower respiratory
tract Infection",24204
Kathmandu,2068/69,"Upper respiratory tract
Infection",27793
Kathmandu,2068/69,Pneumonia,8461
Kathmandu,2068/69,Sever Pneumonia,1024
Kathmandu,2068/69,Bronchitis,8782
Kathmandu,2068/69,Asthama,22632
Kathmandu,2068/69,Viral Influnenza,7596
Kathmandu,2068/69,Foreign body in respiratory tract,350
Nuwakot,2068/69,"ARI/Lower respiratory
tract Infection",7186
Nuwakot,2068/69,"Upper respiratory tract
Infection",7700
Nuwakot,2068/69,Pneumonia,3163
Nuwakot,2068/69,Sever Pneumonia,193
Nuwakot,2068/69,Bronchitis,1998
Nuwakot,2068/69,Asthama,5227
Nuwakot,2068/69,Viral Influnenza,2995
Nuwakot,2068/69,Foreign body in respiratory tract,166
Rasuwa,2068/69,"ARI/Lower respiratory
tract Infection",3187
Rasuwa,2068/69,"Upper respiratory tract
Infection",3184
Rasuwa,2068/69,Pneumonia,626
Rasuwa,2068/69,Sever Pneumonia,19
Rasuwa,2068/69,Bronchitis,437
Rasuwa,2068/69,Asthama,652
Rasuwa,2068/69,Viral Influnenza,1408
Rasuwa,2068/69,Foreign body in respiratory tract,8
Dhading,2068/69,"ARI/Lower respiratory
tract Infection",19845
Dhading,2068/69,"Upper respiratory tract
Infection",15510
Dhading,2068/69,Pneumonia,9200
Dhading,2068/69,Sever Pneumonia,476
Dhading,2068/69,Bronchitis,4117
Dhading,2068/69,Asthama,6672
Dhading,2068/69,Viral Influnenza,11096
Dhading,2068/69,Foreign body in respiratory tract,104
Makawanpur,2068/69,"ARI/Lower respiratory
tract Infection",7445
Makawanpur,2068/69,"Upper respiratory tract
Infection",8910
Makawanpur,2068/69,Pneumonia,4384
Makawanpur,2068/69,Sever Pneumonia,209
Makawanpur,2068/69,Bronchitis,3335
Makawanpur,2068/69,Asthama,3820
Makawanpur,2068/69,Viral Influnenza,3434
Makawanpur,2068/69,Foreign body in respiratory tract,62
Rautahat,2068/69,"ARI/Lower respiratory
tract Infection",14881
Rautahat,2068/69,"Upper respiratory tract
Infection",14900
Rautahat,2068/69,Pneumonia,7799
Rautahat,2068/69,Sever Pneumonia,551
Rautahat,2068/69,Bronchitis,9558
Rautahat,2068/69,Asthama,10727
Rautahat,2068/69,Viral Influnenza,2577
Rautahat,2068/69,Foreign body in respiratory tract,235
Bara,2068/69,"ARI/Lower respiratory
tract Infection",17585
Bara,2068/69,"Upper respiratory tract
Infection",18578
Bara,2068/69,Pneumonia,5659
Bara,2068/69,Sever Pneumonia,434
Bara,2068/69,Bronchitis,9296
Bara,2068/69,Asthama,11093
Bara,2068/69,Viral Influnenza,2399
Bara,2068/69,Foreign body in respiratory tract,132
Parsa,2068/69,"ARI/Lower respiratory
tract Infection",0
Parsa,2068/69,"Upper respiratory tract
Infection",0
Parsa,2068/69,Pneumonia,0
Parsa,2068/69,Sever Pneumonia,0
Parsa,2068/69,Bronchitis,0
Parsa,2068/69,Asthama,0
Parsa,2068/69,Viral Influnenza,0
Parsa,2068/69,Foreign body in respiratory tract,0
Chitwan,2068/69,"ARI/Lower respiratory
tract Infection",19379
Chitwan,2068/69,"Upper respiratory tract
Infection",17932
Chitwan,2068/69,Pneumonia,7631
Chitwan,2068/69,Sever Pneumonia,252
Chitwan,2068/69,Bronchitis,4690
Chitwan,2068/69,Asthama,8769
Chitwan,2068/69,Viral Influnenza,9222
Chitwan,2068/69,Foreign body in respiratory tract,277
Gorkha,2068/69,"ARI/Lower respiratory
tract Infection",13009
Gorkha,2068/69,"Upper respiratory tract
Infection",18242
Gorkha,2068/69,Pneumonia,6990
Gorkha,2068/69,Sever Pneumonia,143
Gorkha,2068/69,Bronchitis,3276
Gorkha,2068/69,Asthama,3955
Gorkha,2068/69,Viral Influnenza,6982
Gorkha,2068/69,Foreign body in respiratory tract,56
Lamjung,2068/69,"ARI/Lower respiratory
tract Infection",7362
Lamjung,2068/69,"Upper respiratory tract
Infection",7474
Lamjung,2068/69,Pneumonia,3833
Lamjung,2068/69,Sever Pneumonia,110
Lamjung,2068/69,Bronchitis,3057
Lamjung,2068/69,Asthama,4187
Lamjung,2068/69,Viral Influnenza,3800
Lamjung,2068/69,Foreign body in respiratory tract,33
Tanahu,2068/69,"ARI/Lower respiratory
tract Infection",9974
Tanahu,2068/69,"Upper respiratory tract
Infection",9433
Tanahu,2068/69,Pneumonia,2620
Tanahu,2068/69,Sever Pneumonia,104
Tanahu,2068/69,Bronchitis,2300
Tanahu,2068/69,Asthama,3567
Tanahu,2068/69,Viral Influnenza,4904
Tanahu,2068/69,Foreign body in respiratory tract,150
Syangja,2068/69,"ARI/Lower respiratory
tract Infection",20789
Syangja,2068/69,"Upper respiratory tract
Infection",15997
Syangja,2068/69,Pneumonia,3757
Syangja,2068/69,Sever Pneumonia,146
Syangja,2068/69,Bronchitis,5600
Syangja,2068/69,Asthama,6819
Syangja,2068/69,Viral Influnenza,2745
Syangja,2068/69,Foreign body in respiratory tract,78
Kaski,2068/69,"ARI/Lower respiratory
tract Infection",24904
Kaski,2068/69,"Upper respiratory tract
Infection",26305
Kaski,2068/69,Pneumonia,6368
Kaski,2068/69,Sever Pneumonia,395
Kaski,2068/69,Bronchitis,5998
Kaski,2068/69,Asthama,7170
Kaski,2068/69,Viral Influnenza,8468
Kaski,2068/69,Foreign body in respiratory tract,578
Manang,2068/69,"ARI/Lower respiratory
tract Infection",714
Manang,2068/69,"Upper respiratory tract
Infection",720
Manang,2068/69,Pneumonia,122
Manang,2068/69,Sever Pneumonia,13
Manang,2068/69,Bronchitis,149
Manang,2068/69,Asthama,111
Manang,2068/69,Viral Influnenza,27
Manang,2068/69,Foreign body in respiratory tract,34
Mustang,2068/69,"ARI/Lower respiratory
tract Infection",2084
Mustang,2068/69,"Upper respiratory tract
Infection",2987
Mustang,2068/69,Pneumonia,207
Mustang,2068/69,Sever Pneumonia,5
Mustang,2068/69,Bronchitis,113
Mustang,2068/69,Asthama,178
Mustang,2068/69,Viral Influnenza,127
Mustang,2068/69,Foreign body in respiratory tract,4
Myagdi,2068/69,"ARI/Lower respiratory
tract Infection",7096
Myagdi,2068/69,"Upper respiratory tract
Infection",12130
Myagdi,2068/69,Pneumonia,1619
Myagdi,2068/69,Sever Pneumonia,73
Myagdi,2068/69,Bronchitis,1027
Myagdi,2068/69,Asthama,1306
Myagdi,2068/69,Viral Influnenza,2115
Myagdi,2068/69,Foreign body in respiratory tract,40
Parbat,2068/69,"ARI/Lower respiratory
tract Infection",16325
Parbat,2068/69,"Upper respiratory tract
Infection",17431
Parbat,2068/69,Pneumonia,4280
Parbat,2068/69,Sever Pneumonia,70
Parbat,2068/69,Bronchitis,3247
Parbat,2068/69,Asthama,3244
Parbat,2068/69,Viral Influnenza,904
Parbat,2068/69,Foreign body in respiratory tract,33
Baglung,2068/69,"ARI/Lower respiratory
tract Infection",18684
Baglung,2068/69,"Upper respiratory tract
Infection",24838
Baglung,2068/69,Pneumonia,6268
Baglung,2068/69,Sever Pneumonia,310
Baglung,2068/69,Bronchitis,4945
Baglung,2068/69,Asthama,3173
Baglung,2068/69,Viral Influnenza,1723
Baglung,2068/69,Foreign body in respiratory tract,312
Gulmi,2068/69,"ARI/Lower respiratory
tract Infection",20472
Gulmi,2068/69,"Upper respiratory tract
Infection",16265
Gulmi,2068/69,Pneumonia,6637
Gulmi,2068/69,Sever Pneumonia,401
Gulmi,2068/69,Bronchitis,7736
Gulmi,2068/69,Asthama,5112
Gulmi,2068/69,Viral Influnenza,5533
Gulmi,2068/69,Foreign body in respiratory tract,188
Palpa,2068/69,"ARI/Lower respiratory
tract Infection",15780
Palpa,2068/69,"Upper respiratory tract
Infection",13594
Palpa,2068/69,Pneumonia,5827
Palpa,2068/69,Sever Pneumonia,112
Palpa,2068/69,Bronchitis,6353
Palpa,2068/69,Asthama,6551
Palpa,2068/69,Viral Influnenza,3756
Palpa,2068/69,Foreign body in respiratory tract,310
Nawalparasi,2068/69,"ARI/Lower respiratory
tract Infection",25645
Nawalparasi,2068/69,"Upper respiratory tract
Infection",23094
Nawalparasi,2068/69,Pneumonia,9094
Nawalparasi,2068/69,Sever Pneumonia,217
Nawalparasi,2068/69,Bronchitis,5413
Nawalparasi,2068/69,Asthama,7743
Nawalparasi,2068/69,Viral Influnenza,2901
Nawalparasi,2068/69,Foreign body in respiratory tract,76
Rupandehi,2068/69,"ARI/Lower respiratory
tract Infection",0
Rupandehi,2068/69,"Upper respiratory tract
Infection",0
Rupandehi,2068/69,Pneumonia,0
Rupandehi,2068/69,Sever Pneumonia,0
Rupandehi,2068/69,Bronchitis,0
Rupandehi,2068/69,Asthama,0
Rupandehi,2068/69,Viral Influnenza,0
Rupandehi,2068/69,Foreign body in respiratory tract,0
Kapilvastu,2068/69,"ARI/Lower respiratory
tract Infection",15078
Kapilvastu,2068/69,"Upper respiratory tract
Infection",20314
Kapilvastu,2068/69,Pneumonia,8179
Kapilvastu,2068/69,Sever Pneumonia,756
Kapilvastu,2068/69,Bronchitis,9042
Kapilvastu,2068/69,Asthama,9195
Kapilvastu,2068/69,Viral Influnenza,2756
Kapilvastu,2068/69,Foreign body in respiratory tract,540
Arghakhanchi,2068/69,"ARI/Lower respiratory
tract Infection",10214
Arghakhanchi,2068/69,"Upper respiratory tract
Infection",7240
Arghakhanchi,2068/69,Pneumonia,5084
Arghakhanchi,2068/69,Sever Pneumonia,492
Arghakhanchi,2068/69,Bronchitis,3922
Arghakhanchi,2068/69,Asthama,3912
Arghakhanchi,2068/69,Viral Influnenza,1802
Arghakhanchi,2068/69,Foreign body in respiratory tract,191
Pyuthan,2068/69,"ARI/Lower respiratory
tract Infection",11395
Pyuthan,2068/69,"Upper respiratory tract
Infection",13782
Pyuthan,2068/69,Pneumonia,5884
Pyuthan,2068/69,Sever Pneumonia,510
Pyuthan,2068/69,Bronchitis,4798
Pyuthan,2068/69,Asthama,4782
Pyuthan,2068/69,Viral Influnenza,119
Pyuthan,2068/69,Foreign body in respiratory tract,58
Rolpa,2068/69,"ARI/Lower respiratory
tract Infection",9300
Rolpa,2068/69,"Upper respiratory tract
Infection",9238
Rolpa,2068/69,Pneumonia,4784
Rolpa,2068/69,Sever Pneumonia,136
Rolpa,2068/69,Bronchitis,2018
Rolpa,2068/69,Asthama,2699
Rolpa,2068/69,Viral Influnenza,339
Rolpa,2068/69,Foreign body in respiratory tract,29
Rukum,2068/69,"ARI/Lower respiratory
tract Infection",9195
Rukum,2068/69,"Upper respiratory tract
Infection",11995
Rukum,2068/69,Pneumonia,6014
Rukum,2068/69,Sever Pneumonia,680
Rukum,2068/69,Bronchitis,2176
Rukum,2068/69,Asthama,2738
Rukum,2068/69,Viral Influnenza,668
Rukum,2068/69,Foreign body in respiratory tract,140
Salyan,2068/69,"ARI/Lower respiratory
tract Infection",12772
Salyan,2068/69,"Upper respiratory tract
Infection",12597
Salyan,2068/69,Pneumonia,5339
Salyan,2068/69,Sever Pneumonia,367
Salyan,2068/69,Bronchitis,3408
Salyan,2068/69,Asthama,6192
Salyan,2068/69,Viral Influnenza,470
Salyan,2068/69,Foreign body in respiratory tract,140
Dang,2068/69,"ARI/Lower respiratory
tract Infection",13679
Dang,2068/69,"Upper respiratory tract
Infection",18167
Dang,2068/69,Pneumonia,8105
Dang,2068/69,Sever Pneumonia,376
Dang,2068/69,Bronchitis,5305
Dang,2068/69,Asthama,7515
Dang,2068/69,Viral Influnenza,2509
Dang,2068/69,Foreign body in respiratory tract,10
Banke,2068/69,"ARI/Lower respiratory
tract Infection",23023
Banke,2068/69,"Upper respiratory tract
Infection",24723
Banke,2068/69,Pneumonia,7481
Banke,2068/69,Sever Pneumonia,294
Banke,2068/69,Bronchitis,3896
Banke,2068/69,Asthama,6075
Banke,2068/69,Viral Influnenza,3243
Banke,2068/69,Foreign body in respiratory tract,34
Bardiya,2068/69,"ARI/Lower respiratory
tract Infection",19160
Bardiya,2068/69,"Upper respiratory tract
Infection",23523
Bardiya,2068/69,Pneumonia,7333
Bardiya,2068/69,Sever Pneumonia,257
Bardiya,2068/69,Bronchitis,7195
Bardiya,2068/69,Asthama,6688
Bardiya,2068/69,Viral Influnenza,2902
Bardiya,2068/69,Foreign body in respiratory tract,57
Surkhet,2068/69,"ARI/Lower respiratory
tract Infection",20957
Surkhet,2068/69,"Upper respiratory tract
Infection",24851
Surkhet,2068/69,Pneumonia,6929
Surkhet,2068/69,Sever Pneumonia,298
Surkhet,2068/69,Bronchitis,4580
Surkhet,2068/69,Asthama,6556
Surkhet,2068/69,Viral Influnenza,4368
Surkhet,2068/69,Foreign body in respiratory tract,79
Dailekh,2068/69,"ARI/Lower respiratory
tract Infection",23157
Dailekh,2068/69,"Upper respiratory tract
Infection",17598
Dailekh,2068/69,Pneumonia,6334
Dailekh,2068/69,Sever Pneumonia,329
Dailekh,2068/69,Bronchitis,3322
Dailekh,2068/69,Asthama,5982
Dailekh,2068/69,Viral Influnenza,1850
Dailekh,2068/69,Foreign body in respiratory tract,67
Jajarkot,2068/69,"ARI/Lower respiratory
tract Infection",6273
Jajarkot,2068/69,"Upper respiratory tract
Infection",10794
Jajarkot,2068/69,Pneumonia,3113
Jajarkot,2068/69,Sever Pneumonia,426
Jajarkot,2068/69,Bronchitis,2132
Jajarkot,2068/69,Asthama,3240
Jajarkot,2068/69,Viral Influnenza,1129
Jajarkot,2068/69,Foreign body in respiratory tract,106
Dolpa,2068/69,"ARI/Lower respiratory
tract Infection",1570
Dolpa,2068/69,"Upper respiratory tract
Infection",1535
Dolpa,2068/69,Pneumonia,784
Dolpa,2068/69,Sever Pneumonia,21
Dolpa,2068/69,Bronchitis,178
Dolpa,2068/69,Asthama,501
Dolpa,2068/69,Viral Influnenza,40
Dolpa,2068/69,Foreign body in respiratory tract,26
Jumla,2068/69,"ARI/Lower respiratory
tract Infection",5946
Jumla,2068/69,"Upper respiratory tract
Infection",7945
Jumla,2068/69,Pneumonia,2825
Jumla,2068/69,Sever Pneumonia,151
Jumla,2068/69,Bronchitis,1241
Jumla,2068/69,Asthama,1886
Jumla,2068/69,Viral Influnenza,103
Jumla,2068/69,Foreign body in respiratory tract,30
Kalikot,2068/69,"ARI/Lower respiratory
tract Infection",4040
Kalikot,2068/69,"Upper respiratory tract
Infection",3990
Kalikot,2068/69,Pneumonia,1534
Kalikot,2068/69,Sever Pneumonia,268
Kalikot,2068/69,Bronchitis,1854
Kalikot,2068/69,Asthama,2777
Kalikot,2068/69,Viral Influnenza,353
Kalikot,2068/69,Foreign body in respiratory tract,102
Mugu,2068/69,"ARI/Lower respiratory
tract Infection",1953
Mugu,2068/69,"Upper respiratory tract
Infection",2660
Mugu,2068/69,Pneumonia,1537
Mugu,2068/69,Sever Pneumonia,160
Mugu,2068/69,Bronchitis,1056
Mugu,2068/69,Asthama,1417
Mugu,2068/69,Viral Influnenza,52
