District,Year,Antigens,Number of children
Kathmandu,2067/68,Measles 9-11 months,25952
Kathmandu,2067/68,Measles 12-23,245
Kathmandu,2067/68,Japenese Encephalitis,2130
Kathmandu,2067/68,TT 1,21507
Kathmandu,2067/68,TT2,16686
Kathmandu,2067/68,TT 2+,2574
Nuwakot,2067/68,BCG,5492
Nuwakot,2067/68,DPT-HepB 1,5983
Nuwakot,2067/68,DPT-HepB 2,6052
Nuwakot,2067/68,DPT-HepB 3,5978
Nuwakot,2067/68,Polio1,5983
Nuwakot,2067/68,Polio2,6052
Nuwakot,2067/68,Polio3,5978
Nuwakot,2067/68,Measles 9-11 months,5449
Nuwakot,2067/68,Measles 12-23,62
Nuwakot,2067/68,Japenese Encephalitis,0
Nuwakot,2067/68,TT 1,2467
Nuwakot,2067/68,TT2,2444
Nuwakot,2067/68,TT 2+,2040
Rasuwa,2067/68,BCG,1036
Rasuwa,2067/68,DPT-HepB 1,1077
Rasuwa,2067/68,DPT-HepB 2,1065
Rasuwa,2067/68,DPT-HepB 3,1090
Rasuwa,2067/68,Polio1,1077
Rasuwa,2067/68,Polio2,1065
Rasuwa,2067/68,Polio3,1090
Rasuwa,2067/68,Measles 9-11 months,1017
Rasuwa,2067/68,Measles 12-23,14
Rasuwa,2067/68,Japenese Encephalitis,0
Rasuwa,2067/68,TT 1,157
Rasuwa,2067/68,TT2,580
Rasuwa,2067/68,TT 2+,388
Dhading,2067/68,BCG,8239
Dhading,2067/68,DPT-HepB 1,8503
Dhading,2067/68,DPT-HepB 2,8602
Dhading,2067/68,DPT-HepB 3,8802
Dhading,2067/68,Polio1,8439
Dhading,2067/68,Polio2,8602
Dhading,2067/68,Polio3,8802
Dhading,2067/68,Measles 9-11 months,8054
Dhading,2067/68,Measles 12-23,57
Dhading,2067/68,Japenese Encephalitis,0
Dhading,2067/68,TT 1,1806
Dhading,2067/68,TT2,3904
Dhading,2067/68,TT 2+,4268
Makawanpur,2067/68,BCG,9173
Makawanpur,2067/68,DPT-HepB 1,9539
Makawanpur,2067/68,DPT-HepB 2,9791
Makawanpur,2067/68,DPT-HepB 3,9736
Makawanpur,2067/68,Polio1,9535
Makawanpur,2067/68,Polio2,9768
Makawanpur,2067/68,Polio3,9734
Makawanpur,2067/68,Measles 9-11 months,8293
Makawanpur,2067/68,Measles 12-23,228
Makawanpur,2067/68,Japenese Encephalitis,101
Makawanpur,2067/68,TT 1,4460
Makawanpur,2067/68,TT2,4079
Makawanpur,2067/68,TT 2+,2158
Rautahat,2067/68,BCG,18673
Rautahat,2067/68,DPT-HepB 1,18943
Rautahat,2067/68,DPT-HepB 2,18828
Rautahat,2067/68,DPT-HepB 3,18751
Rautahat,2067/68,Polio1,18909
Rautahat,2067/68,Polio2,18815
Rautahat,2067/68,Polio3,18585
Rautahat,2067/68,Measles 9-11 months,16241
Rautahat,2067/68,Measles 12-23,632
Rautahat,2067/68,Japenese Encephalitis,6505
Rautahat,2067/68,TT 1,17788
Rautahat,2067/68,TT2,13858
Rautahat,2067/68,TT 2+,4933
Bara,2067/68,BCG,17126
Bara,2067/68,DPT-HepB 1,17587
Bara,2067/68,DPT-HepB 2,18129
Bara,2067/68,DPT-HepB 3,17819
Bara,2067/68,Polio1,17588
Bara,2067/68,Polio2,18129
Bara,2067/68,Polio3,17811
Bara,2067/68,Measles 9-11 months,15924
Bara,2067/68,Measles 12-23,359
Bara,2067/68,Japenese Encephalitis,9372
Bara,2067/68,TT 1,8402
Bara,2067/68,TT2,7363
Bara,2067/68,TT 2+,9050
Parsa,2067/68,BCG,13247
Parsa,2067/68,DPT-HepB 1,0
Parsa,2067/68,DPT-HepB 2,0
Parsa,2067/68,DPT-HepB 3,14366
Parsa,2067/68,Polio1,0
Parsa,2067/68,Polio2,0
Parsa,2067/68,Polio3,14448
Parsa,2067/68,Measles 9-11 months,11472
Parsa,2067/68,Measles 12-23,0
Parsa,2067/68,Japenese Encephalitis,8632
Parsa,2067/68,TT 1,0
Parsa,2067/68,TT2,6251
Parsa,2067/68,TT 2+,5728
Chitwan,2067/68,BCG,11821
Chitwan,2067/68,DPT-HepB 1,10523
Chitwan,2067/68,DPT-HepB 2,10402
Chitwan,2067/68,DPT-HepB 3,10683
Chitwan,2067/68,Polio1,10615
Chitwan,2067/68,Polio2,10384
Chitwan,2067/68,Polio3,9664
Chitwan,2067/68,Measles 9-11 months,9658
Chitwan,2067/68,Measles 12-23,51
Chitwan,2067/68,Japenese Encephalitis,7849
Chitwan,2067/68,TT 1,3610
Chitwan,2067/68,TT2,3660
Chitwan,2067/68,TT 2+,6367
Gorkha,2067/68,BCG,5596
Gorkha,2067/68,DPT-HepB 1,5699
Gorkha,2067/68,DPT-HepB 2,5679
Gorkha,2067/68,DPT-HepB 3,5737
Gorkha,2067/68,Polio1,5684
Gorkha,2067/68,Polio2,5664
Gorkha,2067/68,Polio3,5729
Gorkha,2067/68,Measles 9-11 months,5227
Gorkha,2067/68,Measles 12-23,81
Gorkha,2067/68,Japenese Encephalitis,0
Gorkha,2067/68,TT 1,2439
Gorkha,2067/68,TT2,3092
Gorkha,2067/68,TT 2+,1662
Lamjung,2067/68,BCG,3716
Lamjung,2067/68,DPT-HepB 1,3854
Lamjung,2067/68,DPT-HepB 2,3943
Lamjung,2067/68,DPT-HepB 3,4008
Lamjung,2067/68,Polio1,3854
Lamjung,2067/68,Polio2,3943
Lamjung,2067/68,Polio3,4008
Lamjung,2067/68,Measles 9-11 months,3807
Lamjung,2067/68,Measles 12-23,12
Lamjung,2067/68,Japenese Encephalitis,0
Lamjung,2067/68,TT 1,2084
Lamjung,2067/68,TT2,2681
Lamjung,2067/68,TT 2+,695
Tanahu,2067/68,BCG,6587
Tanahu,2067/68,DPT-HepB 1,6807
Tanahu,2067/68,DPT-HepB 2,6776
Tanahu,2067/68,DPT-HepB 3,6964
Tanahu,2067/68,Polio1,6804
Tanahu,2067/68,Polio2,6790
Tanahu,2067/68,Polio3,6960
Tanahu,2067/68,Measles 9-11 months,6366
Tanahu,2067/68,Measles 12-23,59
Tanahu,2067/68,Japenese Encephalitis,0
Tanahu,2067/68,TT 1,3802
Tanahu,2067/68,TT2,3830
Tanahu,2067/68,TT 2+,806
Syangja,2067/68,BCG,6195
Syangja,2067/68,DPT-HepB 1,6876
Syangja,2067/68,DPT-HepB 2,6781
Syangja,2067/68,DPT-HepB 3,7034
Syangja,2067/68,Polio1,6959
Syangja,2067/68,Polio2,6778
Syangja,2067/68,Polio3,7034
Syangja,2067/68,Measles 9-11 months,6516
Syangja,2067/68,Measles 12-23,51
Syangja,2067/68,Japenese Encephalitis,0
Syangja,2067/68,TT 1,706
Syangja,2067/68,TT2,3935
Syangja,2067/68,TT 2+,4784
Kaski,2067/68,BCG,13410
Kaski,2067/68,DPT-HepB 1,9360
Kaski,2067/68,DPT-HepB 2,9666
Kaski,2067/68,DPT-HepB 3,9958
Kaski,2067/68,Polio1,9358
Kaski,2067/68,Polio2,9658
Kaski,2067/68,Polio3,9951
Kaski,2067/68,Measles 9-11 months,9223
Kaski,2067/68,Measles 12-23,82
Kaski,2067/68,Japenese Encephalitis,0
Kaski,2067/68,TT 1,1614
Kaski,2067/68,TT2,4095
Kaski,2067/68,TT 2+,5431
Manang,2067/68,BCG,65
Manang,2067/68,DPT-HepB 1,86
Manang,2067/68,DPT-HepB 2,117
Manang,2067/68,DPT-HepB 3,125
Manang,2067/68,Polio1,86
Manang,2067/68,Polio2,113
Manang,2067/68,Polio3,125
Manang,2067/68,Measles 9-11 months,102
Manang,2067/68,Measles 12-23,7
Manang,2067/68,Japenese Encephalitis,0
Manang,2067/68,TT 1,36
Manang,2067/68,TT2,34
Manang,2067/68,TT 2+,14
Mustang,2067/68,BCG,249
Mustang,2067/68,DPT-HepB 1,248
Mustang,2067/68,DPT-HepB 2,236
Mustang,2067/68,DPT-HepB 3,228
Mustang,2067/68,Polio1,248
Mustang,2067/68,Polio2,236
Mustang,2067/68,Polio3,228
Mustang,2067/68,Measles 9-11 months,192
Mustang,2067/68,Measles 12-23,50
Mustang,2067/68,Japenese Encephalitis,0
Mustang,2067/68,TT 1,46
Mustang,2067/68,TT2,135
Mustang,2067/68,TT 2+,112
Myagdi,2067/68,BCG,2606
Myagdi,2067/68,DPT-HepB 1,2808
Myagdi,2067/68,DPT-HepB 2,2824
Myagdi,2067/68,DPT-HepB 3,2847
Myagdi,2067/68,Polio1,2804
Myagdi,2067/68,Polio2,2829
Myagdi,2067/68,Polio3,2827
Myagdi,2067/68,Measles 9-11 months,2695
Myagdi,2067/68,Measles 12-23,21
Myagdi,2067/68,Japenese Encephalitis,0
Myagdi,2067/68,TT 1,1206
Myagdi,2067/68,TT2,1220
Myagdi,2067/68,TT 2+,1853
Parbat,2067/68,BCG,2922
Parbat,2067/68,DPT-HepB 1,3211
Parbat,2067/68,DPT-HepB 2,3366
Parbat,2067/68,DPT-HepB 3,3476
Parbat,2067/68,Polio1,3209
Parbat,2067/68,Polio2,3357
Parbat,2067/68,Polio3,3471
Parbat,2067/68,Measles 9-11 months,2898
Parbat,2067/68,Measles 12-23,31
Parbat,2067/68,Japenese Encephalitis,0
Parbat,2067/68,TT 1,443
Parbat,2067/68,TT2,1553
Parbat,2067/68,TT 2+,1839
Baglung,2067/68,BCG,6481
Baglung,2067/68,DPT-HepB 1,6555
Baglung,2067/68,DPT-HepB 2,6576
Baglung,2067/68,DPT-HepB 3,6785
Baglung,2067/68,Polio1,6555
Baglung,2067/68,Polio2,6576
Baglung,2067/68,Polio3,6785
Baglung,2067/68,Measles 9-11 months,6163
Baglung,2067/68,Measles 12-23,14
Baglung,2067/68,Japenese Encephalitis,0
Baglung,2067/68,TT 1,4126
Baglung,2067/68,TT2,4034
Baglung,2067/68,TT 2+,701
Gulmi,2067/68,BCG,7144
Gulmi,2067/68,DPT-HepB 1,7053
Gulmi,2067/68,DPT-HepB 2,7320
Gulmi,2067/68,DPT-HepB 3,7463
Gulmi,2067/68,Polio1,7056
Gulmi,2067/68,Polio2,7319
Gulmi,2067/68,Polio3,7463
Gulmi,2067/68,Measles 9-11 months,6967
Gulmi,2067/68,Measles 12-23,30
Gulmi,2067/68,Japenese Encephalitis,0
Gulmi,2067/68,TT 1,921
Gulmi,2067/68,TT2,4056
Gulmi,2067/68,TT 2+,5141
Palpa,2067/68,BCG,6530
Palpa,2067/68,DPT-HepB 1,5601
Palpa,2067/68,DPT-HepB 2,5716
Palpa,2067/68,DPT-HepB 3,5834
Palpa,2067/68,Polio1,5601
Palpa,2067/68,Polio2,5716
Palpa,2067/68,Polio3,5834
Palpa,2067/68,Measles 9-11 months,5443
Palpa,2067/68,Measles 12-23,44
Palpa,2067/68,Japenese Encephalitis,0
Palpa,2067/68,TT 1,477
Palpa,2067/68,TT2,515
Palpa,2067/68,TT 2+,4491
Nawalparasi,2067/68,BCG,13708
Nawalparasi,2067/68,DPT-HepB 1,13677
Nawalparasi,2067/68,DPT-HepB 2,13647
Nawalparasi,2067/68,DPT-HepB 3,14036
Nawalparasi,2067/68,Polio1,13677
Nawalparasi,2067/68,Polio2,13647
Nawalparasi,2067/68,Polio3,14036
Nawalparasi,2067/68,Measles 9-11 months,12683
Nawalparasi,2067/68,Measles 12-23,219
Nawalparasi,2067/68,Japenese Encephalitis,10407
Nawalparasi,2067/68,TT 1,5928
Nawalparasi,2067/68,TT2,8504
Nawalparasi,2067/68,TT 2+,5361
Rupandehi,2067/68,BCG,23788
Rupandehi,2067/68,DPT-HepB 1,0
Rupandehi,2067/68,DPT-HepB 2,0
Rupandehi,2067/68,DPT-HepB 3,20990
Rupandehi,2067/68,Polio1,0
Rupandehi,2067/68,Polio2,0
Rupandehi,2067/68,Polio3,21010
Rupandehi,2067/68,Measles 9-11 months,19669
Rupandehi,2067/68,Measles 12-23,0
Rupandehi,2067/68,Japenese Encephalitis,16665
Rupandehi,2067/68,TT 1,12725
Rupandehi,2067/68,TT2,12981
Rupandehi,2067/68,TT 2+,17904
Kapilvastu,2067/68,BCG,14676
Kapilvastu,2067/68,DPT-HepB 1,14680
Kapilvastu,2067/68,DPT-HepB 2,14679
Kapilvastu,2067/68,DPT-HepB 3,14361
Kapilvastu,2067/68,Polio1,14657
Kapilvastu,2067/68,Polio2,14458
Kapilvastu,2067/68,Polio3,14301
Kapilvastu,2067/68,Measles 9-11 months,12979
Kapilvastu,2067/68,Measles 12-23,247
Kapilvastu,2067/68,Japenese Encephalitis,10974
Kapilvastu,2067/68,TT 1,3682
Kapilvastu,2067/68,TT2,8505
Kapilvastu,2067/68,TT 2+,13000
Arghakhanchi,2067/68,BCG,4675
Arghakhanchi,2067/68,DPT-HepB 1,4821
Arghakhanchi,2067/68,DPT-HepB 2,4931
Arghakhanchi,2067/68,DPT-HepB 3,5071
Arghakhanchi,2067/68,Polio1,4866
Arghakhanchi,2067/68,Polio2,4838
Arghakhanchi,2067/68,Polio3,5085
Arghakhanchi,2067/68,Measles 9-11 months,4661
Arghakhanchi,2067/68,Measles 12-23,23
Arghakhanchi,2067/68,Japenese Encephalitis,0
Arghakhanchi,2067/68,TT 1,855
Arghakhanchi,2067/68,TT2,2358
Arghakhanchi,2067/68,TT 2+,2290
Pyuthan,2067/68,BCG,7073
Pyuthan,2067/68,DPT-HepB 1,7005
Pyuthan,2067/68,DPT-HepB 2,7053
Pyuthan,2067/68,DPT-HepB 3,6999
Pyuthan,2067/68,Polio1,6987
Pyuthan,2067/68,Polio2,7045
Pyuthan,2067/68,Polio3,6985
Pyuthan,2067/68,Measles 9-11 months,6849
Pyuthan,2067/68,Measles 12-23,64
Pyuthan,2067/68,Japenese Encephalitis,0
Pyuthan,2067/68,TT 1,2293
Pyuthan,2067/68,TT2,3063
Pyuthan,2067/68,TT 2+,3933
Rolpa,2067/68,BCG,6149
Rolpa,2067/68,DPT-HepB 1,6232
Rolpa,2067/68,DPT-HepB 2,6577
Rolpa,2067/68,DPT-HepB 3,6642
Rolpa,2067/68,Polio1,6197
Rolpa,2067/68,Polio2,6544
Rolpa,2067/68,Polio3,6623
Rolpa,2067/68,Measles 9-11 months,6077
Rolpa,2067/68,Measles 12-23,90
Rolpa,2067/68,Japenese Encephalitis,0
Rolpa,2067/68,TT 1,951
Rolpa,2067/68,TT2,2249
Rolpa,2067/68,TT 2+,3481
Rukum,2067/68,BCG,5530
Rukum,2067/68,DPT-HepB 1,5582
Rukum,2067/68,DPT-HepB 2,5913
Rukum,2067/68,DPT-HepB 3,5786
Rukum,2067/68,Polio1,5684
Rukum,2067/68,Polio2,5775
Rukum,2067/68,Polio3,5731
Rukum,2067/68,Measles 9-11 months,5322
Rukum,2067/68,Measles 12-23,299
Rukum,2067/68,Japenese Encephalitis,0
Rukum,2067/68,TT 1,3069
Rukum,2067/68,TT2,2711
Rukum,2067/68,TT 2+,1645
Salyan,2067/68,BCG,5764
Salyan,2067/68,DPT-HepB 1,6241
Salyan,2067/68,DPT-HepB 2,6722
Salyan,2067/68,DPT-HepB 3,6738
Salyan,2067/68,Polio1,6241
Salyan,2067/68,Polio2,6722
Salyan,2067/68,Polio3,6741
Salyan,2067/68,Measles 9-11 months,5898
Salyan,2067/68,Measles 12-23,45
Salyan,2067/68,Japenese Encephalitis,0
Salyan,2067/68,TT 1,2018
Salyan,2067/68,TT2,2541
Salyan,2067/68,TT 2+,2482
Dang,2067/68,BCG,13771
Dang,2067/68,DPT-HepB 1,13738
Dang,2067/68,DPT-HepB 2,13486
Dang,2067/68,DPT-HepB 3,13414
Dang,2067/68,Polio1,13736
Dang,2067/68,Polio2,13488
Dang,2067/68,Polio3,13414
Dang,2067/68,Measles 9-11 months,13042
Dang,2067/68,Measles 12-23,46
Dang,2067/68,Japenese Encephalitis,10537
Dang,2067/68,TT 1,2978
Dang,2067/68,TT2,7486
Dang,2067/68,TT 2+,5657
Banke,2067/68,BCG,12917
Banke,2067/68,DPT-HepB 1,11030
Banke,2067/68,DPT-HepB 2,11019
Banke,2067/68,DPT-HepB 3,10805
Banke,2067/68,Polio1,11022
Banke,2067/68,Polio2,11019
Banke,2067/68,Polio3,10803
Banke,2067/68,Measles 9-11 months,9552
Banke,2067/68,Measles 12-23,185
Banke,2067/68,Japenese Encephalitis,7475
Banke,2067/68,TT 1,6043
Banke,2067/68,TT2,5175
Banke,2067/68,TT 2+,5315
Bardiya,2067/68,BCG,7894
Bardiya,2067/68,DPT-HepB 1,8314
Bardiya,2067/68,DPT-HepB 2,8328
Bardiya,2067/68,DPT-HepB 3,8962
Bardiya,2067/68,Polio1,8303
Bardiya,2067/68,Polio2,8320
Bardiya,2067/68,Polio3,8863
Bardiya,2067/68,Measles 9-11 months,7967
Bardiya,2067/68,Measles 12-23,28
Bardiya,2067/68,Japenese Encephalitis,7988
Bardiya,2067/68,TT 1,4276
Bardiya,2067/68,TT2,3869
Bardiya,2067/68,TT 2+,3081
Surkhet,2067/68,BCG,8855
Surkhet,2067/68,DPT-HepB 1,8827
Surkhet,2067/68,DPT-HepB 2,8929
Surkhet,2067/68,DPT-HepB 3,9064
Surkhet,2067/68,Polio1,8832
Surkhet,2067/68,Polio2,8929
Surkhet,2067/68,Polio3,9064
Surkhet,2067/68,Measles 9-11 months,8401
Surkhet,2067/68,Measles 12-23,93
Surkhet,2067/68,Japenese Encephalitis,0
Surkhet,2067/68,TT 1,2728
Surkhet,2067/68,TT2,4226
Surkhet,2067/68,TT 2+,4071
Dailekh,2067/68,BCG,7417
Dailekh,2067/68,DPT-HepB 1,7426
Dailekh,2067/68,DPT-HepB 2,7954
Dailekh,2067/68,DPT-HepB 3,7954
Dailekh,2067/68,Polio1,7426
Dailekh,2067/68,Polio2,7954
Dailekh,2067/68,Polio3,7954
Dailekh,2067/68,Measles 9-11 months,7007
Dailekh,2067/68,Measles 12-23,33
Dailekh,2067/68,Japenese Encephalitis,0
Dailekh,2067/68,TT 1,2421
Dailekh,2067/68,TT2,2385
Dailekh,2067/68,TT 2+,3744
Jajarkot,2067/68,BCG,5368
Jajarkot,2067/68,DPT-HepB 1,5573
Jajarkot,2067/68,DPT-HepB 2,5817
Jajarkot,2067/68,DPT-HepB 3,5645
Jajarkot,2067/68,Polio1,5583
Jajarkot,2067/68,Polio2,5817
Jajarkot,2067/68,Polio3,5645
Jajarkot,2067/68,Measles 9-11 months,5081
Jajarkot,2067/68,Measles 12-23,221
Jajarkot,2067/68,Japenese Encephalitis,0
Jajarkot,2067/68,TT 1,3690
Jajarkot,2067/68,TT2,3472
Jajarkot,2067/68,TT 2+,1183
Dolpa,2067/68,BCG,810
Dolpa,2067/68,DPT-HepB 1,814
Dolpa,2067/68,DPT-HepB 2,821
Dolpa,2067/68,DPT-HepB 3,772
Dolpa,2067/68,Polio1,814
Dolpa,2067/68,Polio2,811
Dolpa,2067/68,Polio3,772
Dolpa,2067/68,Measles 9-11 months,791
Dolpa,2067/68,Measles 12-23,64
Dolpa,2067/68,Japenese Encephalitis,0
Dolpa,2067/68,TT 1,536
Dolpa,2067/68,TT2,412
Dolpa,2067/68,TT 2+,230
Jumla,2067/68,BCG,3197
Jumla,2067/68,DPT-HepB 1,3001
Jumla,2067/68,DPT-HepB 2,3093
Jumla,2067/68,DPT-HepB 3,3015
Jumla,2067/68,Polio1,3100
Jumla,2067/68,Polio2,3096
Jumla,2067/68,Polio3,3035
Jumla,2067/68,Measles 9-11 months,2578
Jumla,2067/68,Measles 12-23,108
Jumla,2067/68,Japenese Encephalitis,0
Jumla,2067/68,TT 1,1890
Jumla,2067/68,TT2,1842
Jumla,2067/68,TT 2+,457
Kalikot,2067/68,BCG,4067
Kalikot,2067/68,DPT-HepB 1,3956
Kalikot,2067/68,DPT-HepB 2,3830
Kalikot,2067/68,DPT-HepB 3,3791
Kalikot,2067/68,Polio1,3869
Kalikot,2067/68,Polio2,3682
Kalikot,2067/68,Polio3,3781
Kalikot,2067/68,Measles 9-11 months,3349
Kalikot,2067/68,Measles 12-23,359
Kalikot,2067/68,Japenese Encephalitis,0
Kalikot,2067/68,TT 1,3144
Kalikot,2067/68,TT2,2110
Kalikot,2067/68,TT 2+,96
Mugu,2067/68,BCG,1673
Mugu,2067/68,DPT-HepB 1,1525
Mugu,2067/68,DPT-HepB 2,1250
Mugu,2067/68,DPT-HepB 3,1060
Mugu,2067/68,Polio1,1445
Mugu,2067/68,Polio2,1212
Mugu,2067/68,Polio3,1057
Mugu,2067/68,Measles 9-11 months,1302
Mugu,2067/68,Measles 12-23,505
Mugu,2067/68,Japenese Encephalitis,0
Mugu,2067/68,TT 1,855
Mugu,2067/68,TT2,625
Mugu,2067/68,TT 2+,329
Humla,2067/68,BCG,1501
Humla,2067/68,DPT-HepB 1,1483
Humla,2067/68,DPT-HepB 2,1472
Humla,2067/68,DPT-HepB 3,1416
Humla,2067/68,Polio1,1483
Humla,2067/68,Polio2,1472
Humla,2067/68,Polio3,1416
Humla,2067/68,Measles 9-11 months,1410
Humla,2067/68,Measles 12-23,173
Humla,2067/68,Japenese Encephalitis,0
Humla,2067/68,TT 1,1007
Humla,2067/68,TT2,758
Humla,2067/68,TT 2+,215
Bajura,2067/68,BCG,3894
Bajura,2067/68,DPT-HepB 1,3941
Bajura,2067/68,DPT-HepB 2,4083
Bajura,2067/68,DPT-HepB 3,4099
Bajura,2067/68,Polio1,3856
Bajura,2067/68,Polio2,4013
Bajura,2067/68,Polio3,4008
Bajura,2067/68,Measles 9-11 months,3702
Bajura,2067/68,Measles 12-23,222
Bajura,2067/68,Japenese Encephalitis,0
Bajura,2067/68,TT 1,1421
Bajura,2067/68,TT2,1569
Bajura,2067/68,TT 2+,1370
Bajhang,2067/68,BCG,5638
Bajhang,2067/68,DPT-HepB 1,5700
Bajhang,2067/68,DPT-HepB 2,5758
Bajhang,2067/68,DPT-HepB 3,5785
Bajhang,2067/68,Polio1,5673
Bajhang,2067/68,Polio2,5689
Bajhang,2067/68,Polio3,5765
Bajhang,2067/68,Measles 9-11 months,4764
Bajhang,2067/68,Measles 12-23,127
Bajhang,2067/68,Japenese Encephalitis,0
Bajhang,2067/68,TT 1,4103
Bajhang,2067/68,TT2,3156
Bajhang,2067/68,TT 2+,1090
Achham,2067/68,BCG,8036
Achham,2067/68,DPT-HepB 1,8172
Achham,2067/68,DPT-HepB 2,8262
Achham,2067/68,DPT-HepB 3,8183
Achham,2067/68,Polio1,8172
Achham,2067/68,Polio2,8260
Achham,2067/68,Polio3,8181
Achham,2067/68,Measles 9-11 months,7634
Achham,2067/68,Measles 12-23,202
Achham,2067/68,Japenese Encephalitis,0
Achham,2067/68,TT 1,1986
Achham,2067/68,TT2,2287
Achham,2067/68,TT 2+,4513
Doti,2067/68,BCG,6375
Doti,2067/68,DPT-HepB 1,6376
Doti,2067/68,DPT-HepB 2,6626
Doti,2067/68,DPT-HepB 3,6480
Doti,2067/68,Polio1,6376
Doti,2067/68,Polio2,6626
Doti,2067/68,Polio3,6489
Doti,2067/68,Measles 9-11 months,5725
Doti,2067/68,Measles 12-23,309
Doti,2067/68,Japenese Encephalitis,0
Doti,2067/68,TT 1,2863
Doti,2067/68,TT2,2348
Doti,2067/68,TT 2+,2796
Kailali,2067/68,BCG,15431
Kailali,2067/68,DPT-HepB 1,15201
Kailali,2067/68,DPT-HepB 2,15688
Kailali,2067/68,DPT-HepB 3,16242
Kailali,2067/68,Polio1,15201
Kailali,2067/68,Polio2,15688
Kailali,2067/68,Polio3,16242
Kailali,2067/68,Measles 9-11 months,15125
Kailali,2067/68,Measles 12-23,403
Kailali,2067/68,Japenese Encephalitis,12175
Kailali,2067/68,TT 1,6467
Kailali,2067/68,TT2,5475
Kailali,2067/68,TT 2+,6968
Kanchanpur,2067/68,BCG,9286
Kanchanpur,2067/68,DPT-HepB 1,9265
Kanchanpur,2067/68,DPT-HepB 2,9844
Kanchanpur,2067/68,DPT-HepB 3,9895
Kanchanpur,2067/68,Polio1,9257
Kanchanpur,2067/68,Polio2,9843
Kanchanpur,2067/68,Polio3,9903
Kanchanpur,2067/68,Measles 9-11 months,8738
Kanchanpur,2067/68,Measles 12-23,201
Kanchanpur,2067/68,Japenese Encephalitis,7332
Kanchanpur,2067/68,TT 1,4193
Kanchanpur,2067/68,TT2,2966
Kanchanpur,2067/68,TT 2+,4107
Dadeldhura,2067/68,BCG,4489
Dadeldhura,2067/68,DPT-HepB 1,4183
Dadeldhura,2067/68,DPT-HepB 2,4094
Dadeldhura,2067/68,DPT-HepB 3,4112
Dadeldhura,2067/68,Polio1,4183
Dadeldhura,2067/68,Polio2,4094
Dadeldhura,2067/68,Polio3,4112
Dadeldhura,2067/68,Measles 9-11 months,3691
Dadeldhura,2067/68,Measles 12-23,152
Dadeldhura,2067/68,Japenese Encephalitis,0
Dadeldhura,2067/68,TT 1,1687
Dadeldhura,2067/68,TT2,1108
Dadeldhura,2067/68,TT 2+,1885
Baitadi,2067/68,BCG,6184
Baitadi,2067/68,DPT-HepB 1,6463
Baitadi,2067/68,DPT-HepB 2,6769
Baitadi,2067/68,DPT-HepB 3,6847
Baitadi,2067/68,Polio1,6456
Baitadi,2067/68,Polio2,6759
Baitadi,2067/68,Polio3,6847
Baitadi,2067/68,Measles 9-11 months,5953
Baitadi,2067/68,Measles 12-23,234
Baitadi,2067/68,Japenese Encephalitis,0
Baitadi,2067/68,TT 1,2011
Baitadi,2067/68,TT2,1862
Baitadi,2067/68,TT 2+,3325
Darchula,2067/68,BCG,3327
Darchula,2067/68,DPT-HepB 1,3389
Darchula,2067/68,DPT-HepB 2,3541
Darchula,2067/68,DPT-HepB 3,3491
Darchula,2067/68,Polio1,3389
Darchula,2067/68,Polio2,3541
Darchula,2067/68,Polio3,3518
Darchula,2067/68,Measles 9-11 months,3163
Darchula,2067/68,Measles 12-23,60
Darchula,2067/68,Japenese Encephalitis,0
Darchula,2067/68,TT 1,1822
Darchula,2067/68,TT2,1704
Darchula,2067/68,TT 2+,1189
Taplejung,2068/69,BCG,3403
Taplejung,2068/69,DPT-HepB 1,3400
Taplejung,2068/69,DPT-HepB 2,3306
Taplejung,2068/69,DPT-HepB 3,3241
Taplejung,2068/69,Polio1,3400
Taplejung,2068/69,Polio2,3306
Taplejung,2068/69,Polio3,3241
Taplejung,2068/69,Measles 9-11 months,3333
Taplejung,2068/69,Measles 12-23,18
Taplejung,2068/69,Japenese Encephalitis,0
Taplejung,2068/69,TT 1,1736
Taplejung,2068/69,TT2,2102
Taplejung,2068/69,TT 2+,1042
Panchthar,2068/69,BCG,4714
Panchthar,2068/69,DPT-HepB 1,4734
Panchthar,2068/69,DPT-HepB 2,4729
Panchthar,2068/69,DPT-HepB 3,4702
Panchthar,2068/69,Polio1,4726
Panchthar,2068/69,Polio2,4719
Panchthar,2068/69,Polio3,4690
Panchthar,2068/69,Measles 9-11 months,4553
Panchthar,2068/69,Measles 12-23,75
Panchthar,2068/69,Japenese Encephalitis,0
Panchthar,2068/69,TT 1,1939
Panchthar,2068/69,TT2,1997
Panchthar,2068/69,TT 2+,2834
Ilam,2068/69,BCG,6885
Ilam,2068/69,DPT-HepB 1,6589
Ilam,2068/69,DPT-HepB 2,6458
Ilam,2068/69,DPT-HepB 3,6488
Ilam,2068/69,Polio1,6589
Ilam,2068/69,Polio2,6456
Ilam,2068/69,Polio3,6488
Ilam,2068/69,Measles 9-11 months,6311
Ilam,2068/69,Measles 12-23,65
Ilam,2068/69,Japenese Encephalitis,0
Ilam,2068/69,TT 1,1109
Ilam,2068/69,TT2,2130
Ilam,2068/69,TT 2+,4832
Jhapa,2068/69,BCG,19645
Jhapa,2068/69,DPT-HepB 1,22024
Jhapa,2068/69,DPT-HepB 2,21290
Jhapa,2068/69,DPT-HepB 3,21474
Jhapa,2068/69,Polio1,22033
Jhapa,2068/69,Polio2,21301
Jhapa,2068/69,Polio3,21477
