Year BS,Year AD,District,zone,belt,region,Gynecological problems,No of people,Zone,Belt,Region
2067/68,2010/11,Lamjung,Gandaki,Hill,Western,Leukerrhoea (Veginal discharge syndrom,855,Gandaki,Hill,Western
2067/68,2010/11,Lamjung,Gandaki,Hill,Western,Mastitis (Ingorged breast),80,Gandaki,Hill,Western
2067/68,2010/11,Lamjung,Gandaki,Hill,Western,Menstrual disorder,408,Gandaki,Hill,Western
2067/68,2010/11,Lamjung,Gandaki,Hill,Western,Pelvic Inflamatory Disease (PID),992,Gandaki,Hill,Western
2067/68,2010/11,Lamjung,Gandaki,Hill,Western,Prolapsed uterus,144,Gandaki,Hill,Western
2068/69,2011/12,Lamjung,Gandaki,Hill,Western,Breast lumps / Breast Abscess,145,Gandaki,Hill,Western
2068/69,2011/12,Lamjung,Gandaki,Hill,Western,Disfunctional uterine bleeding,202,Gandaki,Hill,Western
2068/69,2011/12,Lamjung,Gandaki,Hill,Western,Leukerrhoea (Veginal discharge syndrom,883,Gandaki,Hill,Western
2068/69,2011/12,Lamjung,Gandaki,Hill,Western,Mastitis (Ingorged breast),83,Gandaki,Hill,Western
2068/69,2011/12,Lamjung,Gandaki,Hill,Western,Menstrual disorder,346,Gandaki,Hill,Western
2068/69,2011/12,Lamjung,Gandaki,Hill,Western,Pelvic Inflamatory Disease (PID),1094,Gandaki,Hill,Western
2068/69,2011/12,Lamjung,Gandaki,Hill,Western,Prolapsed uterus,66,Gandaki,Hill,Western
2069/70,2012/13,Lamjung,Gandaki,Hill,Western,Breast lumps / Breast Abscess,175,Gandaki,Hill,Western
2069/70,2012/13,Lamjung,Gandaki,Hill,Western,Disfunctional uterine bleeding,264,Gandaki,Hill,Western
2069/70,2012/13,Lamjung,Gandaki,Hill,Western,Leukerrhoea (Veginal discharge syndrom,1272,Gandaki,Hill,Western
2069/70,2012/13,Lamjung,Gandaki,Hill,Western,Mastitis (Ingorged breast),80,Gandaki,Hill,Western
2069/70,2012/13,Lamjung,Gandaki,Hill,Western,Menstrual disorder,498,Gandaki,Hill,Western
2069/70,2012/13,Lamjung,Gandaki,Hill,Western,Pelvic Inflamatory Disease (PID),1498,Gandaki,Hill,Western
2069/70,2012/13,Lamjung,Gandaki,Hill,Western,Prolapsed uterus,175,Gandaki,Hill,Western
2070/71,2013/14,Lamjung,Gandaki,Hill,Western,Breast lumps / Breast Abscess,106,Gandaki,Hill,Western
2070/71,2013/14,Lamjung,Gandaki,Hill,Western,Disfunctional uterine bleeding,259,Gandaki,Hill,Western
2070/71,2013/14,Lamjung,Gandaki,Hill,Western,Leukerrhoea (Veginal discharge syndrom,1055,Gandaki,Hill,Western
2070/71,2013/14,Lamjung,Gandaki,Hill,Western,Mastitis (Ingorged breast),69,Gandaki,Hill,Western
2070/71,2013/14,Lamjung,Gandaki,Hill,Western,Menstrual disorder,547,Gandaki,Hill,Western
2070/71,2013/14,Lamjung,Gandaki,Hill,Western,Pelvic Inflamatory Disease (PID),1855,Gandaki,Hill,Western
2070/71,2013/14,Lamjung,Gandaki,Hill,Western,Prolapsed uterus,172,Gandaki,Hill,Western
2066/67,2009/10,Mahottari,Janakpur,Terai,Central,Breast lumps / Breast Abscess,264,Janakpur,Terai,Central
2066/67,2009/10,Mahottari,Janakpur,Terai,Central,Disfunctional uterine bleeding,389,Janakpur,Terai,Central
2066/67,2009/10,Mahottari,Janakpur,Terai,Central,Leukerrhoea (Veginal discharge syndrom,1051,Janakpur,Terai,Central
2066/67,2009/10,Mahottari,Janakpur,Terai,Central,Mastitis (Ingorged breast),100,Janakpur,Terai,Central
2066/67,2009/10,Mahottari,Janakpur,Terai,Central,Menstrual disorder,1080,Janakpur,Terai,Central
2066/67,2009/10,Mahottari,Janakpur,Terai,Central,Pelvic Inflamatory Disease (PID),617,Janakpur,Terai,Central
2066/67,2009/10,Mahottari,Janakpur,Terai,Central,Prolapsed uterus,159,Janakpur,Terai,Central
2067/68,2010/11,Mahottari,Janakpur,Terai,Central,Breast lumps / Breast Abscess,281,Janakpur,Terai,Central
2067/68,2010/11,Mahottari,Janakpur,Terai,Central,Disfunctional uterine bleeding,322,Janakpur,Terai,Central
2067/68,2010/11,Mahottari,Janakpur,Terai,Central,Leukerrhoea (Veginal discharge syndrom,1816,Janakpur,Terai,Central
2067/68,2010/11,Mahottari,Janakpur,Terai,Central,Mastitis (Ingorged breast),84,Janakpur,Terai,Central
2067/68,2010/11,Mahottari,Janakpur,Terai,Central,Menstrual disorder,1226,Janakpur,Terai,Central
2067/68,2010/11,Mahottari,Janakpur,Terai,Central,Pelvic Inflamatory Disease (PID),1123,Janakpur,Terai,Central
2067/68,2010/11,Mahottari,Janakpur,Terai,Central,Prolapsed uterus,352,Janakpur,Terai,Central
2068/69,2011/12,Mahottari,Janakpur,Terai,Central,Breast lumps / Breast Abscess,320,Janakpur,Terai,Central
2068/69,2011/12,Mahottari,Janakpur,Terai,Central,Disfunctional uterine bleeding,485,Janakpur,Terai,Central
2068/69,2011/12,Mahottari,Janakpur,Terai,Central,Leukerrhoea (Veginal discharge syndrom,1862,Janakpur,Terai,Central
2068/69,2011/12,Mahottari,Janakpur,Terai,Central,Mastitis (Ingorged breast),87,Janakpur,Terai,Central
2068/69,2011/12,Mahottari,Janakpur,Terai,Central,Menstrual disorder,1337,Janakpur,Terai,Central
2068/69,2011/12,Mahottari,Janakpur,Terai,Central,Pelvic Inflamatory Disease (PID),1032,Janakpur,Terai,Central
2068/69,2011/12,Mahottari,Janakpur,Terai,Central,Prolapsed uterus,275,Janakpur,Terai,Central
2069/70,2012/13,Mahottari,Janakpur,Terai,Central,Breast lumps / Breast Abscess,258,Janakpur,Terai,Central
2069/70,2012/13,Mahottari,Janakpur,Terai,Central,Disfunctional uterine bleeding,487,Janakpur,Terai,Central
2069/70,2012/13,Mahottari,Janakpur,Terai,Central,Leukerrhoea (Veginal discharge syndrom,1878,Janakpur,Terai,Central
2069/70,2012/13,Mahottari,Janakpur,Terai,Central,Mastitis (Ingorged breast),67,Janakpur,Terai,Central
2069/70,2012/13,Mahottari,Janakpur,Terai,Central,Menstrual disorder,1240,Janakpur,Terai,Central
2069/70,2012/13,Mahottari,Janakpur,Terai,Central,Pelvic Inflamatory Disease (PID),1042,Janakpur,Terai,Central
2069/70,2012/13,Mahottari,Janakpur,Terai,Central,Prolapsed uterus,230,Janakpur,Terai,Central
2070/71,2013/14,Mahottari,Janakpur,Terai,Central,Breast lumps / Breast Abscess,252,Janakpur,Terai,Central
2070/71,2013/14,Mahottari,Janakpur,Terai,Central,Disfunctional uterine bleeding,510,Janakpur,Terai,Central
2070/71,2013/14,Mahottari,Janakpur,Terai,Central,Leukerrhoea (Veginal discharge syndrom,1948,Janakpur,Terai,Central
2070/71,2013/14,Mahottari,Janakpur,Terai,Central,Mastitis (Ingorged breast),73,Janakpur,Terai,Central
2070/71,2013/14,Mahottari,Janakpur,Terai,Central,Menstrual disorder,1397,Janakpur,Terai,Central
2070/71,2013/14,Mahottari,Janakpur,Terai,Central,Pelvic Inflamatory Disease (PID),1742,Janakpur,Terai,Central
2070/71,2013/14,Mahottari,Janakpur,Terai,Central,Prolapsed uterus,430,Janakpur,Terai,Central
2066/67,2009/10,Makwanpur,Narayani,Hill,Central,Breast lumps / Breast Abscess,227,Narayani,Hill,Central
2066/67,2009/10,Makwanpur,Narayani,Hill,Central,Disfunctional uterine bleeding,390,Narayani,Hill,Central
2066/67,2009/10,Makwanpur,Narayani,Hill,Central,Leukerrhoea (Veginal discharge syndrom,827,Narayani,Hill,Central
2066/67,2009/10,Makwanpur,Narayani,Hill,Central,Mastitis (Ingorged breast),81,Narayani,Hill,Central
2066/67,2009/10,Makwanpur,Narayani,Hill,Central,Menstrual disorder,436,Narayani,Hill,Central
2066/67,2009/10,Makwanpur,Narayani,Hill,Central,Pelvic Inflamatory Disease (PID),558,Narayani,Hill,Central
2066/67,2009/10,Makwanpur,Narayani,Hill,Central,Prolapsed uterus,162,Narayani,Hill,Central
2067/68,2010/11,Makwanpur,Narayani,Hill,Central,Breast lumps / Breast Abscess,144,Narayani,Hill,Central
2067/68,2010/11,Makwanpur,Narayani,Hill,Central,Disfunctional uterine bleeding,399,Narayani,Hill,Central
2067/68,2010/11,Makwanpur,Narayani,Hill,Central,Leukerrhoea (Veginal discharge syndrom,866,Narayani,Hill,Central
2067/68,2010/11,Makwanpur,Narayani,Hill,Central,Mastitis (Ingorged breast),51,Narayani,Hill,Central
2067/68,2010/11,Makwanpur,Narayani,Hill,Central,Menstrual disorder,397,Narayani,Hill,Central
2067/68,2010/11,Makwanpur,Narayani,Hill,Central,Pelvic Inflamatory Disease (PID),684,Narayani,Hill,Central
2067/68,2010/11,Makwanpur,Narayani,Hill,Central,Prolapsed uterus,127,Narayani,Hill,Central
2068/69,2011/12,Makwanpur,Narayani,Hill,Central,Breast lumps / Breast Abscess,306,Narayani,Hill,Central
2068/69,2011/12,Makwanpur,Narayani,Hill,Central,Disfunctional uterine bleeding,447,Narayani,Hill,Central
2068/69,2011/12,Makwanpur,Narayani,Hill,Central,Leukerrhoea (Veginal discharge syndrom,997,Narayani,Hill,Central
2068/69,2011/12,Makwanpur,Narayani,Hill,Central,Mastitis (Ingorged breast),96,Narayani,Hill,Central
2068/69,2011/12,Makwanpur,Narayani,Hill,Central,Menstrual disorder,560,Narayani,Hill,Central
2068/69,2011/12,Makwanpur,Narayani,Hill,Central,Pelvic Inflamatory Disease (PID),1055,Narayani,Hill,Central
2068/69,2011/12,Makwanpur,Narayani,Hill,Central,Prolapsed uterus,155,Narayani,Hill,Central
2069/70,2012/13,Makwanpur,Narayani,Hill,Central,Breast lumps / Breast Abscess,197,Narayani,Hill,Central
2069/70,2012/13,Makwanpur,Narayani,Hill,Central,Disfunctional uterine bleeding,465,Narayani,Hill,Central
2069/70,2012/13,Makwanpur,Narayani,Hill,Central,Leukerrhoea (Veginal discharge syndrom,809,Narayani,Hill,Central
2069/70,2012/13,Makwanpur,Narayani,Hill,Central,Mastitis (Ingorged breast),112,Narayani,Hill,Central
2069/70,2012/13,Makwanpur,Narayani,Hill,Central,Menstrual disorder,461,Narayani,Hill,Central
2069/70,2012/13,Makwanpur,Narayani,Hill,Central,Pelvic Inflamatory Disease (PID),1000,Narayani,Hill,Central
2069/70,2012/13,Makwanpur,Narayani,Hill,Central,Prolapsed uterus,61,Narayani,Hill,Central
2070/71,2013/14,Makwanpur,Narayani,Hill,Central,Breast lumps / Breast Abscess,199,Narayani,Hill,Central
2070/71,2013/14,Makwanpur,Narayani,Hill,Central,Disfunctional uterine bleeding,473,Narayani,Hill,Central
2070/71,2013/14,Makwanpur,Narayani,Hill,Central,Leukerrhoea (Veginal discharge syndrom,954,Narayani,Hill,Central
2070/71,2013/14,Makwanpur,Narayani,Hill,Central,Mastitis (Ingorged breast),87,Narayani,Hill,Central
2070/71,2013/14,Makwanpur,Narayani,Hill,Central,Menstrual disorder,413,Narayani,Hill,Central
2070/71,2013/14,Makwanpur,Narayani,Hill,Central,Pelvic Inflamatory Disease (PID),812,Narayani,Hill,Central
2070/71,2013/14,Makwanpur,Narayani,Hill,Central,Prolapsed uterus,213,Narayani,Hill,Central
2066/67,2009/10,Manang,Gandaki,Mountain,Western,Breast lumps / Breast Abscess,0,Gandaki,Mountain,Western
2066/67,2009/10,Manang,Gandaki,Mountain,Western,Disfunctional uterine bleeding,1,Gandaki,Mountain,Western
2066/67,2009/10,Manang,Gandaki,Mountain,Western,Leukerrhoea (Veginal discharge syndrom,41,Gandaki,Mountain,Western
2066/67,2009/10,Manang,Gandaki,Mountain,Western,Mastitis (Ingorged breast),1,Gandaki,Mountain,Western
2066/67,2009/10,Manang,Gandaki,Mountain,Western,Menstrual disorder,15,Gandaki,Mountain,Western
2066/67,2009/10,Manang,Gandaki,Mountain,Western,Pelvic Inflamatory Disease (PID),89,Gandaki,Mountain,Western
2066/67,2009/10,Manang,Gandaki,Mountain,Western,Prolapsed uterus,13,Gandaki,Mountain,Western
2067/68,2010/11,Manang,Gandaki,Mountain,Western,Breast lumps / Breast Abscess,4,Gandaki,Mountain,Western
2067/68,2010/11,Manang,Gandaki,Mountain,Western,Disfunctional uterine bleeding,6,Gandaki,Mountain,Western
2067/68,2010/11,Manang,Gandaki,Mountain,Western,Leukerrhoea (Veginal discharge syndrom,12,Gandaki,Mountain,Western
2067/68,2010/11,Manang,Gandaki,Mountain,Western,Mastitis (Ingorged breast),4,Gandaki,Mountain,Western
2067/68,2010/11,Manang,Gandaki,Mountain,Western,Menstrual disorder,15,Gandaki,Mountain,Western
2067/68,2010/11,Manang,Gandaki,Mountain,Western,Pelvic Inflamatory Disease (PID),26,Gandaki,Mountain,Western
2067/68,2010/11,Manang,Gandaki,Mountain,Western,Prolapsed uterus,0,Gandaki,Mountain,Western
2068/69,2011/12,Manang,Gandaki,Mountain,Western,Breast lumps / Breast Abscess,1,Gandaki,Mountain,Western
2068/69,2011/12,Manang,Gandaki,Mountain,Western,Disfunctional uterine bleeding,2,Gandaki,Mountain,Western
2068/69,2011/12,Manang,Gandaki,Mountain,Western,Leukerrhoea (Veginal discharge syndrom,34,Gandaki,Mountain,Western
2068/69,2011/12,Manang,Gandaki,Mountain,Western,Mastitis (Ingorged breast),4,Gandaki,Mountain,Western
2068/69,2011/12,Manang,Gandaki,Mountain,Western,Menstrual disorder,16,Gandaki,Mountain,Western
2068/69,2011/12,Manang,Gandaki,Mountain,Western,Pelvic Inflamatory Disease (PID),15,Gandaki,Mountain,Western
2068/69,2011/12,Manang,Gandaki,Mountain,Western,Prolapsed uterus,1,Gandaki,Mountain,Western
2069/70,2012/13,Manang,Gandaki,Mountain,Western,Breast lumps / Breast Abscess,3,Gandaki,Mountain,Western
2069/70,2012/13,Manang,Gandaki,Mountain,Western,Disfunctional uterine bleeding,2,Gandaki,Mountain,Western
2069/70,2012/13,Manang,Gandaki,Mountain,Western,Leukerrhoea (Veginal discharge syndrom,40,Gandaki,Mountain,Western
2069/70,2012/13,Manang,Gandaki,Mountain,Western,Mastitis (Ingorged breast),0,Gandaki,Mountain,Western
2069/70,2012/13,Manang,Gandaki,Mountain,Western,Menstrual disorder,11,Gandaki,Mountain,Western
2069/70,2012/13,Manang,Gandaki,Mountain,Western,Pelvic Inflamatory Disease (PID),34,Gandaki,Mountain,Western
2069/70,2012/13,Manang,Gandaki,Mountain,Western,Prolapsed uterus,0,Gandaki,Mountain,Western
2070/71,2013/14,Manang,Gandaki,Mountain,Western,Breast lumps / Breast Abscess,1,Gandaki,Mountain,Western
2070/71,2013/14,Manang,Gandaki,Mountain,Western,Disfunctional uterine bleeding,1,Gandaki,Mountain,Western
2070/71,2013/14,Manang,Gandaki,Mountain,Western,Leukerrhoea (Veginal discharge syndrom,22,Gandaki,Mountain,Western
2070/71,2013/14,Manang,Gandaki,Mountain,Western,Mastitis (Ingorged breast),3,Gandaki,Mountain,Western
2070/71,2013/14,Manang,Gandaki,Mountain,Western,Menstrual disorder,10,Gandaki,Mountain,Western
2070/71,2013/14,Manang,Gandaki,Mountain,Western,Pelvic Inflamatory Disease (PID),34,Gandaki,Mountain,Western
2070/71,2013/14,Manang,Gandaki,Mountain,Western,Prolapsed uterus,1,Gandaki,Mountain,Western
2066/67,2009/10,Morang,Kosi,Terai,Eastern,Breast lumps / Breast Abscess,560,Kosi,Terai,Eastern
2066/67,2009/10,Morang,Kosi,Terai,Eastern,Disfunctional uterine bleeding,1153,Kosi,Terai,Eastern
2066/67,2009/10,Morang,Kosi,Terai,Eastern,Leukerrhoea (Veginal discharge syndrom,1487,Kosi,Terai,Eastern
2066/67,2009/10,Morang,Kosi,Terai,Eastern,Mastitis (Ingorged breast),283,Kosi,Terai,Eastern
2066/67,2009/10,Morang,Kosi,Terai,Eastern,Menstrual disorder,3208,Kosi,Terai,Eastern
2066/67,2009/10,Morang,Kosi,Terai,Eastern,Pelvic Inflamatory Disease (PID),1666,Kosi,Terai,Eastern
2066/67,2009/10,Morang,Kosi,Terai,Eastern,Prolapsed uterus,983,Kosi,Terai,Eastern
2067/68,2010/11,Morang,Kosi,Terai,Eastern,Breast lumps / Breast Abscess,622,Kosi,Terai,Eastern
2067/68,2010/11,Morang,Kosi,Terai,Eastern,Disfunctional uterine bleeding,1208,Kosi,Terai,Eastern
2067/68,2010/11,Morang,Kosi,Terai,Eastern,Leukerrhoea (Veginal discharge syndrom,1475,Kosi,Terai,Eastern
2067/68,2010/11,Morang,Kosi,Terai,Eastern,Mastitis (Ingorged breast),388,Kosi,Terai,Eastern
2067/68,2010/11,Morang,Kosi,Terai,Eastern,Menstrual disorder,3214,Kosi,Terai,Eastern
2067/68,2010/11,Morang,Kosi,Terai,Eastern,Pelvic Inflamatory Disease (PID),1741,Kosi,Terai,Eastern
2067/68,2010/11,Morang,Kosi,Terai,Eastern,Prolapsed uterus,917,Kosi,Terai,Eastern
2068/69,2011/12,Morang,Kosi,Terai,Eastern,Breast lumps / Breast Abscess,738,Kosi,Terai,Eastern
2068/69,2011/12,Morang,Kosi,Terai,Eastern,Disfunctional uterine bleeding,1009,Kosi,Terai,Eastern
2068/69,2011/12,Morang,Kosi,Terai,Eastern,Leukerrhoea (Veginal discharge syndrom,2435,Kosi,Terai,Eastern
2068/69,2011/12,Morang,Kosi,Terai,Eastern,Mastitis (Ingorged breast),326,Kosi,Terai,Eastern
2068/69,2011/12,Morang,Kosi,Terai,Eastern,Menstrual disorder,3393,Kosi,Terai,Eastern
2068/69,2011/12,Morang,Kosi,Terai,Eastern,Pelvic Inflamatory Disease (PID),1775,Kosi,Terai,Eastern
2068/69,2011/12,Morang,Kosi,Terai,Eastern,Prolapsed uterus,616,Kosi,Terai,Eastern
2069/70,2012/13,Morang,Kosi,Terai,Eastern,Breast lumps / Breast Abscess,685,Kosi,Terai,Eastern
2069/70,2012/13,Morang,Kosi,Terai,Eastern,Disfunctional uterine bleeding,1143,Kosi,Terai,Eastern
2069/70,2012/13,Morang,Kosi,Terai,Eastern,Leukerrhoea (Veginal discharge syndrom,1584,Kosi,Terai,Eastern
2069/70,2012/13,Morang,Kosi,Terai,Eastern,Mastitis (Ingorged breast),243,Kosi,Terai,Eastern
2069/70,2012/13,Morang,Kosi,Terai,Eastern,Menstrual disorder,5223,Kosi,Terai,Eastern
2069/70,2012/13,Morang,Kosi,Terai,Eastern,Pelvic Inflamatory Disease (PID),1889,Kosi,Terai,Eastern
2069/70,2012/13,Morang,Kosi,Terai,Eastern,Prolapsed uterus,507,Kosi,Terai,Eastern
2070/71,2013/14,Morang,Kosi,Terai,Eastern,Breast lumps / Breast Abscess,802,Kosi,Terai,Eastern
2070/71,2013/14,Morang,Kosi,Terai,Eastern,Disfunctional uterine bleeding,1305,Kosi,Terai,Eastern
2070/71,2013/14,Morang,Kosi,Terai,Eastern,Leukerrhoea (Veginal discharge syndrom,2032,Kosi,Terai,Eastern
2070/71,2013/14,Morang,Kosi,Terai,Eastern,Mastitis (Ingorged breast),367,Kosi,Terai,Eastern
2070/71,2013/14,Morang,Kosi,Terai,Eastern,Menstrual disorder,3728,Kosi,Terai,Eastern
2070/71,2013/14,Morang,Kosi,Terai,Eastern,Pelvic Inflamatory Disease (PID),2458,Kosi,Terai,Eastern
2070/71,2013/14,Morang,Kosi,Terai,Eastern,Prolapsed uterus,666,Kosi,Terai,Eastern
2066/67,2009/10,Mugu,Karnali,Mountain,Mid-Western,Breast lumps / Breast Abscess,62,Karnali,Mountain,Mid-Western
2066/67,2009/10,Mugu,Karnali,Mountain,Mid-Western,Disfunctional uterine bleeding,80,Karnali,Mountain,Mid-Western
2066/67,2009/10,Mugu,Karnali,Mountain,Mid-Western,Leukerrhoea (Veginal discharge syndrom,154,Karnali,Mountain,Mid-Western
2066/67,2009/10,Mugu,Karnali,Mountain,Mid-Western,Mastitis (Ingorged breast),22,Karnali,Mountain,Mid-Western
2066/67,2009/10,Mugu,Karnali,Mountain,Mid-Western,Menstrual disorder,116,Karnali,Mountain,Mid-Western
2066/67,2009/10,Mugu,Karnali,Mountain,Mid-Western,Pelvic Inflamatory Disease (PID),287,Karnali,Mountain,Mid-Western
2066/67,2009/10,Mugu,Karnali,Mountain,Mid-Western,Prolapsed uterus,80,Karnali,Mountain,Mid-Western
2067/68,2010/11,Mugu,Karnali,Mountain,Mid-Western,Breast lumps / Breast Abscess,20,Karnali,Mountain,Mid-Western
2067/68,2010/11,Mugu,Karnali,Mountain,Mid-Western,Disfunctional uterine bleeding,18,Karnali,Mountain,Mid-Western
2067/68,2010/11,Mugu,Karnali,Mountain,Mid-Western,Leukerrhoea (Veginal discharge syndrom,65,Karnali,Mountain,Mid-Western
2067/68,2010/11,Mugu,Karnali,Mountain,Mid-Western,Mastitis (Ingorged breast),10,Karnali,Mountain,Mid-Western
2067/68,2010/11,Mugu,Karnali,Mountain,Mid-Western,Menstrual disorder,35,Karnali,Mountain,Mid-Western
2067/68,2010/11,Mugu,Karnali,Mountain,Mid-Western,Pelvic Inflamatory Disease (PID),86,Karnali,Mountain,Mid-Western
2067/68,2010/11,Mugu,Karnali,Mountain,Mid-Western,Prolapsed uterus,13,Karnali,Mountain,Mid-Western
2068/69,2011/12,Mugu,Karnali,Mountain,Mid-Western,Breast lumps / Breast Abscess,12,Karnali,Mountain,Mid-Western
2068/69,2011/12,Mugu,Karnali,Mountain,Mid-Western,Disfunctional uterine bleeding,36,Karnali,Mountain,Mid-Western
2068/69,2011/12,Mugu,Karnali,Mountain,Mid-Western,Leukerrhoea (Veginal discharge syndrom,137,Karnali,Mountain,Mid-Western
2068/69,2011/12,Mugu,Karnali,Mountain,Mid-Western,Mastitis (Ingorged breast),10,Karnali,Mountain,Mid-Western
2068/69,2011/12,Mugu,Karnali,Mountain,Mid-Western,Menstrual disorder,84,Karnali,Mountain,Mid-Western
2068/69,2011/12,Mugu,Karnali,Mountain,Mid-Western,Pelvic Inflamatory Disease (PID),387,Karnali,Mountain,Mid-Western
2068/69,2011/12,Mugu,Karnali,Mountain,Mid-Western,Prolapsed uterus,42,Karnali,Mountain,Mid-Western
2069/70,2012/13,Mugu,Karnali,Mountain,Mid-Western,Breast lumps / Breast Abscess,29,Karnali,Mountain,Mid-Western
2069/70,2012/13,Mugu,Karnali,Mountain,Mid-Western,Disfunctional uterine bleeding,16,Karnali,Mountain,Mid-Western
2069/70,2012/13,Mugu,Karnali,Mountain,Mid-Western,Leukerrhoea (Veginal discharge syndrom,65,Karnali,Mountain,Mid-Western
2069/70,2012/13,Mugu,Karnali,Mountain,Mid-Western,Mastitis (Ingorged breast),15,Karnali,Mountain,Mid-Western
2069/70,2012/13,Mugu,Karnali,Mountain,Mid-Western,Menstrual disorder,52,Karnali,Mountain,Mid-Western
2069/70,2012/13,Mugu,Karnali,Mountain,Mid-Western,Pelvic Inflamatory Disease (PID),216,Karnali,Mountain,Mid-Western
2069/70,2012/13,Mugu,Karnali,Mountain,Mid-Western,Prolapsed uterus,20,Karnali,Mountain,Mid-Western
2070/71,2013/14,Mugu,Karnali,Mountain,Mid-Western,Breast lumps / Breast Abscess,28,Karnali,Mountain,Mid-Western
2070/71,2013/14,Mugu,Karnali,Mountain,Mid-Western,Disfunctional uterine bleeding,2,Karnali,Mountain,Mid-Western
2070/71,2013/14,Mugu,Karnali,Mountain,Mid-Western,Leukerrhoea (Veginal discharge syndrom,85,Karnali,Mountain,Mid-Western
2070/71,2013/14,Mugu,Karnali,Mountain,Mid-Western,Mastitis (Ingorged breast),8,Karnali,Mountain,Mid-Western
2070/71,2013/14,Mugu,Karnali,Mountain,Mid-Western,Menstrual disorder,9,Karnali,Mountain,Mid-Western
2070/71,2013/14,Mugu,Karnali,Mountain,Mid-Western,Pelvic Inflamatory Disease (PID),251,Karnali,Mountain,Mid-Western
2070/71,2013/14,Mugu,Karnali,Mountain,Mid-Western,Prolapsed uterus,15,Karnali,Mountain,Mid-Western
2066/67,2009/10,Mustang,Dhawalagiri,Mountain,Western,Breast lumps / Breast Abscess,15,Dhawalagiri,Mountain,Western
2066/67,2009/10,Mustang,Dhawalagiri,Mountain,Western,Disfunctional uterine bleeding,5,Dhawalagiri,Mountain,Western
2066/67,2009/10,Mustang,Dhawalagiri,Mountain,Western,Leukerrhoea (Veginal discharge syndrom,23,Dhawalagiri,Mountain,Western
2066/67,2009/10,Mustang,Dhawalagiri,Mountain,Western,Mastitis (Ingorged breast),28,Dhawalagiri,Mountain,Western
2066/67,2009/10,Mustang,Dhawalagiri,Mountain,Western,Menstrual disorder,16,Dhawalagiri,Mountain,Western
2066/67,2009/10,Mustang,Dhawalagiri,Mountain,Western,Pelvic Inflamatory Disease (PID),187,Dhawalagiri,Mountain,Western
2066/67,2009/10,Mustang,Dhawalagiri,Mountain,Western,Prolapsed uterus,2,Dhawalagiri,Mountain,Western
2067/68,2010/11,Mustang,Dhawalagiri,Mountain,Western,Breast lumps / Breast Abscess,6,Dhawalagiri,Mountain,Western
2067/68,2010/11,Mustang,Dhawalagiri,Mountain,Western,Disfunctional uterine bleeding,20,Dhawalagiri,Mountain,Western
2067/68,2010/11,Mustang,Dhawalagiri,Mountain,Western,Leukerrhoea (Veginal discharge syndrom,31,Dhawalagiri,Mountain,Western
2067/68,2010/11,Mustang,Dhawalagiri,Mountain,Western,Mastitis (Ingorged breast),5,Dhawalagiri,Mountain,Western
2067/68,2010/11,Mustang,Dhawalagiri,Mountain,Western,Menstrual disorder,20,Dhawalagiri,Mountain,Western
2067/68,2010/11,Mustang,Dhawalagiri,Mountain,Western,Pelvic Inflamatory Disease (PID),158,Dhawalagiri,Mountain,Western
2067/68,2010/11,Mustang,Dhawalagiri,Mountain,Western,Prolapsed uterus,1,Dhawalagiri,Mountain,Western
2068/69,2011/12,Mustang,Dhawalagiri,Mountain,Western,Breast lumps / Breast Abscess,4,Dhawalagiri,Mountain,Western
2068/69,2011/12,Mustang,Dhawalagiri,Mountain,Western,Disfunctional uterine bleeding,28,Dhawalagiri,Mountain,Western
2068/69,2011/12,Mustang,Dhawalagiri,Mountain,Western,Leukerrhoea (Veginal discharge syndrom,17,Dhawalagiri,Mountain,Western
2068/69,2011/12,Mustang,Dhawalagiri,Mountain,Western,Mastitis (Ingorged breast),10,Dhawalagiri,Mountain,Western
2068/69,2011/12,Mustang,Dhawalagiri,Mountain,Western,Menstrual disorder,27,Dhawalagiri,Mountain,Western
2068/69,2011/12,Mustang,Dhawalagiri,Mountain,Western,Pelvic Inflamatory Disease (PID),118,Dhawalagiri,Mountain,Western
2068/69,2011/12,Mustang,Dhawalagiri,Mountain,Western,Prolapsed uterus,1,Dhawalagiri,Mountain,Western
2069/70,2012/13,Mustang,Dhawalagiri,Mountain,Western,Breast lumps / Breast Abscess,14,Dhawalagiri,Mountain,Western
2069/70,2012/13,Mustang,Dhawalagiri,Mountain,Western,Disfunctional uterine bleeding,11,Dhawalagiri,Mountain,Western
2069/70,2012/13,Mustang,Dhawalagiri,Mountain,Western,Leukerrhoea (Veginal discharge syndrom,41,Dhawalagiri,Mountain,Western
2069/70,2012/13,Mustang,Dhawalagiri,Mountain,Western,Mastitis (Ingorged breast),8,Dhawalagiri,Mountain,Western
2069/70,2012/13,Mustang,Dhawalagiri,Mountain,Western,Menstrual disorder,33,Dhawalagiri,Mountain,Western
2069/70,2012/13,Mustang,Dhawalagiri,Mountain,Western,Pelvic Inflamatory Disease (PID),83,Dhawalagiri,Mountain,Western
2069/70,2012/13,Mustang,Dhawalagiri,Mountain,Western,Prolapsed uterus,4,Dhawalagiri,Mountain,Western
2070/71,2013/14,Mustang,Dhawalagiri,Mountain,Western,Breast lumps / Breast Abscess,8,Dhawalagiri,Mountain,Western
