District,Year,Clinical Malaria/Total Treatment,Age group,Gender,Number of people
Bara,2068/69,Total Treatment,Under 5 Years,Female,734
Bara,2068/69,Total Treatment,5 Years & Above,Male,927
Parsa,2068/69,Clinical Malaria,Under 5 Years,Female,0
Parsa,2068/69,Clinical Malaria,5 Years & Above,Male,0
Parsa,2068/69,Clinical Malaria,Under 5 Years,Female,0
Parsa,2068/69,Clinical Malaria,5 Years & Above,Male,0
Parsa,2068/69,Total Treatment,Under 5 Years,Female,0
Parsa,2068/69,Total Treatment,5 Years & Above,Male,0
Parsa,2068/69,Total Treatment,Under 5 Years,Female,0
Parsa,2068/69,Total Treatment,5 Years & Above,Male,0
Chitwan,2068/69,Clinical Malaria,Under 5 Years,Female,2
Chitwan,2068/69,Clinical Malaria,5 Years & Above,Male,3
Chitwan,2068/69,Clinical Malaria,Under 5 Years,Female,79
Chitwan,2068/69,Clinical Malaria,5 Years & Above,Male,97
Chitwan,2068/69,Total Treatment,Under 5 Years,Female,2
Chitwan,2068/69,Total Treatment,5 Years & Above,Male,3
Chitwan,2068/69,Total Treatment,Under 5 Years,Female,83
Chitwan,2068/69,Total Treatment,5 Years & Above,Male,120
Gorkha,2068/69,Clinical Malaria,Under 5 Years,Female,3
Gorkha,2068/69,Clinical Malaria,5 Years & Above,Male,8
Gorkha,2068/69,Clinical Malaria,Under 5 Years,Female,18
Gorkha,2068/69,Clinical Malaria,5 Years & Above,Male,24
Gorkha,2068/69,Total Treatment,Under 5 Years,Female,3
Gorkha,2068/69,Total Treatment,5 Years & Above,Male,8
Gorkha,2068/69,Total Treatment,Under 5 Years,Female,20
Gorkha,2068/69,Total Treatment,5 Years & Above,Male,28
Lamjung,2068/69,Clinical Malaria,Under 5 Years,Female,0
Lamjung,2068/69,Clinical Malaria,5 Years & Above,Male,0
Lamjung,2068/69,Clinical Malaria,Under 5 Years,Female,3
Lamjung,2068/69,Clinical Malaria,5 Years & Above,Male,7
Lamjung,2068/69,Total Treatment,Under 5 Years,Female,0
Lamjung,2068/69,Total Treatment,5 Years & Above,Male,0
Lamjung,2068/69,Total Treatment,Under 5 Years,Female,2
Lamjung,2068/69,Total Treatment,5 Years & Above,Male,5
Tanahu,2068/69,Clinical Malaria,Under 5 Years,Female,3
Tanahu,2068/69,Clinical Malaria,5 Years & Above,Male,2
Tanahu,2068/69,Clinical Malaria,Under 5 Years,Female,0
Tanahu,2068/69,Clinical Malaria,5 Years & Above,Male,18
Tanahu,2068/69,Total Treatment,Under 5 Years,Female,0
Tanahu,2068/69,Total Treatment,5 Years & Above,Male,0
Tanahu,2068/69,Total Treatment,Under 5 Years,Female,12
Tanahu,2068/69,Total Treatment,5 Years & Above,Male,6
Syangja,2068/69,Clinical Malaria,Under 5 Years,Female,0
Syangja,2068/69,Clinical Malaria,5 Years & Above,Male,0
Syangja,2068/69,Clinical Malaria,Under 5 Years,Female,1
Syangja,2068/69,Clinical Malaria,5 Years & Above,Male,0
Syangja,2068/69,Total Treatment,Under 5 Years,Female,0
Syangja,2068/69,Total Treatment,5 Years & Above,Male,1
Syangja,2068/69,Total Treatment,Under 5 Years,Female,1
Syangja,2068/69,Total Treatment,5 Years & Above,Male,3
Kaski,2068/69,Clinical Malaria,Under 5 Years,Female,0
Kaski,2068/69,Clinical Malaria,5 Years & Above,Male,0
Kaski,2068/69,Clinical Malaria,Under 5 Years,Female,40
Kaski,2068/69,Clinical Malaria,5 Years & Above,Male,41
Kaski,2068/69,Total Treatment,Under 5 Years,Female,4
Kaski,2068/69,Total Treatment,5 Years & Above,Male,4
Kaski,2068/69,Total Treatment,Under 5 Years,Female,49
Kaski,2068/69,Total Treatment,5 Years & Above,Male,65
Manang,2068/69,Clinical Malaria,Under 5 Years,Female,0
Manang,2068/69,Clinical Malaria,5 Years & Above,Male,0
Manang,2068/69,Clinical Malaria,Under 5 Years,Female,0
Manang,2068/69,Clinical Malaria,5 Years & Above,Male,0
Manang,2068/69,Total Treatment,Under 5 Years,Female,0
Manang,2068/69,Total Treatment,5 Years & Above,Male,0
Manang,2068/69,Total Treatment,Under 5 Years,Female,0
Manang,2068/69,Total Treatment,5 Years & Above,Male,0
Mustang,2068/69,Clinical Malaria,Under 5 Years,Female,0
Mustang,2068/69,Clinical Malaria,5 Years & Above,Male,0
Mustang,2068/69,Clinical Malaria,Under 5 Years,Female,0
Mustang,2068/69,Clinical Malaria,5 Years & Above,Male,0
Mustang,2068/69,Total Treatment,Under 5 Years,Female,0
Mustang,2068/69,Total Treatment,5 Years & Above,Male,0
Mustang,2068/69,Total Treatment,Under 5 Years,Female,0
Mustang,2068/69,Total Treatment,5 Years & Above,Male,0
Myagdi,2068/69,Clinical Malaria,Under 5 Years,Female,0
Myagdi,2068/69,Clinical Malaria,5 Years & Above,Male,0
Myagdi,2068/69,Clinical Malaria,Under 5 Years,Female,0
Myagdi,2068/69,Clinical Malaria,5 Years & Above,Male,1
Myagdi,2068/69,Total Treatment,Under 5 Years,Female,0
Myagdi,2068/69,Total Treatment,5 Years & Above,Male,0
Myagdi,2068/69,Total Treatment,Under 5 Years,Female,0
Myagdi,2068/69,Total Treatment,5 Years & Above,Male,2
Parbat,2068/69,Clinical Malaria,Under 5 Years,Female,7
Parbat,2068/69,Clinical Malaria,5 Years & Above,Male,0
Parbat,2068/69,Clinical Malaria,Under 5 Years,Female,9
Parbat,2068/69,Clinical Malaria,5 Years & Above,Male,33
Parbat,2068/69,Total Treatment,Under 5 Years,Female,7
Parbat,2068/69,Total Treatment,5 Years & Above,Male,0
Parbat,2068/69,Total Treatment,Under 5 Years,Female,9
Parbat,2068/69,Total Treatment,5 Years & Above,Male,37
Baglung,2068/69,Clinical Malaria,Under 5 Years,Female,0
Baglung,2068/69,Clinical Malaria,5 Years & Above,Male,0
Baglung,2068/69,Clinical Malaria,Under 5 Years,Female,0
Baglung,2068/69,Clinical Malaria,5 Years & Above,Male,0
Baglung,2068/69,Total Treatment,Under 5 Years,Female,0
Baglung,2068/69,Total Treatment,5 Years & Above,Male,0
Baglung,2068/69,Total Treatment,Under 5 Years,Female,0
Baglung,2068/69,Total Treatment,5 Years & Above,Male,1
Gulmi,2068/69,Clinical Malaria,Under 5 Years,Female,0
Gulmi,2068/69,Clinical Malaria,5 Years & Above,Male,0
Gulmi,2068/69,Clinical Malaria,Under 5 Years,Female,37
Gulmi,2068/69,Clinical Malaria,5 Years & Above,Male,69
Gulmi,2068/69,Total Treatment,Under 5 Years,Female,0
Gulmi,2068/69,Total Treatment,5 Years & Above,Male,0
Gulmi,2068/69,Total Treatment,Under 5 Years,Female,42
Gulmi,2068/69,Total Treatment,5 Years & Above,Male,75
Palpa,2068/69,Clinical Malaria,Under 5 Years,Female,0
Palpa,2068/69,Clinical Malaria,5 Years & Above,Male,0
Palpa,2068/69,Clinical Malaria,Under 5 Years,Female,44
Palpa,2068/69,Clinical Malaria,5 Years & Above,Male,74
Palpa,2068/69,Total Treatment,Under 5 Years,Female,0
Palpa,2068/69,Total Treatment,5 Years & Above,Male,0
Palpa,2068/69,Total Treatment,Under 5 Years,Female,50
Palpa,2068/69,Total Treatment,5 Years & Above,Male,86
Nawalparasi,2068/69,Clinical Malaria,Under 5 Years,Female,74
Nawalparasi,2068/69,Clinical Malaria,5 Years & Above,Male,96
Nawalparasi,2068/69,Clinical Malaria,Under 5 Years,Female,721
Nawalparasi,2068/69,Clinical Malaria,5 Years & Above,Male,763
Nawalparasi,2068/69,Total Treatment,Under 5 Years,Female,75
Nawalparasi,2068/69,Total Treatment,5 Years & Above,Male,96
Nawalparasi,2068/69,Total Treatment,Under 5 Years,Female,725
Nawalparasi,2068/69,Total Treatment,5 Years & Above,Male,808
Rupandehi,2068/69,Clinical Malaria,Under 5 Years,Female,0
Rupandehi,2068/69,Clinical Malaria,5 Years & Above,Male,0
Rupandehi,2068/69,Clinical Malaria,Under 5 Years,Female,0
Rupandehi,2068/69,Clinical Malaria,5 Years & Above,Male,0
Rupandehi,2068/69,Total Treatment,Under 5 Years,Female,0
Rupandehi,2068/69,Total Treatment,5 Years & Above,Male,0
Rupandehi,2068/69,Total Treatment,Under 5 Years,Female,0
Rupandehi,2068/69,Total Treatment,5 Years & Above,Male,0
Kapilvastu,2068/69,Clinical Malaria,Under 5 Years,Female,123
Kapilvastu,2068/69,Clinical Malaria,5 Years & Above,Male,136
Kapilvastu,2068/69,Clinical Malaria,Under 5 Years,Female,544
Kapilvastu,2068/69,Clinical Malaria,5 Years & Above,Male,707
Kapilvastu,2068/69,Total Treatment,Under 5 Years,Female,118
Kapilvastu,2068/69,Total Treatment,5 Years & Above,Male,133
Kapilvastu,2068/69,Total Treatment,Under 5 Years,Female,441
Kapilvastu,2068/69,Total Treatment,5 Years & Above,Male,680
Arghakhanchi,2068/69,Clinical Malaria,Under 5 Years,Female,40
Arghakhanchi,2068/69,Clinical Malaria,5 Years & Above,Male,0
Arghakhanchi,2068/69,Clinical Malaria,Under 5 Years,Female,3
Arghakhanchi,2068/69,Clinical Malaria,5 Years & Above,Male,5
Arghakhanchi,2068/69,Total Treatment,Under 5 Years,Female,25
Arghakhanchi,2068/69,Total Treatment,5 Years & Above,Male,0
Arghakhanchi,2068/69,Total Treatment,Under 5 Years,Female,0
Arghakhanchi,2068/69,Total Treatment,5 Years & Above,Male,0
Pyuthan,2068/69,Clinical Malaria,Under 5 Years,Female,0
Pyuthan,2068/69,Clinical Malaria,5 Years & Above,Male,0
Pyuthan,2068/69,Clinical Malaria,Under 5 Years,Female,0
Pyuthan,2068/69,Clinical Malaria,5 Years & Above,Male,1
Pyuthan,2068/69,Total Treatment,Under 5 Years,Female,0
Pyuthan,2068/69,Total Treatment,5 Years & Above,Male,0
Pyuthan,2068/69,Total Treatment,Under 5 Years,Female,0
Pyuthan,2068/69,Total Treatment,5 Years & Above,Male,1
Rolpa,2068/69,Clinical Malaria,Under 5 Years,Female,0
Rolpa,2068/69,Clinical Malaria,5 Years & Above,Male,0
Rolpa,2068/69,Clinical Malaria,Under 5 Years,Female,4
Rolpa,2068/69,Clinical Malaria,5 Years & Above,Male,5
Rolpa,2068/69,Total Treatment,Under 5 Years,Female,0
Rolpa,2068/69,Total Treatment,5 Years & Above,Male,0
Rolpa,2068/69,Total Treatment,Under 5 Years,Female,4
Rolpa,2068/69,Total Treatment,5 Years & Above,Male,5
Rukum,2068/69,Clinical Malaria,Under 5 Years,Female,0
Rukum,2068/69,Clinical Malaria,5 Years & Above,Male,0
Rukum,2068/69,Clinical Malaria,Under 5 Years,Female,0
Rukum,2068/69,Clinical Malaria,5 Years & Above,Male,0
Rukum,2068/69,Total Treatment,Under 5 Years,Female,0
Rukum,2068/69,Total Treatment,5 Years & Above,Male,0
Rukum,2068/69,Total Treatment,Under 5 Years,Female,0
Rukum,2068/69,Total Treatment,5 Years & Above,Male,0
Salyan,2068/69,Clinical Malaria,Under 5 Years,Female,19
Salyan,2068/69,Clinical Malaria,5 Years & Above,Male,36
Salyan,2068/69,Clinical Malaria,Under 5 Years,Female,68
Salyan,2068/69,Clinical Malaria,5 Years & Above,Male,77
Salyan,2068/69,Total Treatment,Under 5 Years,Female,19
Salyan,2068/69,Total Treatment,5 Years & Above,Male,36
Salyan,2068/69,Total Treatment,Under 5 Years,Female,68
Salyan,2068/69,Total Treatment,5 Years & Above,Male,77
Dang,2068/69,Clinical Malaria,Under 5 Years,Female,1936
Dang,2068/69,Clinical Malaria,5 Years & Above,Male,1856
Dang,2068/69,Clinical Malaria,Under 5 Years,Female,731
Dang,2068/69,Clinical Malaria,5 Years & Above,Male,810
Dang,2068/69,Total Treatment,Under 5 Years,Female,1956
Dang,2068/69,Total Treatment,5 Years & Above,Male,1876
Dang,2068/69,Total Treatment,Under 5 Years,Female,745
Dang,2068/69,Total Treatment,5 Years & Above,Male,845
Banke,2068/69,Clinical Malaria,Under 5 Years,Female,1462
Banke,2068/69,Clinical Malaria,5 Years & Above,Male,1423
Banke,2068/69,Clinical Malaria,Under 5 Years,Female,792
Banke,2068/69,Clinical Malaria,5 Years & Above,Male,779
Banke,2068/69,Total Treatment,Under 5 Years,Female,1462
Banke,2068/69,Total Treatment,5 Years & Above,Male,1423
Banke,2068/69,Total Treatment,Under 5 Years,Female,798
Banke,2068/69,Total Treatment,5 Years & Above,Male,849
Bardiya,2068/69,Clinical Malaria,Under 5 Years,Female,1457
Bardiya,2068/69,Clinical Malaria,5 Years & Above,Male,1475
Bardiya,2068/69,Clinical Malaria,Under 5 Years,Female,1695
Bardiya,2068/69,Clinical Malaria,5 Years & Above,Male,1742
Bardiya,2068/69,Total Treatment,Under 5 Years,Female,1463
Bardiya,2068/69,Total Treatment,5 Years & Above,Male,1480
Bardiya,2068/69,Total Treatment,Under 5 Years,Female,1729
Bardiya,2068/69,Total Treatment,5 Years & Above,Male,1830
Surkhet,2068/69,Clinical Malaria,Under 5 Years,Female,1932
Surkhet,2068/69,Clinical Malaria,5 Years & Above,Male,1598
Surkhet,2068/69,Clinical Malaria,Under 5 Years,Female,1091
Surkhet,2068/69,Clinical Malaria,5 Years & Above,Male,1117
Surkhet,2068/69,Total Treatment,Under 5 Years,Female,1933
Surkhet,2068/69,Total Treatment,5 Years & Above,Male,1600
Surkhet,2068/69,Total Treatment,Under 5 Years,Female,1115
Surkhet,2068/69,Total Treatment,5 Years & Above,Male,1165
Dailekh,2068/69,Clinical Malaria,Under 5 Years,Female,1
Dailekh,2068/69,Clinical Malaria,5 Years & Above,Male,2
Dailekh,2068/69,Clinical Malaria,Under 5 Years,Female,5
Dailekh,2068/69,Clinical Malaria,5 Years & Above,Male,6
Dailekh,2068/69,Total Treatment,Under 5 Years,Female,1
Dailekh,2068/69,Total Treatment,5 Years & Above,Male,2
Dailekh,2068/69,Total Treatment,Under 5 Years,Female,17
Dailekh,2068/69,Total Treatment,5 Years & Above,Male,17
Jajarkot,2068/69,Clinical Malaria,Under 5 Years,Female,0
Jajarkot,2068/69,Clinical Malaria,5 Years & Above,Male,0
Jajarkot,2068/69,Clinical Malaria,Under 5 Years,Female,0
Jajarkot,2068/69,Clinical Malaria,5 Years & Above,Male,0
Jajarkot,2068/69,Total Treatment,Under 5 Years,Female,0
Jajarkot,2068/69,Total Treatment,5 Years & Above,Male,0
Jajarkot,2068/69,Total Treatment,Under 5 Years,Female,0
Jajarkot,2068/69,Total Treatment,5 Years & Above,Male,0
Dolpa,2068/69,Clinical Malaria,Under 5 Years,Female,0
Dolpa,2068/69,Clinical Malaria,5 Years & Above,Male,0
Dolpa,2068/69,Clinical Malaria,Under 5 Years,Female,0
Dolpa,2068/69,Clinical Malaria,5 Years & Above,Male,0
Dolpa,2068/69,Total Treatment,Under 5 Years,Female,0
Dolpa,2068/69,Total Treatment,5 Years & Above,Male,0
Dolpa,2068/69,Total Treatment,Under 5 Years,Female,0
Dolpa,2068/69,Total Treatment,5 Years & Above,Male,0
Jumla,2068/69,Clinical Malaria,Under 5 Years,Female,0
Jumla,2068/69,Clinical Malaria,5 Years & Above,Male,0
Jumla,2068/69,Clinical Malaria,Under 5 Years,Female,0
Jumla,2068/69,Clinical Malaria,5 Years & Above,Male,0
Jumla,2068/69,Total Treatment,Under 5 Years,Female,0
Jumla,2068/69,Total Treatment,5 Years & Above,Male,0
Jumla,2068/69,Total Treatment,Under 5 Years,Female,0
Jumla,2068/69,Total Treatment,5 Years & Above,Male,1
Kalikot,2068/69,Clinical Malaria,Under 5 Years,Female,0
Kalikot,2068/69,Clinical Malaria,5 Years & Above,Male,0
Kalikot,2068/69,Clinical Malaria,Under 5 Years,Female,0
Kalikot,2068/69,Clinical Malaria,5 Years & Above,Male,0
Kalikot,2068/69,Total Treatment,Under 5 Years,Female,0
Kalikot,2068/69,Total Treatment,5 Years & Above,Male,0
Kalikot,2068/69,Total Treatment,Under 5 Years,Female,0
Kalikot,2068/69,Total Treatment,5 Years & Above,Male,4
Mugu,2068/69,Clinical Malaria,Under 5 Years,Female,0
Mugu,2068/69,Clinical Malaria,5 Years & Above,Male,0
Mugu,2068/69,Clinical Malaria,Under 5 Years,Female,0
Mugu,2068/69,Clinical Malaria,5 Years & Above,Male,0
Mugu,2068/69,Total Treatment,Under 5 Years,Female,0
Mugu,2068/69,Total Treatment,5 Years & Above,Male,0
Mugu,2068/69,Total Treatment,Under 5 Years,Female,0
Mugu,2068/69,Total Treatment,5 Years & Above,Male,0
Humla,2068/69,Clinical Malaria,Under 5 Years,Female,0
Humla,2068/69,Clinical Malaria,5 Years & Above,Male,0
Humla,2068/69,Clinical Malaria,Under 5 Years,Female,0
Humla,2068/69,Clinical Malaria,5 Years & Above,Male,0
Humla,2068/69,Total Treatment,Under 5 Years,Female,0
Humla,2068/69,Total Treatment,5 Years & Above,Male,0
Humla,2068/69,Total Treatment,Under 5 Years,Female,0
Humla,2068/69,Total Treatment,5 Years & Above,Male,0
Bajura,2068/69,Clinical Malaria,Under 5 Years,Female,0
Bajura,2068/69,Clinical Malaria,5 Years & Above,Male,0
Bajura,2068/69,Clinical Malaria,Under 5 Years,Female,7
Bajura,2068/69,Clinical Malaria,5 Years & Above,Male,10
Bajura,2068/69,Total Treatment,Under 5 Years,Female,0
Bajura,2068/69,Total Treatment,5 Years & Above,Male,0
Bajura,2068/69,Total Treatment,Under 5 Years,Female,7
Bajura,2068/69,Total Treatment,5 Years & Above,Male,10
Bajhang,2068/69,Clinical Malaria,Under 5 Years,Female,0
Bajhang,2068/69,Clinical Malaria,5 Years & Above,Male,0
Bajhang,2068/69,Clinical Malaria,Under 5 Years,Female,2
Bajhang,2068/69,Clinical Malaria,5 Years & Above,Male,0
Bajhang,2068/69,Total Treatment,Under 5 Years,Female,0
Bajhang,2068/69,Total Treatment,5 Years & Above,Male,0
Bajhang,2068/69,Total Treatment,Under 5 Years,Female,2
Bajhang,2068/69,Total Treatment,5 Years & Above,Male,2
Achham,2068/69,Clinical Malaria,Under 5 Years,Female,0
Achham,2068/69,Clinical Malaria,5 Years & Above,Male,0
Achham,2068/69,Clinical Malaria,Under 5 Years,Female,16
Achham,2068/69,Clinical Malaria,5 Years & Above,Male,15
Achham,2068/69,Total Treatment,Under 5 Years,Female,0
Achham,2068/69,Total Treatment,5 Years & Above,Male,1
Achham,2068/69,Total Treatment,Under 5 Years,Female,18
Achham,2068/69,Total Treatment,5 Years & Above,Male,58
Doti,2068/69,Clinical Malaria,Under 5 Years,Female,74
Doti,2068/69,Clinical Malaria,5 Years & Above,Male,83
Doti,2068/69,Clinical Malaria,Under 5 Years,Female,0
Doti,2068/69,Clinical Malaria,5 Years & Above,Male,0
Doti,2068/69,Total Treatment,Under 5 Years,Female,5
Doti,2068/69,Total Treatment,5 Years & Above,Male,12
Doti,2068/69,Total Treatment,Under 5 Years,Female,0
Doti,2068/69,Total Treatment,5 Years & Above,Male,0
Kailali,2068/69,Clinical Malaria,Under 5 Years,Female,1018
Kailali,2068/69,Clinical Malaria,5 Years & Above,Male,990
Kailali,2068/69,Clinical Malaria,Under 5 Years,Female,904
Kailali,2068/69,Clinical Malaria,5 Years & Above,Male,954
Kailali,2068/69,Total Treatment,Under 5 Years,Female,1019
Kailali,2068/69,Total Treatment,5 Years & Above,Male,993
Kailali,2068/69,Total Treatment,Under 5 Years,Female,1046
Kailali,2068/69,Total Treatment,5 Years & Above,Male,1409
Kanchanpur,2068/69,Clinical Malaria,Under 5 Years,Female,12
Kanchanpur,2068/69,Clinical Malaria,5 Years & Above,Male,13
Kanchanpur,2068/69,Clinical Malaria,Under 5 Years,Female,3
Kanchanpur,2068/69,Clinical Malaria,5 Years & Above,Male,11
Kanchanpur,2068/69,Total Treatment,Under 5 Years,Female,13
Kanchanpur,2068/69,Total Treatment,5 Years & Above,Male,16
Kanchanpur,2068/69,Total Treatment,Under 5 Years,Female,49
Kanchanpur,2068/69,Total Treatment,5 Years & Above,Male,146
Dadeldhura,2068/69,Clinical Malaria,Under 5 Years,Female,33
Dadeldhura,2068/69,Clinical Malaria,5 Years & Above,Male,3
Dadeldhura,2068/69,Clinical Malaria,Under 5 Years,Female,28
Dadeldhura,2068/69,Clinical Malaria,5 Years & Above,Male,17
Dadeldhura,2068/69,Total Treatment,Under 5 Years,Female,33
Dadeldhura,2068/69,Total Treatment,5 Years & Above,Male,3
Dadeldhura,2068/69,Total Treatment,Under 5 Years,Female,44
Dadeldhura,2068/69,Total Treatment,5 Years & Above,Male,37
Baitadi,2068/69,Clinical Malaria,Under 5 Years,Female,3
Baitadi,2068/69,Clinical Malaria,5 Years & Above,Male,6
Baitadi,2068/69,Clinical Malaria,Under 5 Years,Female,26
Baitadi,2068/69,Clinical Malaria,5 Years & Above,Male,19
Baitadi,2068/69,Total Treatment,Under 5 Years,Female,1
Baitadi,2068/69,Total Treatment,5 Years & Above,Male,3
Baitadi,2068/69,Total Treatment,Under 5 Years,Female,68
Baitadi,2068/69,Total Treatment,5 Years & Above,Male,39
Darchula,2068/69,Clinical Malaria,Under 5 Years,Female,0
Darchula,2068/69,Clinical Malaria,5 Years & Above,Male,0
Darchula,2068/69,Clinical Malaria,Under 5 Years,Female,0
Darchula,2068/69,Clinical Malaria,5 Years & Above,Male,0
Darchula,2068/69,Total Treatment,Under 5 Years,Female,0
Darchula,2068/69,Total Treatment,5 Years & Above,Male,0
Darchula,2068/69,Total Treatment,Under 5 Years,Female,0
Darchula,2068/69,Total Treatment,5 Years & Above,Male,0
Taplejung,2069/70,Clinical Malaria,Under 5 Years,Female,0
Taplejung,2069/70,Clinical Malaria,5 Years & Above,Male,0
Taplejung,2069/70,Clinical Malaria,Under 5 Years,Female,0
Taplejung,2069/70,Clinical Malaria,5 Years & Above,Male,3
Taplejung,2069/70,Total Treatment,Under 5 Years,Female,0
Taplejung,2069/70,Total Treatment,5 Years & Above,Male,0
Taplejung,2069/70,Total Treatment,Under 5 Years,Female,0
Taplejung,2069/70,Total Treatment,5 Years & Above,Male,3
Panchthar,2069/70,Clinical Malaria,Under 5 Years,Female,1
Panchthar,2069/70,Clinical Malaria,5 Years & Above,Male,0
Panchthar,2069/70,Clinical Malaria,Under 5 Years,Female,7
Panchthar,2069/70,Clinical Malaria,5 Years & Above,Male,10
Panchthar,2069/70,Total Treatment,Under 5 Years,Female,0
Panchthar,2069/70,Total Treatment,5 Years & Above,Male,0
Panchthar,2069/70,Total Treatment,Under 5 Years,Female,1
Panchthar,2069/70,Total Treatment,5 Years & Above,Male,3
Ilam,2069/70,Clinical Malaria,Under 5 Years,Female,6
Ilam,2069/70,Clinical Malaria,5 Years & Above,Male,6
Ilam,2069/70,Clinical Malaria,Under 5 Years,Female,18
Ilam,2069/70,Clinical Malaria,5 Years & Above,Male,23
Ilam,2069/70,Total Treatment,Under 5 Years,Female,2
Ilam,2069/70,Total Treatment,5 Years & Above,Male,3
Ilam,2069/70,Total Treatment,Under 5 Years,Female,12
Ilam,2069/70,Total Treatment,5 Years & Above,Male,17
Jhapa,2069/70,Clinical Malaria,Under 5 Years,Female,104
Jhapa,2069/70,Clinical Malaria,5 Years & Above,Male,115
Jhapa,2069/70,Clinical Malaria,Under 5 Years,Female,858
Jhapa,2069/70,Clinical Malaria,5 Years & Above,Male,981
Jhapa,2069/70,Total Treatment,Under 5 Years,Female,5
Jhapa,2069/70,Total Treatment,5 Years & Above,Male,5
Jhapa,2069/70,Total Treatment,Under 5 Years,Female,126
Jhapa,2069/70,Total Treatment,5 Years & Above,Male,169
Morang,2069/70,Clinical Malaria,Under 5 Years,Female,479
Morang,2069/70,Clinical Malaria,5 Years & Above,Male,380
Morang,2069/70,Clinical Malaria,Under 5 Years,Female,1498
Morang,2069/70,Clinical Malaria,5 Years & Above,Male,1811
Morang,2069/70,Total Treatment,Under 5 Years,Female,373
Morang,2069/70,Total Treatment,5 Years & Above,Male,299
Morang,2069/70,Total Treatment,Under 5 Years,Female,1232
Morang,2069/70,Total Treatment,5 Years & Above,Male,1472
Sunsari,2069/70,Clinical Malaria,Under 5 Years,Female,3
Sunsari,2069/70,Clinical Malaria,5 Years & Above,Male,2
Sunsari,2069/70,Clinical Malaria,Under 5 Years,Female,658
Sunsari,2069/70,Clinical Malaria,5 Years & Above,Male,673
Sunsari,2069/70,Total Treatment,Under 5 Years,Female,4
Sunsari,2069/70,Total Treatment,5 Years & Above,Male,3
Sunsari,2069/70,Total Treatment,Under 5 Years,Female,587
Sunsari,2069/70,Total Treatment,5 Years & Above,Male,593
Dhankuta,2069/70,Clinical Malaria,Under 5 Years,Female,1
Dhankuta,2069/70,Clinical Malaria,5 Years & Above,Male,0
Dhankuta,2069/70,Clinical Malaria,Under 5 Years,Female,76
Dhankuta,2069/70,Clinical Malaria,5 Years & Above,Male,65
Dhankuta,2069/70,Total Treatment,Under 5 Years,Female,2
Dhankuta,2069/70,Total Treatment,5 Years & Above,Male,0
Dhankuta,2069/70,Total Treatment,Under 5 Years,Female,48
Dhankuta,2069/70,Total Treatment,5 Years & Above,Male,38
Teharthum,2069/70,Clinical Malaria,Under 5 Years,Female,1
Teharthum,2069/70,Clinical Malaria,5 Years & Above,Male,0
Teharthum,2069/70,Clinical Malaria,Under 5 Years,Female,2
Teharthum,2069/70,Clinical Malaria,5 Years & Above,Male,4
Teharthum,2069/70,Total Treatment,Under 5 Years,Female,1
Teharthum,2069/70,Total Treatment,5 Years & Above,Male,0
Teharthum,2069/70,Total Treatment,Under 5 Years,Female,2
Teharthum,2069/70,Total Treatment,5 Years & Above,Male,5
Sankhuwasabha,2069/70,Clinical Malaria,Under 5 Years,Female,0
Sankhuwasabha,2069/70,Clinical Malaria,5 Years & Above,Male,0
Sankhuwasabha,2069/70,Clinical Malaria,Under 5 Years,Female,0
Sankhuwasabha,2069/70,Clinical Malaria,5 Years & Above,Male,2
Sankhuwasabha,2069/70,Total Treatment,Under 5 Years,Female,0
Sankhuwasabha,2069/70,Total Treatment,5 Years & Above,Male,0
Sankhuwasabha,2069/70,Total Treatment,Under 5 Years,Female,0
Sankhuwasabha,2069/70,Total Treatment,5 Years & Above,Male,2
Bhojpur,2069/70,Clinical Malaria,Under 5 Years,Female,0
Bhojpur,2069/70,Clinical Malaria,5 Years & Above,Male,5
Bhojpur,2069/70,Clinical Malaria,Under 5 Years,Female,37
Bhojpur,2069/70,Clinical Malaria,5 Years & Above,Male,35
Bhojpur,2069/70,Total Treatment,Under 5 Years,Female,0
Bhojpur,2069/70,Total Treatment,5 Years & Above,Male,5
Bhojpur,2069/70,Total Treatment,Under 5 Years,Female,37
Bhojpur,2069/70,Total Treatment,5 Years & Above,Male,38
Solukhumbu,2069/70,Clinical Malaria,Under 5 Years,Female,0
Solukhumbu,2069/70,Clinical Malaria,5 Years & Above,Male,0
Solukhumbu,2069/70,Clinical Malaria,Under 5 Years,Female,0
Solukhumbu,2069/70,Clinical Malaria,5 Years & Above,Male,0
Solukhumbu,2069/70,Total Treatment,Under 5 Years,Female,0
Solukhumbu,2069/70,Total Treatment,5 Years & Above,Male,0
Solukhumbu,2069/70,Total Treatment,Under 5 Years,Female,0
Solukhumbu,2069/70,Total Treatment,5 Years & Above,Male,0
Okhaldhunga,2069/70,Clinical Malaria,Under 5 Years,Female,0
Okhaldhunga,2069/70,Clinical Malaria,5 Years & Above,Male,0
Okhaldhunga,2069/70,Clinical Malaria,Under 5 Years,Female,1
Okhaldhunga,2069/70,Clinical Malaria,5 Years & Above,Male,0
Okhaldhunga,2069/70,Total Treatment,Under 5 Years,Female,1
Okhaldhunga,2069/70,Total Treatment,5 Years & Above,Male,0
Okhaldhunga,2069/70,Total Treatment,Under 5 Years,Female,5
Okhaldhunga,2069/70,Total Treatment,5 Years & Above,Male,3
Khotang,2069/70,Clinical Malaria,Under 5 Years,Female,0
Khotang,2069/70,Clinical Malaria,5 Years & Above,Male,0
