District,Year,Gynecological Problem,Number of people
Doti,2067/68,Pelvic Inflamatory Disease (PID),566
Doti,2067/68,Leukerrhoea (Veginal discharge syndrom,252
Doti,2067/68,Menstrual disorder,168
Doti,2067/68,Disfunctional uterine bleeding,192
Doti,2067/68,Breast lumps / Breast Abscess,102
Doti,2067/68,Mastitis (Ingorged breast),33
Kailali,2067/68,Prolapsed uterus,241
Kailali,2067/68,Pelvic Inflamatory Disease (PID),2467
Kailali,2067/68,Leukerrhoea (Veginal discharge syndrom,2404
Kailali,2067/68,Menstrual disorder,1590
Kailali,2067/68,Disfunctional uterine bleeding,1484
Kailali,2067/68,Breast lumps / Breast Abscess,390
Kailali,2067/68,Mastitis (Ingorged breast),135
Kanchanpur,2067/68,Prolapsed uterus,496
Kanchanpur,2067/68,Pelvic Inflamatory Disease (PID),3102
Kanchanpur,2067/68,Leukerrhoea (Veginal discharge syndrom,2354
Kanchanpur,2067/68,Menstrual disorder,650
Kanchanpur,2067/68,Disfunctional uterine bleeding,726
Kanchanpur,2067/68,Breast lumps / Breast Abscess,140
Kanchanpur,2067/68,Mastitis (Ingorged breast),92
Dadeldhura,2067/68,Prolapsed uterus,380
Dadeldhura,2067/68,Pelvic Inflamatory Disease (PID),1857
Dadeldhura,2067/68,Leukerrhoea (Veginal discharge syndrom,1291
Dadeldhura,2067/68,Menstrual disorder,607
Dadeldhura,2067/68,Disfunctional uterine bleeding,284
Dadeldhura,2067/68,Breast lumps / Breast Abscess,93
Dadeldhura,2067/68,Mastitis (Ingorged breast),67
Baitadi,2067/68,Prolapsed uterus,724
Baitadi,2067/68,Pelvic Inflamatory Disease (PID),1603
Baitadi,2067/68,Leukerrhoea (Veginal discharge syndrom,502
Baitadi,2067/68,Menstrual disorder,611
Baitadi,2067/68,Disfunctional uterine bleeding,356
Baitadi,2067/68,Breast lumps / Breast Abscess,174
Baitadi,2067/68,Mastitis (Ingorged breast),51
Darchula,2067/68,Prolapsed uterus,152
Darchula,2067/68,Pelvic Inflamatory Disease (PID),502
Darchula,2067/68,Leukerrhoea (Veginal discharge syndrom,209
Darchula,2067/68,Menstrual disorder,194
Darchula,2067/68,Disfunctional uterine bleeding,143
Darchula,2067/68,Breast lumps / Breast Abscess,65
Darchula,2067/68,Mastitis (Ingorged breast),18
Taplejung,2068/69,Prolapsed uterus,58
Taplejung,2068/69,Pelvic Inflamatory Disease (PID),292
Taplejung,2068/69,Leukerrhoea (Veginal discharge syndrom,205
Taplejung,2068/69,Menstrual disorder,249
Taplejung,2068/69,Disfunctional uterine bleeding,165
Taplejung,2068/69,Breast lumps / Breast Abscess,84
Taplejung,2068/69,Mastitis (Ingorged breast),70
Panchthar,2068/69,Prolapsed uterus,102
Panchthar,2068/69,Pelvic Inflamatory Disease (PID),502
Panchthar,2068/69,Leukerrhoea (Veginal discharge syndrom,111
Panchthar,2068/69,Menstrual disorder,282
Panchthar,2068/69,Disfunctional uterine bleeding,246
Panchthar,2068/69,Breast lumps / Breast Abscess,136
Panchthar,2068/69,Mastitis (Ingorged breast),32
Ilam,2068/69,Prolapsed uterus,61
Ilam,2068/69,Pelvic Inflamatory Disease (PID),402
Ilam,2068/69,Leukerrhoea (Veginal discharge syndrom,391
Ilam,2068/69,Menstrual disorder,501
Ilam,2068/69,Disfunctional uterine bleeding,238
Ilam,2068/69,Breast lumps / Breast Abscess,124
Ilam,2068/69,Mastitis (Ingorged breast),68
Jhapa,2068/69,Prolapsed uterus,286
Jhapa,2068/69,Pelvic Inflamatory Disease (PID),2116
Jhapa,2068/69,Leukerrhoea (Veginal discharge syndrom,2026
Jhapa,2068/69,Menstrual disorder,1750
Jhapa,2068/69,Disfunctional uterine bleeding,696
Jhapa,2068/69,Breast lumps / Breast Abscess,521
Jhapa,2068/69,Mastitis (Ingorged breast),229
Morang,2068/69,Prolapsed uterus,616
Morang,2068/69,Pelvic Inflamatory Disease (PID),1775
Morang,2068/69,Leukerrhoea (Veginal discharge syndrom,2435
Morang,2068/69,Menstrual disorder,3393
Morang,2068/69,Disfunctional uterine bleeding,1009
Morang,2068/69,Breast lumps / Breast Abscess,738
Morang,2068/69,Mastitis (Ingorged breast),326
Sunsari,2068/69,Prolapsed uterus,162
Sunsari,2068/69,Pelvic Inflamatory Disease (PID),459
Sunsari,2068/69,Leukerrhoea (Veginal discharge syndrom,1384
Sunsari,2068/69,Menstrual disorder,914
Sunsari,2068/69,Disfunctional uterine bleeding,372
Sunsari,2068/69,Breast lumps / Breast Abscess,173
Sunsari,2068/69,Mastitis (Ingorged breast),72
Dhankuta,2068/69,Prolapsed uterus,172
Dhankuta,2068/69,Pelvic Inflamatory Disease (PID),365
Dhankuta,2068/69,Leukerrhoea (Veginal discharge syndrom,212
Dhankuta,2068/69,Menstrual disorder,290
Dhankuta,2068/69,Disfunctional uterine bleeding,248
Dhankuta,2068/69,Breast lumps / Breast Abscess,97
Dhankuta,2068/69,Mastitis (Ingorged breast),54
Teharthum,2068/69,Prolapsed uterus,97
Teharthum,2068/69,Pelvic Inflamatory Disease (PID),366
Teharthum,2068/69,Leukerrhoea (Veginal discharge syndrom,276
Teharthum,2068/69,Menstrual disorder,242
Teharthum,2068/69,Disfunctional uterine bleeding,206
Teharthum,2068/69,Breast lumps / Breast Abscess,63
Teharthum,2068/69,Mastitis (Ingorged breast),27
Sankhuwasabha,2068/69,Prolapsed uterus,73
Sankhuwasabha,2068/69,Pelvic Inflamatory Disease (PID),1019
Sankhuwasabha,2068/69,Leukerrhoea (Veginal discharge syndrom,288
Sankhuwasabha,2068/69,Menstrual disorder,533
Sankhuwasabha,2068/69,Disfunctional uterine bleeding,237
Sankhuwasabha,2068/69,Breast lumps / Breast Abscess,151
Sankhuwasabha,2068/69,Mastitis (Ingorged breast),82
Bhojpur,2068/69,Prolapsed uterus,88
Bhojpur,2068/69,Pelvic Inflamatory Disease (PID),311
Bhojpur,2068/69,Leukerrhoea (Veginal discharge syndrom,352
Bhojpur,2068/69,Menstrual disorder,662
Bhojpur,2068/69,Disfunctional uterine bleeding,277
Bhojpur,2068/69,Breast lumps / Breast Abscess,217
Bhojpur,2068/69,Mastitis (Ingorged breast),67
Solukhumbu,2068/69,Prolapsed uterus,100
Solukhumbu,2068/69,Pelvic Inflamatory Disease (PID),295
Solukhumbu,2068/69,Leukerrhoea (Veginal discharge syndrom,297
Solukhumbu,2068/69,Menstrual disorder,524
Solukhumbu,2068/69,Disfunctional uterine bleeding,139
Solukhumbu,2068/69,Breast lumps / Breast Abscess,102
Solukhumbu,2068/69,Mastitis (Ingorged breast),150
Okhaldhunga,2068/69,Prolapsed uterus,97
Okhaldhunga,2068/69,Pelvic Inflamatory Disease (PID),583
Okhaldhunga,2068/69,Leukerrhoea (Veginal discharge syndrom,154
Okhaldhunga,2068/69,Menstrual disorder,396
Okhaldhunga,2068/69,Disfunctional uterine bleeding,194
Okhaldhunga,2068/69,Breast lumps / Breast Abscess,164
Okhaldhunga,2068/69,Mastitis (Ingorged breast),31
Khotang,2068/69,Prolapsed uterus,176
Khotang,2068/69,Pelvic Inflamatory Disease (PID),586
Khotang,2068/69,Leukerrhoea (Veginal discharge syndrom,494
Khotang,2068/69,Menstrual disorder,603
Khotang,2068/69,Disfunctional uterine bleeding,245
Khotang,2068/69,Breast lumps / Breast Abscess,299
Khotang,2068/69,Mastitis (Ingorged breast),114
Udaypur,2068/69,Prolapsed uterus,287
Udaypur,2068/69,Pelvic Inflamatory Disease (PID),1299
Udaypur,2068/69,Leukerrhoea (Veginal discharge syndrom,2411
Udaypur,2068/69,Menstrual disorder,1061
Udaypur,2068/69,Disfunctional uterine bleeding,457
Udaypur,2068/69,Breast lumps / Breast Abscess,402
Udaypur,2068/69,Mastitis (Ingorged breast),127
Saptari,2068/69,Prolapsed uterus,549
Saptari,2068/69,Pelvic Inflamatory Disease (PID),619
Saptari,2068/69,Leukerrhoea (Veginal discharge syndrom,1918
Saptari,2068/69,Menstrual disorder,936
Saptari,2068/69,Disfunctional uterine bleeding,297
Saptari,2068/69,Breast lumps / Breast Abscess,393
Saptari,2068/69,Mastitis (Ingorged breast),143
Siraha,2068/69,Prolapsed uterus,180
Siraha,2068/69,Pelvic Inflamatory Disease (PID),589
Siraha,2068/69,Leukerrhoea (Veginal discharge syndrom,1279
Siraha,2068/69,Menstrual disorder,741
Siraha,2068/69,Disfunctional uterine bleeding,519
Siraha,2068/69,Breast lumps / Breast Abscess,290
Siraha,2068/69,Mastitis (Ingorged breast),111
Dhanusha,2068/69,Prolapsed uterus,147
Dhanusha,2068/69,Pelvic Inflamatory Disease (PID),621
Dhanusha,2068/69,Leukerrhoea (Veginal discharge syndrom,1341
Dhanusha,2068/69,Menstrual disorder,867
Dhanusha,2068/69,Disfunctional uterine bleeding,539
Dhanusha,2068/69,Breast lumps / Breast Abscess,279
Dhanusha,2068/69,Mastitis (Ingorged breast),55
Mahottari,2068/69,Prolapsed uterus,275
Mahottari,2068/69,Pelvic Inflamatory Disease (PID),1032
Mahottari,2068/69,Leukerrhoea (Veginal discharge syndrom,1862
Mahottari,2068/69,Menstrual disorder,1337
Mahottari,2068/69,Disfunctional uterine bleeding,485
Mahottari,2068/69,Breast lumps / Breast Abscess,320
Mahottari,2068/69,Mastitis (Ingorged breast),87
Sarlahi,2068/69,Prolapsed uterus,116
Sarlahi,2068/69,Pelvic Inflamatory Disease (PID),776
Sarlahi,2068/69,Leukerrhoea (Veginal discharge syndrom,1860
Sarlahi,2068/69,Menstrual disorder,1238
Sarlahi,2068/69,Disfunctional uterine bleeding,412
Sarlahi,2068/69,Breast lumps / Breast Abscess,332
Sarlahi,2068/69,Mastitis (Ingorged breast),65
Sindhuli,2068/69,Prolapsed uterus,27
Sindhuli,2068/69,Pelvic Inflamatory Disease (PID),404
Sindhuli,2068/69,Leukerrhoea (Veginal discharge syndrom,364
Sindhuli,2068/69,Menstrual disorder,324
Sindhuli,2068/69,Disfunctional uterine bleeding,183
Sindhuli,2068/69,Breast lumps / Breast Abscess,116
Sindhuli,2068/69,Mastitis (Ingorged breast),41
Ramechhap,2068/69,Prolapsed uterus,429
Ramechhap,2068/69,Pelvic Inflamatory Disease (PID),1433
Ramechhap,2068/69,Leukerrhoea (Veginal discharge syndrom,424
Ramechhap,2068/69,Menstrual disorder,1416
Ramechhap,2068/69,Disfunctional uterine bleeding,455
Ramechhap,2068/69,Breast lumps / Breast Abscess,227
Ramechhap,2068/69,Mastitis (Ingorged breast),137
Dolkha,2068/69,Prolapsed uterus,412
Dolkha,2068/69,Pelvic Inflamatory Disease (PID),1275
Dolkha,2068/69,Leukerrhoea (Veginal discharge syndrom,282
Dolkha,2068/69,Menstrual disorder,1135
Dolkha,2068/69,Disfunctional uterine bleeding,239
Dolkha,2068/69,Breast lumps / Breast Abscess,128
Dolkha,2068/69,Mastitis (Ingorged breast),85
Sindhupalchowk,2068/69,Prolapsed uterus,624
Sindhupalchowk,2068/69,Pelvic Inflamatory Disease (PID),1298
Sindhupalchowk,2068/69,Leukerrhoea (Veginal discharge syndrom,714
Sindhupalchowk,2068/69,Menstrual disorder,683
Sindhupalchowk,2068/69,Disfunctional uterine bleeding,471
Sindhupalchowk,2068/69,Breast lumps / Breast Abscess,225
Sindhupalchowk,2068/69,Mastitis (Ingorged breast),109
Kavre,2068/69,Prolapsed uterus,1458
Kavre,2068/69,Pelvic Inflamatory Disease (PID),2052
Kavre,2068/69,Leukerrhoea (Veginal discharge syndrom,849
Kavre,2068/69,Menstrual disorder,1568
Kavre,2068/69,Disfunctional uterine bleeding,653
Kavre,2068/69,Breast lumps / Breast Abscess,431
Kavre,2068/69,Mastitis (Ingorged breast),141
Lalitpur,2068/69,Prolapsed uterus,0
Lalitpur,2068/69,Pelvic Inflamatory Disease (PID),0
Lalitpur,2068/69,Leukerrhoea (Veginal discharge syndrom,0
Lalitpur,2068/69,Menstrual disorder,0
Lalitpur,2068/69,Disfunctional uterine bleeding,0
Lalitpur,2068/69,Breast lumps / Breast Abscess,0
Lalitpur,2068/69,Mastitis (Ingorged breast),0
Bhaktapur,2068/69,Prolapsed uterus,103
Bhaktapur,2068/69,Pelvic Inflamatory Disease (PID),834
Bhaktapur,2068/69,Leukerrhoea (Veginal discharge syndrom,662
Bhaktapur,2068/69,Menstrual disorder,581
Bhaktapur,2068/69,Disfunctional uterine bleeding,183
Bhaktapur,2068/69,Breast lumps / Breast Abscess,147
Bhaktapur,2068/69,Mastitis (Ingorged breast),67
Kathmandu,2068/69,Prolapsed uterus,1549
Kathmandu,2068/69,Pelvic Inflamatory Disease (PID),4523
Kathmandu,2068/69,Leukerrhoea (Veginal discharge syndrom,3459
Kathmandu,2068/69,Menstrual disorder,4423
Kathmandu,2068/69,Disfunctional uterine bleeding,1904
Kathmandu,2068/69,Breast lumps / Breast Abscess,715
Kathmandu,2068/69,Mastitis (Ingorged breast),730
Nuwakot,2068/69,Prolapsed uterus,205
Nuwakot,2068/69,Pelvic Inflamatory Disease (PID),996
Nuwakot,2068/69,Leukerrhoea (Veginal discharge syndrom,548
Nuwakot,2068/69,Menstrual disorder,368
Nuwakot,2068/69,Disfunctional uterine bleeding,274
Nuwakot,2068/69,Breast lumps / Breast Abscess,158
Nuwakot,2068/69,Mastitis (Ingorged breast),72
Rasuwa,2068/69,Prolapsed uterus,18
Rasuwa,2068/69,Pelvic Inflamatory Disease (PID),276
Rasuwa,2068/69,Leukerrhoea (Veginal discharge syndrom,96
Rasuwa,2068/69,Menstrual disorder,167
Rasuwa,2068/69,Disfunctional uterine bleeding,93
Rasuwa,2068/69,Breast lumps / Breast Abscess,44
Rasuwa,2068/69,Mastitis (Ingorged breast),21
Dhading,2068/69,Prolapsed uterus,508
Dhading,2068/69,Pelvic Inflamatory Disease (PID),2149
Dhading,2068/69,Leukerrhoea (Veginal discharge syndrom,1569
Dhading,2068/69,Menstrual disorder,1152
Dhading,2068/69,Disfunctional uterine bleeding,904
Dhading,2068/69,Breast lumps / Breast Abscess,463
Dhading,2068/69,Mastitis (Ingorged breast),227
Makawanpur,2068/69,Prolapsed uterus,155
Makawanpur,2068/69,Pelvic Inflamatory Disease (PID),1055
Makawanpur,2068/69,Leukerrhoea (Veginal discharge syndrom,997
Makawanpur,2068/69,Menstrual disorder,560
Makawanpur,2068/69,Disfunctional uterine bleeding,447
Makawanpur,2068/69,Breast lumps / Breast Abscess,306
Makawanpur,2068/69,Mastitis (Ingorged breast),96
Rautahat,2068/69,Prolapsed uterus,421
Rautahat,2068/69,Pelvic Inflamatory Disease (PID),1224
Rautahat,2068/69,Leukerrhoea (Veginal discharge syndrom,2110
Rautahat,2068/69,Menstrual disorder,1114
Rautahat,2068/69,Disfunctional uterine bleeding,309
Rautahat,2068/69,Breast lumps / Breast Abscess,243
Rautahat,2068/69,Mastitis (Ingorged breast),92
Bara,2068/69,Prolapsed uterus,255
Bara,2068/69,Pelvic Inflamatory Disease (PID),962
Bara,2068/69,Leukerrhoea (Veginal discharge syndrom,1641
Bara,2068/69,Menstrual disorder,857
Bara,2068/69,Disfunctional uterine bleeding,287
Bara,2068/69,Breast lumps / Breast Abscess,264
Bara,2068/69,Mastitis (Ingorged breast),221
Parsa,2068/69,Prolapsed uterus,0
Parsa,2068/69,Pelvic Inflamatory Disease (PID),0
Parsa,2068/69,Leukerrhoea (Veginal discharge syndrom,0
Parsa,2068/69,Menstrual disorder,0
Parsa,2068/69,Disfunctional uterine bleeding,0
Parsa,2068/69,Breast lumps / Breast Abscess,0
Parsa,2068/69,Mastitis (Ingorged breast),0
Chitwan,2068/69,Prolapsed uterus,924
Chitwan,2068/69,Pelvic Inflamatory Disease (PID),2433
Chitwan,2068/69,Leukerrhoea (Veginal discharge syndrom,1131
Chitwan,2068/69,Menstrual disorder,956
Chitwan,2068/69,Disfunctional uterine bleeding,736
Chitwan,2068/69,Breast lumps / Breast Abscess,624
Chitwan,2068/69,Mastitis (Ingorged breast),110
Gorkha,2068/69,Prolapsed uterus,537
Gorkha,2068/69,Pelvic Inflamatory Disease (PID),3045
Gorkha,2068/69,Leukerrhoea (Veginal discharge syndrom,1712
Gorkha,2068/69,Menstrual disorder,960
Gorkha,2068/69,Disfunctional uterine bleeding,609
Gorkha,2068/69,Breast lumps / Breast Abscess,435
Gorkha,2068/69,Mastitis (Ingorged breast),287
Lamjung,2068/69,Prolapsed uterus,66
Lamjung,2068/69,Pelvic Inflamatory Disease (PID),1094
Lamjung,2068/69,Leukerrhoea (Veginal discharge syndrom,883
Lamjung,2068/69,Menstrual disorder,346
Lamjung,2068/69,Disfunctional uterine bleeding,202
Lamjung,2068/69,Breast lumps / Breast Abscess,145
Lamjung,2068/69,Mastitis (Ingorged breast),83
Tanahu,2068/69,Prolapsed uterus,315
Tanahu,2068/69,Pelvic Inflamatory Disease (PID),1805
Tanahu,2068/69,Leukerrhoea (Veginal discharge syndrom,1124
Tanahu,2068/69,Menstrual disorder,723
Tanahu,2068/69,Disfunctional uterine bleeding,338
Tanahu,2068/69,Breast lumps / Breast Abscess,230
Tanahu,2068/69,Mastitis (Ingorged breast),47
Syangja,2068/69,Prolapsed uterus,352
Syangja,2068/69,Pelvic Inflamatory Disease (PID),1839
Syangja,2068/69,Leukerrhoea (Veginal discharge syndrom,1586
Syangja,2068/69,Menstrual disorder,708
Syangja,2068/69,Disfunctional uterine bleeding,200
Syangja,2068/69,Breast lumps / Breast Abscess,248
Syangja,2068/69,Mastitis (Ingorged breast),130
Kaski,2068/69,Prolapsed uterus,1097
Kaski,2068/69,Pelvic Inflamatory Disease (PID),3621
Kaski,2068/69,Leukerrhoea (Veginal discharge syndrom,3040
Kaski,2068/69,Menstrual disorder,2148
Kaski,2068/69,Disfunctional uterine bleeding,1053
Kaski,2068/69,Breast lumps / Breast Abscess,1281
Kaski,2068/69,Mastitis (Ingorged breast),76
Manang,2068/69,Prolapsed uterus,1
Manang,2068/69,Pelvic Inflamatory Disease (PID),15
Manang,2068/69,Leukerrhoea (Veginal discharge syndrom,34
Manang,2068/69,Menstrual disorder,16
Manang,2068/69,Disfunctional uterine bleeding,2
Manang,2068/69,Breast lumps / Breast Abscess,1
Manang,2068/69,Mastitis (Ingorged breast),4
Mustang,2068/69,Prolapsed uterus,1
Mustang,2068/69,Pelvic Inflamatory Disease (PID),118
Mustang,2068/69,Leukerrhoea (Veginal discharge syndrom,17
Mustang,2068/69,Menstrual disorder,27
Mustang,2068/69,Disfunctional uterine bleeding,28
Mustang,2068/69,Breast lumps / Breast Abscess,4
Mustang,2068/69,Mastitis (Ingorged breast),10
Myagdi,2068/69,Prolapsed uterus,83
Myagdi,2068/69,Pelvic Inflamatory Disease (PID),502
Myagdi,2068/69,Leukerrhoea (Veginal discharge syndrom,375
Myagdi,2068/69,Menstrual disorder,747
Myagdi,2068/69,Disfunctional uterine bleeding,190
Myagdi,2068/69,Breast lumps / Breast Abscess,169
Myagdi,2068/69,Mastitis (Ingorged breast),95
Parbat,2068/69,Prolapsed uterus,112
Parbat,2068/69,Pelvic Inflamatory Disease (PID),1013
Parbat,2068/69,Leukerrhoea (Veginal discharge syndrom,483
Parbat,2068/69,Menstrual disorder,190
Parbat,2068/69,Disfunctional uterine bleeding,187
Parbat,2068/69,Breast lumps / Breast Abscess,81
Parbat,2068/69,Mastitis (Ingorged breast),62
Baglung,2068/69,Prolapsed uterus,199
Baglung,2068/69,Pelvic Inflamatory Disease (PID),1701
Baglung,2068/69,Leukerrhoea (Veginal discharge syndrom,959
Baglung,2068/69,Menstrual disorder,575
Baglung,2068/69,Disfunctional uterine bleeding,293
Baglung,2068/69,Breast lumps / Breast Abscess,174
Baglung,2068/69,Mastitis (Ingorged breast),178
Gulmi,2068/69,Prolapsed uterus,392
Gulmi,2068/69,Pelvic Inflamatory Disease (PID),1574
Gulmi,2068/69,Leukerrhoea (Veginal discharge syndrom,1031
Gulmi,2068/69,Menstrual disorder,540
Gulmi,2068/69,Disfunctional uterine bleeding,287
Gulmi,2068/69,Breast lumps / Breast Abscess,191
Gulmi,2068/69,Mastitis (Ingorged breast),110
Palpa,2068/69,Prolapsed uterus,825
Palpa,2068/69,Pelvic Inflamatory Disease (PID),3742
Palpa,2068/69,Leukerrhoea (Veginal discharge syndrom,1470
Palpa,2068/69,Menstrual disorder,1322
Palpa,2068/69,Disfunctional uterine bleeding,783
Palpa,2068/69,Breast lumps / Breast Abscess,411
Palpa,2068/69,Mastitis (Ingorged breast),263
Nawalparasi,2068/69,Prolapsed uterus,134
Nawalparasi,2068/69,Pelvic Inflamatory Disease (PID),1753
Nawalparasi,2068/69,Leukerrhoea (Veginal discharge syndrom,3752
Nawalparasi,2068/69,Menstrual disorder,1332
Nawalparasi,2068/69,Disfunctional uterine bleeding,707
Nawalparasi,2068/69,Breast lumps / Breast Abscess,311
Nawalparasi,2068/69,Mastitis (Ingorged breast),95
Rupandehi,2068/69,Prolapsed uterus,0
Rupandehi,2068/69,Pelvic Inflamatory Disease (PID),0
Rupandehi,2068/69,Leukerrhoea (Veginal discharge syndrom,0
Rupandehi,2068/69,Menstrual disorder,0
Rupandehi,2068/69,Disfunctional uterine bleeding,0
Rupandehi,2068/69,Breast lumps / Breast Abscess,0
Rupandehi,2068/69,Mastitis (Ingorged breast),0
Kapilvastu,2068/69,Prolapsed uterus,299
Kapilvastu,2068/69,Pelvic Inflamatory Disease (PID),1923
Kapilvastu,2068/69,Leukerrhoea (Veginal discharge syndrom,3487
Kapilvastu,2068/69,Menstrual disorder,1978
Kapilvastu,2068/69,Disfunctional uterine bleeding,612
Kapilvastu,2068/69,Breast lumps / Breast Abscess,251
Kapilvastu,2068/69,Mastitis (Ingorged breast),162
Arghakhanchi,2068/69,Prolapsed uterus,220
Arghakhanchi,2068/69,Pelvic Inflamatory Disease (PID),1272
Arghakhanchi,2068/69,Leukerrhoea (Veginal discharge syndrom,804
Arghakhanchi,2068/69,Menstrual disorder,331
Arghakhanchi,2068/69,Disfunctional uterine bleeding,263
Arghakhanchi,2068/69,Breast lumps / Breast Abscess,170
Arghakhanchi,2068/69,Mastitis (Ingorged breast),151
Pyuthan,2068/69,Prolapsed uterus,290
Pyuthan,2068/69,Pelvic Inflamatory Disease (PID),1962
Pyuthan,2068/69,Leukerrhoea (Veginal discharge syndrom,613
Pyuthan,2068/69,Menstrual disorder,194
Pyuthan,2068/69,Disfunctional uterine bleeding,299
Pyuthan,2068/69,Breast lumps / Breast Abscess,332
Pyuthan,2068/69,Mastitis (Ingorged breast),66
Rolpa,2068/69,Prolapsed uterus,178
Rolpa,2068/69,Pelvic Inflamatory Disease (PID),1288
Rolpa,2068/69,Leukerrhoea (Veginal discharge syndrom,519
Rolpa,2068/69,Menstrual disorder,411
Rolpa,2068/69,Disfunctional uterine bleeding,366
Rolpa,2068/69,Breast lumps / Breast Abscess,216
Rolpa,2068/69,Mastitis (Ingorged breast),115
Rukum,2068/69,Prolapsed uterus,370
Rukum,2068/69,Pelvic Inflamatory Disease (PID),1401
Rukum,2068/69,Leukerrhoea (Veginal discharge syndrom,812
Rukum,2068/69,Menstrual disorder,702
Rukum,2068/69,Disfunctional uterine bleeding,364
Rukum,2068/69,Breast lumps / Breast Abscess,174
Rukum,2068/69,Mastitis (Ingorged breast),88
Salyan,2068/69,Prolapsed uterus,289
Salyan,2068/69,Pelvic Inflamatory Disease (PID),1564
Salyan,2068/69,Leukerrhoea (Veginal discharge syndrom,1302
Salyan,2068/69,Menstrual disorder,462
Salyan,2068/69,Disfunctional uterine bleeding,338
Salyan,2068/69,Breast lumps / Breast Abscess,103
Salyan,2068/69,Mastitis (Ingorged breast),46
Dang,2068/69,Prolapsed uterus,241
Dang,2068/69,Pelvic Inflamatory Disease (PID),2171
Dang,2068/69,Leukerrhoea (Veginal discharge syndrom,2014
Dang,2068/69,Menstrual disorder,902
Dang,2068/69,Disfunctional uterine bleeding,614
Dang,2068/69,Breast lumps / Breast Abscess,398
Dang,2068/69,Mastitis (Ingorged breast),252
Banke,2068/69,Prolapsed uterus,66
Banke,2068/69,Pelvic Inflamatory Disease (PID),952
Banke,2068/69,Leukerrhoea (Veginal discharge syndrom,1565
Banke,2068/69,Menstrual disorder,466
Banke,2068/69,Disfunctional uterine bleeding,497
Banke,2068/69,Breast lumps / Breast Abscess,195
Banke,2068/69,Mastitis (Ingorged breast),42
Bardiya,2068/69,Prolapsed uterus,188
Bardiya,2068/69,Pelvic Inflamatory Disease (PID),2176
Bardiya,2068/69,Leukerrhoea (Veginal discharge syndrom,3667
Bardiya,2068/69,Menstrual disorder,1546
Bardiya,2068/69,Disfunctional uterine bleeding,1011
Bardiya,2068/69,Breast lumps / Breast Abscess,347
Bardiya,2068/69,Mastitis (Ingorged breast),191
Surkhet,2068/69,Prolapsed uterus,393
Surkhet,2068/69,Pelvic Inflamatory Disease (PID),3086
Surkhet,2068/69,Leukerrhoea (Veginal discharge syndrom,1791
Surkhet,2068/69,Menstrual disorder,761
Surkhet,2068/69,Disfunctional uterine bleeding,604
Surkhet,2068/69,Breast lumps / Breast Abscess,250
Surkhet,2068/69,Mastitis (Ingorged breast),44
Dailekh,2068/69,Prolapsed uterus,192
Dailekh,2068/69,Pelvic Inflamatory Disease (PID),1566
Dailekh,2068/69,Leukerrhoea (Veginal discharge syndrom,786
Dailekh,2068/69,Menstrual disorder,446
Dailekh,2068/69,Disfunctional uterine bleeding,770
Dailekh,2068/69,Breast lumps / Breast Abscess,206
Dailekh,2068/69,Mastitis (Ingorged breast),69
Jajarkot,2068/69,Prolapsed uterus,359
Jajarkot,2068/69,Pelvic Inflamatory Disease (PID),1477
Jajarkot,2068/69,Leukerrhoea (Veginal discharge syndrom,674
Jajarkot,2068/69,Menstrual disorder,414
Jajarkot,2068/69,Disfunctional uterine bleeding,318
Jajarkot,2068/69,Breast lumps / Breast Abscess,123
Jajarkot,2068/69,Mastitis (Ingorged breast),98
Dolpa,2068/69,Prolapsed uterus,8
Dolpa,2068/69,Pelvic Inflamatory Disease (PID),269
Dolpa,2068/69,Leukerrhoea (Veginal discharge syndrom,130
Dolpa,2068/69,Menstrual disorder,36
Dolpa,2068/69,Disfunctional uterine bleeding,4
Dolpa,2068/69,Breast lumps / Breast Abscess,18
Dolpa,2068/69,Mastitis (Ingorged breast),16
Jumla,2068/69,Prolapsed uterus,2
Jumla,2068/69,Pelvic Inflamatory Disease (PID),653
Jumla,2068/69,Leukerrhoea (Veginal discharge syndrom,201
Jumla,2068/69,Menstrual disorder,29
Jumla,2068/69,Disfunctional uterine bleeding,20
Jumla,2068/69,Breast lumps / Breast Abscess,21
Jumla,2068/69,Mastitis (Ingorged breast),7
Kalikot,2068/69,Prolapsed uterus,105
Kalikot,2068/69,Pelvic Inflamatory Disease (PID),650
Kalikot,2068/69,Leukerrhoea (Veginal discharge syndrom,196
Kalikot,2068/69,Menstrual disorder,167
Kalikot,2068/69,Disfunctional uterine bleeding,174
Kalikot,2068/69,Breast lumps / Breast Abscess,109
Kalikot,2068/69,Mastitis (Ingorged breast),19
Mugu,2068/69,Prolapsed uterus,42
Mugu,2068/69,Pelvic Inflamatory Disease (PID),387
Mugu,2068/69,Leukerrhoea (Veginal discharge syndrom,137
Mugu,2068/69,Menstrual disorder,84
Mugu,2068/69,Disfunctional uterine bleeding,36
Mugu,2068/69,Breast lumps / Breast Abscess,12
Mugu,2068/69,Mastitis (Ingorged breast),10
Humla,2068/69,Prolapsed uterus,45
Humla,2068/69,Pelvic Inflamatory Disease (PID),602
Humla,2068/69,Leukerrhoea (Veginal discharge syndrom,299
Humla,2068/69,Menstrual disorder,236
Humla,2068/69,Disfunctional uterine bleeding,113
Humla,2068/69,Breast lumps / Breast Abscess,88
Humla,2068/69,Mastitis (Ingorged breast),44
Bajura,2068/69,Prolapsed uterus,45
