District,zone,belt,region,Year BS,Year AD,Conducted by,Institution,Number of women,Zone,Belt,Region
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,Conducted by health workers,Health Institution ,188,Lumbini,Terai,Western
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,Conducted by health workers,Home,286,Lumbini,Terai,Western
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,,Birthing Center (HP/SHP),672,Lumbini,Terai,Western
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,,At BEOC/CEOC centers,2511,Lumbini,Terai,Western
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,Conducted by SBA,Health Institution,20965,Lumbini,Terai,Western
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,Conducted by SBA,Home,0,Lumbini,Terai,Western
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,Conducted by health workers,Health Institution ,1463,Lumbini,Terai,Western
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,Conducted by health workers,Home,2178,Lumbini,Terai,Western
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,,Birthing Center (HP/SHP),0,Lumbini,Terai,Western
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,,At BEOC/CEOC centers,0,Lumbini,Terai,Western
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,Conducted by SBA,Health Institution,1363,Lumbini,Terai,Western
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,Conducted by SBA,Home,1046,Lumbini,Terai,Western
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,Conducted by health workers,Health Institution ,193,Lumbini,Terai,Western
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,Conducted by health workers,Home,3227,Lumbini,Terai,Western
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,,Birthing Center (HP/SHP),410,Lumbini,Terai,Western
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,,At BEOC/CEOC centers,891,Lumbini,Terai,Western
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Conducted by SBA,Health Institution,1245,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Conducted by SBA,Home,162,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Conducted by health workers,Health Institution ,52,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Conducted by health workers,Home,285,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,,Birthing Center (HP/SHP),393,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,,At BEOC/CEOC centers,141,Lumbini,Hill,Western
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,Conducted by SBA,Health Institution,1318,Rapti,Hill,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,Conducted by SBA,Home,54,Rapti,Hill,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,Conducted by health workers,Health Institution ,71,Rapti,Hill,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,Conducted by health workers,Home,432,Rapti,Hill,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,,Birthing Center (HP/SHP),456,Rapti,Hill,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,,At BEOC/CEOC centers,839,Rapti,Hill,Mid-Western
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,Conducted by SBA,Health Institution,1689,Rapti,Hill,Mid-Western
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,Conducted by SBA,Home,71,Rapti,Hill,Mid-Western
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,Conducted by health workers,Health Institution ,156,Rapti,Hill,Mid-Western
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,Conducted by health workers,Home,93,Rapti,Hill,Mid-Western
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,,Birthing Center (HP/SHP),1465,Rapti,Hill,Mid-Western
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,,At BEOC/CEOC centers,319,Rapti,Hill,Mid-Western
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/12,Conducted by SBA,Health Institution,1224,Rapti,Hill,Mid-Western
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/12,Conducted by SBA,Home,165,Rapti,Hill,Mid-Western
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/12,Conducted by health workers,Health Institution ,127,Rapti,Hill,Mid-Western
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/12,Conducted by health workers,Home,533,Rapti,Hill,Mid-Western
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/12,,Birthing Center (HP/SHP),1207,Rapti,Hill,Mid-Western
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/12,,At BEOC/CEOC centers,152,Rapti,Hill,Mid-Western
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/12,Conducted by SBA,Health Institution,1792,Rapti,Hill,Mid-Western
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/12,Conducted by SBA,Home,28,Rapti,Hill,Mid-Western
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/12,Conducted by health workers,Health Institution ,145,Rapti,Hill,Mid-Western
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/12,Conducted by health workers,Home,82,Rapti,Hill,Mid-Western
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/12,,Birthing Center (HP/SHP),1355,Rapti,Hill,Mid-Western
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/12,,At BEOC/CEOC centers,8,Rapti,Hill,Mid-Western
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,Conducted by SBA,Health Institution,7047,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,Conducted by SBA,Home,49,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,Conducted by health workers,Health Institution ,641,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,Conducted by health workers,Home,67,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,,Birthing Center (HP/SHP),2835,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,,At BEOC/CEOC centers,3796,Rapti,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,Conducted by SBA,Health Institution,11295,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,Conducted by SBA,Home,90,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,Conducted by health workers,Health Institution ,36,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,Conducted by health workers,Home,136,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,,Birthing Center (HP/SHP),1604,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,,At BEOC/CEOC centers,9705,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Conducted by SBA,Health Institution,5047,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Conducted by SBA,Home,25,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Conducted by health workers,Health Institution ,11,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Conducted by health workers,Home,29,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,,Birthing Center (HP/SHP),3270,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,,At BEOC/CEOC centers,1787,Bheri,Terai,Mid-Western
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,Conducted by SBA,Health Institution,6095,Bheri,Hill,Mid-Western
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,Conducted by SBA,Home,16,Bheri,Hill,Mid-Western
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,Conducted by health workers,Health Institution ,151,Bheri,Hill,Mid-Western
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,Conducted by health workers,Home,211,Bheri,Hill,Mid-Western
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,,Birthing Center (HP/SHP),2365,Bheri,Hill,Mid-Western
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,,At BEOC/CEOC centers,3802,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,Conducted by SBA,Health Institution,4202,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,Conducted by SBA,Home,39,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,Conducted by health workers,Health Institution ,196,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,Conducted by health workers,Home,58,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,,Birthing Center (HP/SHP),3435,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,,At BEOC/CEOC centers,963,Bheri,Hill,Mid-Western
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,Conducted by SBA,Health Institution,970,Bheri,Hill,Mid-Western
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,Conducted by SBA,Home,115,Bheri,Hill,Mid-Western
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,Conducted by health workers,Health Institution ,211,Bheri,Hill,Mid-Western
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,Conducted by health workers,Home,399,Bheri,Hill,Mid-Western
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,,Birthing Center (HP/SHP),775,Bheri,Hill,Mid-Western
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,,At BEOC/CEOC centers,124,Bheri,Hill,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Conducted by SBA,Health Institution,145,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Conducted by SBA,Home,49,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Conducted by health workers,Health Institution ,4,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Conducted by health workers,Home,65,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,,Birthing Center (HP/SHP),1,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,,At BEOC/CEOC centers,74,Karnali,Mountain,Mid-Western
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Conducted by SBA,Health Institution,1218,Karnali,Mountain,Mid-Western
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Conducted by SBA,Home,197,Karnali,Mountain,Mid-Western
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Conducted by health workers,Health Institution ,85,Karnali,Mountain,Mid-Western
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Conducted by health workers,Home,232,Karnali,Mountain,Mid-Western
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,,Birthing Center (HP/SHP),505,Karnali,Mountain,Mid-Western
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,,At BEOC/CEOC centers,11,Karnali,Mountain,Mid-Western
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,Conducted by SBA,Health Institution,1150,Karnali,Mountain,Mid-Western
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,Conducted by SBA,Home,128,Karnali,Mountain,Mid-Western
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,Conducted by health workers,Health Institution ,92,Karnali,Mountain,Mid-Western
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,Conducted by health workers,Home,130,Karnali,Mountain,Mid-Western
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,,Birthing Center (HP/SHP),860,Karnali,Mountain,Mid-Western
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,,At BEOC/CEOC centers,348,Karnali,Mountain,Mid-Western
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,Conducted by SBA,Health Institution,535,Karnali,Mountain,Mid-Western
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,Conducted by SBA,Home,80,Karnali,Mountain,Mid-Western
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,Conducted by health workers,Health Institution ,41,Karnali,Mountain,Mid-Western
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,Conducted by health workers,Home,198,Karnali,Mountain,Mid-Western
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,,Birthing Center (HP/SHP),258,Karnali,Mountain,Mid-Western
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,,At BEOC/CEOC centers,111,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Conducted by SBA,Health Institution,599,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Conducted by SBA,Home,96,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Conducted by health workers,Health Institution ,85,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Conducted by health workers,Home,195,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,,Birthing Center (HP/SHP),684,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,,At BEOC/CEOC centers,120,Karnali,Mountain,Mid-Western
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Conducted by SBA,Health Institution,1143,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Conducted by SBA,Home,57,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Conducted by health workers,Health Institution ,202,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Conducted by health workers,Home,86,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,,Birthing Center (HP/SHP),768,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,,At BEOC/CEOC centers,373,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Conducted by SBA,Health Institution,1709,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Conducted by SBA,Home,75,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Conducted by health workers,Health Institution ,296,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Conducted by health workers,Home,486,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,,Birthing Center (HP/SHP),1259,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,,At BEOC/CEOC centers,595,Seti,Mountain,Far-Western
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Conducted by SBA,Health Institution,2631,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Conducted by SBA,Home,108,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Conducted by health workers,Health Institution ,165,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Conducted by health workers,Home,678,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2068/69,2011/12,,Birthing Center (HP/SHP),2726,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2068/69,2011/12,,At BEOC/CEOC centers,415,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Conducted by SBA,Health Institution,2856,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Conducted by SBA,Home,116,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Conducted by health workers,Health Institution ,203,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Conducted by health workers,Home,152,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2068/69,2011/12,,Birthing Center (HP/SHP),2940,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2068/69,2011/12,,At BEOC/CEOC centers,7,Seti,Hill,Far-Western
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,Conducted by SBA,Health Institution,11636,Seti,Terai,Far-Western
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,Conducted by SBA,Home,129,Seti,Terai,Far-Western
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,Conducted by health workers,Health Institution ,638,Seti,Terai,Far-Western
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,Conducted by health workers,Home,75,Seti,Terai,Far-Western
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,,Birthing Center (HP/SHP),3514,Seti,Terai,Far-Western
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,,At BEOC/CEOC centers,8434,Seti,Terai,Far-Western
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,Conducted by SBA,Health Institution,5805,Mahakali,Terai,Far-Western
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,Conducted by SBA,Home,2,Mahakali,Terai,Far-Western
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,Conducted by health workers,Health Institution ,0,Mahakali,Terai,Far-Western
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,Conducted by health workers,Home,23,Mahakali,Terai,Far-Western
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,,Birthing Center (HP/SHP),2647,Mahakali,Terai,Far-Western
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,,At BEOC/CEOC centers,3160,Mahakali,Terai,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,Conducted by SBA,Health Institution,1796,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,Conducted by SBA,Home,347,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,Conducted by health workers,Health Institution ,404,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,Conducted by health workers,Home,25,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,,Birthing Center (HP/SHP),661,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,,At BEOC/CEOC centers,0,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Conducted by SBA,Health Institution,759,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Conducted by SBA,Home,121,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Conducted by health workers,Health Institution ,274,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Conducted by health workers,Home,345,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,,Birthing Center (HP/SHP),497,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,,At BEOC/CEOC centers,241,Mahakali,Hill,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2068/69,2011/12,Conducted by SBA,Health Institution,1322,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2068/69,2011/12,Conducted by SBA,Home,37,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2068/69,2011/12,Conducted by health workers,Health Institution ,65,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2068/69,2011/12,Conducted by health workers,Home,302,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2068/69,2011/12,,Birthing Center (HP/SHP),618,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2068/69,2011/12,,At BEOC/CEOC centers,736,Mahakali,Mountain,Far-Western
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Conducted by SBA,Health Institution,654,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Conducted by SBA,Home,78,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Conducted by health workers,Health Institution ,114,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Conducted by health workers,Home,536,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,,Birthing Center (HP/SHP),239,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,,At BEOC/CEOC centers,329,Mechi,Mountain,Eastern
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,Conducted by SBA,Health Institution,1661,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,Conducted by SBA,Home,57,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,Conducted by health workers,Health Institution ,33,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,Conducted by health workers,Home,211,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,,Birthing Center (HP/SHP),742,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,,At BEOC/CEOC centers,950,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2069/70,2012/13,Conducted by SBA,Health Institution,1443,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2069/70,2012/13,Conducted by SBA,Home,158,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2069/70,2012/13,Conducted by health workers,Health Institution ,69,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2069/70,2012/13,Conducted by health workers,Home,275,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2069/70,2012/13,,Birthing Center (HP/SHP),471,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2069/70,2012/13,,At BEOC/CEOC centers,946,Mechi,Hill,Eastern
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,Conducted by SBA,Health Institution,14204,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,Conducted by SBA,Home,178,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,Conducted by health workers,Health Institution ,11,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,Conducted by health workers,Home,257,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,,Birthing Center (HP/SHP),598,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,,At BEOC/CEOC centers,12832,Mechi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2069/70,2012/13,Conducted by SBA,Health Institution,16509,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2069/70,2012/13,Conducted by SBA,Home,62,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2069/70,2012/13,Conducted by health workers,Health Institution ,0,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2069/70,2012/13,Conducted by health workers,Home,163,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2069/70,2012/13,,Birthing Center (HP/SHP),123,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2069/70,2012/13,,At BEOC/CEOC centers,16381,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,Conducted by SBA,Health Institution,15130,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,Conducted by SBA,Home,73,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,Conducted by health workers,Health Institution ,0,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,Conducted by health workers,Home,54,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,,Birthing Center (HP/SHP),3552,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,,At BEOC/CEOC centers,11531,Kosi,Terai,Eastern
Dhankuta,Kosi,Hill,Eastern,2069/70,2012/13,Conducted by SBA,Health Institution,619,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2069/70,2012/13,Conducted by SBA,Home,86,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2069/70,2012/13,Conducted by health workers,Health Institution ,30,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2069/70,2012/13,Conducted by health workers,Home,323,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2069/70,2012/13,,Birthing Center (HP/SHP),312,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2069/70,2012/13,,At BEOC/CEOC centers,35,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2069/70,2012/13,Conducted by SBA,Health Institution,555,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2069/70,2012/13,Conducted by SBA,Home,42,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2069/70,2012/13,Conducted by health workers,Health Institution ,40,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2069/70,2012/13,Conducted by health workers,Home,173,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2069/70,2012/13,,Birthing Center (HP/SHP),287,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2069/70,2012/13,,At BEOC/CEOC centers,295,Kosi,Hill,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,Conducted by SBA,Health Institution,1536,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,Conducted by SBA,Home,53,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,Conducted by health workers,Health Institution ,41,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,Conducted by health workers,Home,62,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,,Birthing Center (HP/SHP),907,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,,At BEOC/CEOC centers,538,Kosi,Mountain,Eastern
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,Conducted by SBA,Health Institution,601,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,Conducted by SBA,Home,46,Kosi,Hill,Eastern
