District,Year,ENT related problems,Number of people
Salyan,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),5612
Salyan,2068/69,Sinusitis,1969
Salyan,2068/69,Tonsilitis,2526
Salyan,2068/69,Pharyngities/ Sore throat,2288
Salyan,2068/69,Foreign body in respiratory tract,140
Dang,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),9620
Dang,2068/69,Sinusitis,2713
Dang,2068/69,Tonsilitis,4453
Dang,2068/69,Pharyngities/ Sore throat,2795
Dang,2068/69,Foreign body in respiratory tract,10
Banke,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),14562
Banke,2068/69,Sinusitis,904
Banke,2068/69,Tonsilitis,3134
Banke,2068/69,Pharyngities/ Sore throat,1597
Banke,2068/69,Foreign body in respiratory tract,34
Bardiya,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),9897
Bardiya,2068/69,Sinusitis,2296
Bardiya,2068/69,Tonsilitis,5484
Bardiya,2068/69,Pharyngities/ Sore throat,3654
Bardiya,2068/69,Foreign body in respiratory tract,57
Surkhet,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),8272
Surkhet,2068/69,Sinusitis,2387
Surkhet,2068/69,Tonsilitis,5305
Surkhet,2068/69,Pharyngities/ Sore throat,2361
Surkhet,2068/69,Foreign body in respiratory tract,79
Dailekh,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),5304
Dailekh,2068/69,Sinusitis,978
Dailekh,2068/69,Tonsilitis,2814
Dailekh,2068/69,Pharyngities/ Sore throat,933
Dailekh,2068/69,Foreign body in respiratory tract,67
Jajarkot,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),3560
Jajarkot,2068/69,Sinusitis,1247
Jajarkot,2068/69,Tonsilitis,1963
Jajarkot,2068/69,Pharyngities/ Sore throat,1237
Jajarkot,2068/69,Foreign body in respiratory tract,106
Dolpa,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),366
Dolpa,2068/69,Sinusitis,309
Dolpa,2068/69,Tonsilitis,445
Dolpa,2068/69,Pharyngities/ Sore throat,211
Dolpa,2068/69,Foreign body in respiratory tract,26
Jumla,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),1717
Jumla,2068/69,Sinusitis,407
Jumla,2068/69,Tonsilitis,622
Jumla,2068/69,Pharyngities/ Sore throat,181
Jumla,2068/69,Foreign body in respiratory tract,30
Kalikot,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),1337
Kalikot,2068/69,Sinusitis,712
Kalikot,2068/69,Tonsilitis,914
Kalikot,2068/69,Pharyngities/ Sore throat,568
Kalikot,2068/69,Foreign body in respiratory tract,102
Mugu,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),650
Mugu,2068/69,Sinusitis,593
Mugu,2068/69,Tonsilitis,767
Mugu,2068/69,Pharyngities/ Sore throat,272
Mugu,2068/69,Foreign body in respiratory tract,49
Humla,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),1728
Humla,2068/69,Sinusitis,976
Humla,2068/69,Tonsilitis,1208
Humla,2068/69,Pharyngities/ Sore throat,1084
Humla,2068/69,Foreign body in respiratory tract,57
Bajura,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),3102
Bajura,2068/69,Sinusitis,457
Bajura,2068/69,Tonsilitis,1032
Bajura,2068/69,Pharyngities/ Sore throat,595
Bajura,2068/69,Foreign body in respiratory tract,26
Bajhang,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),2710
Bajhang,2068/69,Sinusitis,831
Bajhang,2068/69,Tonsilitis,1152
Bajhang,2068/69,Pharyngities/ Sore throat,537
Bajhang,2068/69,Foreign body in respiratory tract,53
Achham,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),5509
Achham,2068/69,Sinusitis,664
Achham,2068/69,Tonsilitis,1932
Achham,2068/69,Pharyngities/ Sore throat,1454
Achham,2068/69,Foreign body in respiratory tract,100
Doti,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),4576
Doti,2068/69,Sinusitis,438
Doti,2068/69,Tonsilitis,1985
Doti,2068/69,Pharyngities/ Sore throat,636
Doti,2068/69,Foreign body in respiratory tract,115
Kailali,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),11894
Kailali,2068/69,Sinusitis,1500
Kailali,2068/69,Tonsilitis,3733
Kailali,2068/69,Pharyngities/ Sore throat,2277
Kailali,2068/69,Foreign body in respiratory tract,74
Kanchanpur,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),7604
Kanchanpur,2068/69,Sinusitis,1108
Kanchanpur,2068/69,Tonsilitis,2986
Kanchanpur,2068/69,Pharyngities/ Sore throat,1366
Kanchanpur,2068/69,Foreign body in respiratory tract,70
Dadeldhura,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),4240
Dadeldhura,2068/69,Sinusitis,1364
Dadeldhura,2068/69,Tonsilitis,2097
Dadeldhura,2068/69,Pharyngities/ Sore throat,1340
Dadeldhura,2068/69,Foreign body in respiratory tract,214
Baitadi,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),4875
Baitadi,2068/69,Sinusitis,977
Baitadi,2068/69,Tonsilitis,3187
Baitadi,2068/69,Pharyngities/ Sore throat,1674
Baitadi,2068/69,Foreign body in respiratory tract,81
Darchula,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),2943
Darchula,2068/69,Sinusitis,738
Darchula,2068/69,Tonsilitis,2632
Darchula,2068/69,Pharyngities/ Sore throat,1001
Darchula,2068/69,Foreign body in respiratory tract,48
Taplejung,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),2548
Taplejung,2069/70,Sinusitis,1427
Taplejung,2069/70,Tonsilitis,12020
Taplejung,2069/70,Pharyngities/ Sore throat,2993
Taplejung,2069/70,Foreign body in respiratory tract,200
Panchthar,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),2256
Panchthar,2069/70,Sinusitis,857
Panchthar,2069/70,Tonsilitis,11348
Panchthar,2069/70,Pharyngities/ Sore throat,2338
Panchthar,2069/70,Foreign body in respiratory tract,69
Ilam,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),2505
Ilam,2069/70,Sinusitis,1308
Ilam,2069/70,Tonsilitis,10172
Ilam,2069/70,Pharyngities/ Sore throat,4208
Ilam,2069/70,Foreign body in respiratory tract,102
Jhapa,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),10841
Jhapa,2069/70,Sinusitis,7986
Jhapa,2069/70,Tonsilitis,17951
Jhapa,2069/70,Pharyngities/ Sore throat,11486
Jhapa,2069/70,Foreign body in respiratory tract,198
Morang,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),14588
Morang,2069/70,Sinusitis,5605
Morang,2069/70,Tonsilitis,15765
Morang,2069/70,Pharyngities/ Sore throat,9968
Morang,2069/70,Foreign body in respiratory tract,302
Sunsari,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),14338
Sunsari,2069/70,Sinusitis,2073
Sunsari,2069/70,Tonsilitis,9676
Sunsari,2069/70,Pharyngities/ Sore throat,3943
Sunsari,2069/70,Foreign body in respiratory tract,39
Dhankuta,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),2561
Dhankuta,2069/70,Sinusitis,1032
Dhankuta,2069/70,Tonsilitis,12502
Dhankuta,2069/70,Pharyngities/ Sore throat,4361
Dhankuta,2069/70,Foreign body in respiratory tract,22
Teharthum,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),1996
Teharthum,2069/70,Sinusitis,924
Teharthum,2069/70,Tonsilitis,7545
Teharthum,2069/70,Pharyngities/ Sore throat,2885
Teharthum,2069/70,Foreign body in respiratory tract,113
Sankhuwasabha,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),2755
Sankhuwasabha,2069/70,Sinusitis,790
Sankhuwasabha,2069/70,Tonsilitis,7312
Sankhuwasabha,2069/70,Pharyngities/ Sore throat,3768
Sankhuwasabha,2069/70,Foreign body in respiratory tract,72
Bhojpur,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),3766
Bhojpur,2069/70,Sinusitis,1195
Bhojpur,2069/70,Tonsilitis,13766
Bhojpur,2069/70,Pharyngities/ Sore throat,5809
Bhojpur,2069/70,Foreign body in respiratory tract,130
Solukhumbu,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),2801
Solukhumbu,2069/70,Sinusitis,1332
Solukhumbu,2069/70,Tonsilitis,7652
Solukhumbu,2069/70,Pharyngities/ Sore throat,4020
Solukhumbu,2069/70,Foreign body in respiratory tract,114
Okhaldhunga,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),2922
Okhaldhunga,2069/70,Sinusitis,1058
Okhaldhunga,2069/70,Tonsilitis,8914
Okhaldhunga,2069/70,Pharyngities/ Sore throat,3876
Okhaldhunga,2069/70,Foreign body in respiratory tract,69
Khotang,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),5080
Khotang,2069/70,Sinusitis,2035
Khotang,2069/70,Tonsilitis,14984
Khotang,2069/70,Pharyngities/ Sore throat,4817
Khotang,2069/70,Foreign body in respiratory tract,190
Udaypur,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),5784
Udaypur,2069/70,Sinusitis,1847
Udaypur,2069/70,Tonsilitis,7833
Udaypur,2069/70,Pharyngities/ Sore throat,5620
Udaypur,2069/70,Foreign body in respiratory tract,133
Saptari,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),18333
Saptari,2069/70,Sinusitis,2668
Saptari,2069/70,Tonsilitis,5269
Saptari,2069/70,Pharyngities/ Sore throat,3145
Saptari,2069/70,Foreign body in respiratory tract,149
Siraha,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),16302
Siraha,2069/70,Sinusitis,2932
Siraha,2069/70,Tonsilitis,6171
Siraha,2069/70,Pharyngities/ Sore throat,2953
Siraha,2069/70,Foreign body in respiratory tract,223
Dhanusha,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),14936
Dhanusha,2069/70,Sinusitis,2256
Dhanusha,2069/70,Tonsilitis,4446
Dhanusha,2069/70,Pharyngities/ Sore throat,2264
Dhanusha,2069/70,Foreign body in respiratory tract,192
Mahottari,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),14224
Mahottari,2069/70,Sinusitis,2912
Mahottari,2069/70,Tonsilitis,5935
Mahottari,2069/70,Pharyngities/ Sore throat,1907
Mahottari,2069/70,Foreign body in respiratory tract,161
Sarlahi,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),15868
Sarlahi,2069/70,Sinusitis,3389
Sarlahi,2069/70,Tonsilitis,5727
Sarlahi,2069/70,Pharyngities/ Sore throat,3335
Sarlahi,2069/70,Foreign body in respiratory tract,229
Sindhuli,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),3064
Sindhuli,2069/70,Sinusitis,1454
Sindhuli,2069/70,Tonsilitis,4891
Sindhuli,2069/70,Pharyngities/ Sore throat,1841
Sindhuli,2069/70,Foreign body in respiratory tract,37
Ramechhap,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),3908
Ramechhap,2069/70,Sinusitis,1541
Ramechhap,2069/70,Tonsilitis,8405
Ramechhap,2069/70,Pharyngities/ Sore throat,4221
Ramechhap,2069/70,Foreign body in respiratory tract,98
Dolkha,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),3042
Dolkha,2069/70,Sinusitis,1818
Dolkha,2069/70,Tonsilitis,7936
Dolkha,2069/70,Pharyngities/ Sore throat,3136
Dolkha,2069/70,Foreign body in respiratory tract,200
Sindhupalchowk,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),4113
Sindhupalchowk,2069/70,Sinusitis,2582
Sindhupalchowk,2069/70,Tonsilitis,8458
Sindhupalchowk,2069/70,Pharyngities/ Sore throat,4220
Sindhupalchowk,2069/70,Foreign body in respiratory tract,186
Kavre,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),7824
Kavre,2069/70,Sinusitis,2977
Kavre,2069/70,Tonsilitis,14642
Kavre,2069/70,Pharyngities/ Sore throat,5090
Kavre,2069/70,Foreign body in respiratory tract,108
Lalitpur,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),0
Lalitpur,2069/70,Sinusitis,0
Lalitpur,2069/70,Tonsilitis,0
Lalitpur,2069/70,Pharyngities/ Sore throat,0
Lalitpur,2069/70,Foreign body in respiratory tract,0
Bhaktapur,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),3997
Bhaktapur,2069/70,Sinusitis,2122
Bhaktapur,2069/70,Tonsilitis,6376
Bhaktapur,2069/70,Pharyngities/ Sore throat,3851
Bhaktapur,2069/70,Foreign body in respiratory tract,101
Kathmandu,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),10677
Kathmandu,2069/70,Sinusitis,12337
Kathmandu,2069/70,Tonsilitis,22781
Kathmandu,2069/70,Pharyngities/ Sore throat,12402
Kathmandu,2069/70,Foreign body in respiratory tract,1427
Nuwakot,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),3530
Nuwakot,2069/70,Sinusitis,1632
Nuwakot,2069/70,Tonsilitis,5322
Nuwakot,2069/70,Pharyngities/ Sore throat,1754
Nuwakot,2069/70,Foreign body in respiratory tract,185
Rasuwa,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),984
Rasuwa,2069/70,Sinusitis,252
Rasuwa,2069/70,Tonsilitis,1572
Rasuwa,2069/70,Pharyngities/ Sore throat,455
Rasuwa,2069/70,Foreign body in respiratory tract,66
Dhading,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),6126
Dhading,2069/70,Sinusitis,2841
Dhading,2069/70,Tonsilitis,9074
Dhading,2069/70,Pharyngities/ Sore throat,3267
Dhading,2069/70,Foreign body in respiratory tract,86
Makawanpur,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),4397
Makawanpur,2069/70,Sinusitis,1554
Makawanpur,2069/70,Tonsilitis,5409
Makawanpur,2069/70,Pharyngities/ Sore throat,2448
Makawanpur,2069/70,Foreign body in respiratory tract,58
Rautahat,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),24377
Rautahat,2069/70,Sinusitis,1978
Rautahat,2069/70,Tonsilitis,4044
Rautahat,2069/70,Pharyngities/ Sore throat,2237
Rautahat,2069/70,Foreign body in respiratory tract,185
Bara,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),14886
Bara,2069/70,Sinusitis,1454
Bara,2069/70,Tonsilitis,4548
Bara,2069/70,Pharyngities/ Sore throat,1889
Bara,2069/70,Foreign body in respiratory tract,68
Parsa,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),0
Parsa,2069/70,Sinusitis,0
Parsa,2069/70,Tonsilitis,0
Parsa,2069/70,Pharyngities/ Sore throat,0
Parsa,2069/70,Foreign body in respiratory tract,0
Chitwan,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),17175
Chitwan,2069/70,Sinusitis,9848
Chitwan,2069/70,Tonsilitis,15552
Chitwan,2069/70,Pharyngities/ Sore throat,10602
Chitwan,2069/70,Foreign body in respiratory tract,262
Gorkha,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),5678
Gorkha,2069/70,Sinusitis,3136
Gorkha,2069/70,Tonsilitis,8391
Gorkha,2069/70,Pharyngities/ Sore throat,3851
Gorkha,2069/70,Foreign body in respiratory tract,59
Lamjung,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),3409
Lamjung,2069/70,Sinusitis,2084
Lamjung,2069/70,Tonsilitis,5424
Lamjung,2069/70,Pharyngities/ Sore throat,1620
Lamjung,2069/70,Foreign body in respiratory tract,62
Tanahu,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),3990
Tanahu,2069/70,Sinusitis,2380
Tanahu,2069/70,Tonsilitis,5026
Tanahu,2069/70,Pharyngities/ Sore throat,2109
Tanahu,2069/70,Foreign body in respiratory tract,215
Syangja,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),3728
Syangja,2069/70,Sinusitis,6172
Syangja,2069/70,Tonsilitis,8994
Syangja,2069/70,Pharyngities/ Sore throat,3295
Syangja,2069/70,Foreign body in respiratory tract,52
Kaski,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),12736
Kaski,2069/70,Sinusitis,8501
Kaski,2069/70,Tonsilitis,12911
Kaski,2069/70,Pharyngities/ Sore throat,9205
Kaski,2069/70,Foreign body in respiratory tract,649
Manang,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),155
Manang,2069/70,Sinusitis,232
Manang,2069/70,Tonsilitis,492
Manang,2069/70,Pharyngities/ Sore throat,122
Manang,2069/70,Foreign body in respiratory tract,2
Mustang,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),325
Mustang,2069/70,Sinusitis,300
Mustang,2069/70,Tonsilitis,968
Mustang,2069/70,Pharyngities/ Sore throat,298
Mustang,2069/70,Foreign body in respiratory tract,0
Myagdi,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),2350
Myagdi,2069/70,Sinusitis,1819
Myagdi,2069/70,Tonsilitis,4118
Myagdi,2069/70,Pharyngities/ Sore throat,1109
Myagdi,2069/70,Foreign body in respiratory tract,58
Parbat,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),3381
Parbat,2069/70,Sinusitis,3452
Parbat,2069/70,Tonsilitis,7327
Parbat,2069/70,Pharyngities/ Sore throat,2442
Parbat,2069/70,Foreign body in respiratory tract,47
Baglung,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),4310
Baglung,2069/70,Sinusitis,3033
Baglung,2069/70,Tonsilitis,7759
Baglung,2069/70,Pharyngities/ Sore throat,3387
Baglung,2069/70,Foreign body in respiratory tract,137
Gulmi,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),2801
Gulmi,2069/70,Sinusitis,2671
Gulmi,2069/70,Tonsilitis,5045
Gulmi,2069/70,Pharyngities/ Sore throat,2316
Gulmi,2069/70,Foreign body in respiratory tract,100
Palpa,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),5818
Palpa,2069/70,Sinusitis,4049
Palpa,2069/70,Tonsilitis,7383
Palpa,2069/70,Pharyngities/ Sore throat,4118
Palpa,2069/70,Foreign body in respiratory tract,1076
Nawalparasi,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),10788
Nawalparasi,2069/70,Sinusitis,4665
Nawalparasi,2069/70,Tonsilitis,6225
Nawalparasi,2069/70,Pharyngities/ Sore throat,2733
Nawalparasi,2069/70,Foreign body in respiratory tract,80
Rupandehi,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),0
Rupandehi,2069/70,Sinusitis,0
Rupandehi,2069/70,Tonsilitis,0
Rupandehi,2069/70,Pharyngities/ Sore throat,0
Rupandehi,2069/70,Foreign body in respiratory tract,0
Kapilvastu,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),10219
Kapilvastu,2069/70,Sinusitis,3532
Kapilvastu,2069/70,Tonsilitis,5273
Kapilvastu,2069/70,Pharyngities/ Sore throat,2981
Kapilvastu,2069/70,Foreign body in respiratory tract,123
Arghakhanchi,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),3216
Arghakhanchi,2069/70,Sinusitis,2260
Arghakhanchi,2069/70,Tonsilitis,4303
Arghakhanchi,2069/70,Pharyngities/ Sore throat,1589
Arghakhanchi,2069/70,Foreign body in respiratory tract,55
Pyuthan,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),5052
Pyuthan,2069/70,Sinusitis,2074
Pyuthan,2069/70,Tonsilitis,3887
Pyuthan,2069/70,Pharyngities/ Sore throat,2027
Pyuthan,2069/70,Foreign body in respiratory tract,38
Rolpa,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),3326
Rolpa,2069/70,Sinusitis,768
Rolpa,2069/70,Tonsilitis,2556
Rolpa,2069/70,Pharyngities/ Sore throat,1786
Rolpa,2069/70,Foreign body in respiratory tract,13
Rukum,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),3860
Rukum,2069/70,Sinusitis,1300
Rukum,2069/70,Tonsilitis,2908
Rukum,2069/70,Pharyngities/ Sore throat,1861
Rukum,2069/70,Foreign body in respiratory tract,89
Salyan,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),5590
Salyan,2069/70,Sinusitis,2331
Salyan,2069/70,Tonsilitis,3191
Salyan,2069/70,Pharyngities/ Sore throat,2179
Salyan,2069/70,Foreign body in respiratory tract,60
Dang,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),10582
Dang,2069/70,Sinusitis,3463
Dang,2069/70,Tonsilitis,5678
Dang,2069/70,Pharyngities/ Sore throat,3759
Dang,2069/70,Foreign body in respiratory tract,137
Banke,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),13525
Banke,2069/70,Sinusitis,1072
Banke,2069/70,Tonsilitis,3128
Banke,2069/70,Pharyngities/ Sore throat,1230
Banke,2069/70,Foreign body in respiratory tract,11
Bardiya,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),9149
Bardiya,2069/70,Sinusitis,2362
Bardiya,2069/70,Tonsilitis,5437
Bardiya,2069/70,Pharyngities/ Sore throat,3877
Bardiya,2069/70,Foreign body in respiratory tract,45
Surkhet,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),8242
Surkhet,2069/70,Sinusitis,2534
Surkhet,2069/70,Tonsilitis,5936
Surkhet,2069/70,Pharyngities/ Sore throat,2131
Surkhet,2069/70,Foreign body in respiratory tract,88
Dailekh,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),4826
Dailekh,2069/70,Sinusitis,1041
Dailekh,2069/70,Tonsilitis,2649
Dailekh,2069/70,Pharyngities/ Sore throat,874
Dailekh,2069/70,Foreign body in respiratory tract,13
Jajarkot,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),2983
Jajarkot,2069/70,Sinusitis,1129
Jajarkot,2069/70,Tonsilitis,1745
Jajarkot,2069/70,Pharyngities/ Sore throat,1099
Jajarkot,2069/70,Foreign body in respiratory tract,79
Dolpa,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),266
Dolpa,2069/70,Sinusitis,211
Dolpa,2069/70,Tonsilitis,475
Dolpa,2069/70,Pharyngities/ Sore throat,194
Dolpa,2069/70,Foreign body in respiratory tract,12
Jumla,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),1604
Jumla,2069/70,Sinusitis,428
Jumla,2069/70,Tonsilitis,827
Jumla,2069/70,Pharyngities/ Sore throat,235
Jumla,2069/70,Foreign body in respiratory tract,105
Kalikot,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),1687
Kalikot,2069/70,Sinusitis,582
Kalikot,2069/70,Tonsilitis,937
Kalikot,2069/70,Pharyngities/ Sore throat,635
Kalikot,2069/70,Foreign body in respiratory tract,48
Mugu,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),579
Mugu,2069/70,Sinusitis,324
Mugu,2069/70,Tonsilitis,546
Mugu,2069/70,Pharyngities/ Sore throat,201
Mugu,2069/70,Foreign body in respiratory tract,33
Humla,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),2041
Humla,2069/70,Sinusitis,1042
Humla,2069/70,Tonsilitis,1541
Humla,2069/70,Pharyngities/ Sore throat,944
Humla,2069/70,Foreign body in respiratory tract,96
Bajura,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),2653
Bajura,2069/70,Sinusitis,341
Bajura,2069/70,Tonsilitis,1148
Bajura,2069/70,Pharyngities/ Sore throat,742
Bajura,2069/70,Foreign body in respiratory tract,61
Bajhang,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),2955
Bajhang,2069/70,Sinusitis,820
Bajhang,2069/70,Tonsilitis,1580
Bajhang,2069/70,Pharyngities/ Sore throat,428
Bajhang,2069/70,Foreign body in respiratory tract,89
Achham,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),6157
Achham,2069/70,Sinusitis,910
Achham,2069/70,Tonsilitis,2554
Achham,2069/70,Pharyngities/ Sore throat,1944
Achham,2069/70,Foreign body in respiratory tract,132
Doti,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),4834
Doti,2069/70,Sinusitis,542
Doti,2069/70,Tonsilitis,2415
Doti,2069/70,Pharyngities/ Sore throat,863
Doti,2069/70,Foreign body in respiratory tract,64
Kailali,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),12292
Kailali,2069/70,Sinusitis,1902
Kailali,2069/70,Tonsilitis,3907
Kailali,2069/70,Pharyngities/ Sore throat,1898
Kailali,2069/70,Foreign body in respiratory tract,122
Kanchanpur,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),8050
Kanchanpur,2069/70,Sinusitis,1347
Kanchanpur,2069/70,Tonsilitis,3553
Kanchanpur,2069/70,Pharyngities/ Sore throat,2045
Kanchanpur,2069/70,Foreign body in respiratory tract,108
Dadeldhura,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),4095
Dadeldhura,2069/70,Sinusitis,1457
Dadeldhura,2069/70,Tonsilitis,2377
Dadeldhura,2069/70,Pharyngities/ Sore throat,1408
Dadeldhura,2069/70,Foreign body in respiratory tract,95
Baitadi,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),4730
Baitadi,2069/70,Sinusitis,546
Baitadi,2069/70,Tonsilitis,3737
Baitadi,2069/70,Pharyngities/ Sore throat,1406
Baitadi,2069/70,Foreign body in respiratory tract,95
Darchula,2069/70,Acute/ Chronic Suppurative Otitis Media (ASOM),2449
Darchula,2069/70,Sinusitis,400
Darchula,2069/70,Tonsilitis,2370
Darchula,2069/70,Pharyngities/ Sore throat,438
Darchula,2069/70,Foreign body in respiratory tract,10
