Year,District,Type of disease,Number of patient
2012/013,Bardiya,"Presumed non infectious
diarrhoea",11556
2012/013,Bardiya,Cholera,0
2012/013,Bardiya,Intestinal Worms,13805
2012/013,Bardiya,"Jaundice and Infective
Hepatitis",1123
2012/013,Surkhet,Typhoid (Enteric Fever),14801
2012/013,Surkhet,Acute gastro enteritis,7322
2012/013,Surkhet,Ameobic Dysentry,11040
2012/013,Surkhet,Baccilary Dysentry,5261
2012/013,Surkhet,"Presumed non infectious
diarrhoea",6678
2012/013,Surkhet,Cholera,0
2012/013,Surkhet,Intestinal Worms,11545
2012/013,Surkhet,"Jaundice and Infective
Hepatitis",533
2012/013,Dailekh,Typhoid (Enteric Fever),14778
2012/013,Dailekh,Acute gastro enteritis,3402
2012/013,Dailekh,Ameobic Dysentry,6342
2012/013,Dailekh,Baccilary Dysentry,3968
2012/013,Dailekh,"Presumed non infectious
diarrhoea",19399
2012/013,Dailekh,Cholera,41
2012/013,Dailekh,Intestinal Worms,6970
2012/013,Dailekh,"Jaundice and Infective
Hepatitis",196
2012/013,Jajarkot,Typhoid (Enteric Fever),4071
2012/013,Jajarkot,Acute gastro enteritis,4053
2012/013,Jajarkot,Ameobic Dysentry,4747
2012/013,Jajarkot,Baccilary Dysentry,2978
2012/013,Jajarkot,"Presumed non infectious
diarrhoea",4941
2012/013,Jajarkot,Cholera,0
2012/013,Jajarkot,Intestinal Worms,7028
2012/013,Jajarkot,"Jaundice and Infective
Hepatitis",192
2012/013,Dolpa,Typhoid (Enteric Fever),810
2012/013,Dolpa,Acute gastro enteritis,305
2012/013,Dolpa,Ameobic Dysentry,1209
2012/013,Dolpa,Baccilary Dysentry,691
2012/013,Dolpa,"Presumed non infectious
diarrhoea",1507
2012/013,Dolpa,Cholera,0
2012/013,Dolpa,Intestinal Worms,5515
2012/013,Dolpa,"Jaundice and Infective
Hepatitis",116
2012/013,Jumla,Typhoid (Enteric Fever),1025
2012/013,Jumla,Acute gastro enteritis,2304
2012/013,Jumla,Ameobic Dysentry,2614
2012/013,Jumla,Baccilary Dysentry,1918
2012/013,Jumla,"Presumed non infectious
diarrhoea",3291
2012/013,Jumla,Cholera,0
2012/013,Jumla,Intestinal Worms,6737
2012/013,Jumla,"Jaundice and Infective
Hepatitis",231
2012/013,Kalikot,Typhoid (Enteric Fever),1041
2012/013,Kalikot,Acute gastro enteritis,1853
2012/013,Kalikot,Ameobic Dysentry,4147
2012/013,Kalikot,Baccilary Dysentry,2341
2012/013,Kalikot,"Presumed non infectious
diarrhoea",2097
2012/013,Kalikot,Cholera,39
2012/013,Kalikot,Intestinal Worms,6477
2012/013,Kalikot,"Jaundice and Infective
Hepatitis",130
2012/013,Mugu,Typhoid (Enteric Fever),491
2012/013,Mugu,Acute gastro enteritis,1093
2012/013,Mugu,Ameobic Dysentry,2231
2012/013,Mugu,Baccilary Dysentry,1285
2012/013,Mugu,"Presumed non infectious
diarrhoea",830
2012/013,Mugu,Cholera,35
2012/013,Mugu,Intestinal Worms,4057
2012/013,Mugu,"Jaundice and Infective
Hepatitis",110
2012/013,Humla,Typhoid (Enteric Fever),875
2012/013,Humla,Acute gastro enteritis,2538
2012/013,Humla,Ameobic Dysentry,4778
2012/013,Humla,Baccilary Dysentry,3095
2012/013,Humla,"Presumed non infectious
diarrhoea",2166
2012/013,Humla,Cholera,0
2012/013,Humla,Intestinal Worms,7745
2012/013,Humla,"Jaundice and Infective
Hepatitis",222
2012/013,Mid Western,Typhoid (Enteric Fever),116847
2012/013,Mid Western,Acute gastro enteritis,54500
2012/013,Mid Western,Ameobic Dysentry,105712
2012/013,Mid Western,Baccilary Dysentry,55992
2012/013,Mid Western,"Presumed non infectious
diarrhoea",119011
2012/013,Mid Western,Cholera,525
2012/013,Mid Western,Intestinal Worms,114968
2012/013,Mid Western,"Jaundice and Infective
Hepatitis",7652
2012/013,Bajura,Typhoid (Enteric Fever),4728
2012/013,Bajura,Acute gastro enteritis,2754
2012/013,Bajura,Ameobic Dysentry,7536
2012/013,Bajura,Baccilary Dysentry,3357
2012/013,Bajura,"Presumed non infectious
diarrhoea",5997
2012/013,Bajura,Cholera,45
2012/013,Bajura,Intestinal Worms,5810
2012/013,Bajura,"Jaundice and Infective
Hepatitis",277
2012/013,Bajhang,Typhoid (Enteric Fever),7069
2012/013,Bajhang,Acute gastro enteritis,2158
2012/013,Bajhang,Ameobic Dysentry,7972
2012/013,Bajhang,Baccilary Dysentry,3887
2012/013,Bajhang,"Presumed non infectious
diarrhoea",6560
2012/013,Bajhang,Cholera,410
2012/013,Bajhang,Intestinal Worms,7346
2012/013,Bajhang,"Jaundice and Infective
Hepatitis",485
2012/013,Achham,Typhoid (Enteric Fever),6646
2012/013,Achham,Acute gastro enteritis,5640
2012/013,Achham,Ameobic Dysentry,16406
2012/013,Achham,Baccilary Dysentry,6140
2012/013,Achham,"Presumed non infectious
diarrhoea",16089
2012/013,Achham,Cholera,10
2012/013,Achham,Intestinal Worms,11276
2012/013,Achham,"Jaundice and Infective
Hepatitis",310
2012/013,Doti,Typhoid (Enteric Fever),3203
2012/013,Doti,Acute gastro enteritis,3912
2012/013,Doti,Ameobic Dysentry,9210
2012/013,Doti,Baccilary Dysentry,4452
2012/013,Doti,"Presumed non infectious
diarrhoea",11117
2012/013,Doti,Cholera,0
2012/013,Doti,Intestinal Worms,11417
2012/013,Doti,"Jaundice and Infective
Hepatitis",320
2012/013,Kailali,Typhoid (Enteric Fever),20303
2012/013,Kailali,Acute gastro enteritis,8120
2012/013,Kailali,Ameobic Dysentry,10070
2012/013,Kailali,Baccilary Dysentry,4784
2012/013,Kailali,"Presumed non infectious
diarrhoea",15409
2012/013,Kailali,Cholera,1
2012/013,Kailali,Intestinal Worms,10735
2012/013,Kailali,"Jaundice and Infective
Hepatitis",2694
2012/013,Kanchanpur,Typhoid (Enteric Fever),10569
2012/013,Kanchanpur,Acute gastro enteritis,2842
2012/013,Kanchanpur,Ameobic Dysentry,10254
2012/013,Kanchanpur,Baccilary Dysentry,4939
2012/013,Kanchanpur,"Presumed non infectious
diarrhoea",9949
2012/013,Kanchanpur,Cholera,6
2012/013,Kanchanpur,Intestinal Worms,5994
2012/013,Kanchanpur,"Jaundice and Infective
Hepatitis",1679
2012/013,Dadeldhura,Typhoid (Enteric Fever),4571
2012/013,Dadeldhura,Acute gastro enteritis,2695
2012/013,Dadeldhura,Ameobic Dysentry,5515
2012/013,Dadeldhura,Baccilary Dysentry,2657
2012/013,Dadeldhura,"Presumed non infectious
diarrhoea",6356
2012/013,Dadeldhura,Cholera,64
2012/013,Dadeldhura,Intestinal Worms,4130
2012/013,Dadeldhura,"Jaundice and Infective
Hepatitis",438
2012/013,Baitadi,Typhoid (Enteric Fever),4738
2012/013,Baitadi,Acute gastro enteritis,2312
2012/013,Baitadi,Ameobic Dysentry,8334
2012/013,Baitadi,Baccilary Dysentry,2990
2012/013,Baitadi,"Presumed non infectious
diarrhoea",6445
2012/013,Baitadi,Cholera,70
2012/013,Baitadi,Intestinal Worms,4491
2012/013,Baitadi,"Jaundice and Infective
Hepatitis",397
2012/013,Darchula,Typhoid (Enteric Fever),2160
2012/013,Darchula,Acute gastro enteritis,440
2012/013,Darchula,Ameobic Dysentry,5574
2012/013,Darchula,Baccilary Dysentry,2335
2012/013,Darchula,"Presumed non infectious
diarrhoea",2876
2012/013,Darchula,Cholera,97
2012/013,Darchula,Intestinal Worms,3844
2012/013,Darchula,"Jaundice and Infective
Hepatitis",107
2012/013,Far Western,Typhoid (Enteric Fever),63987
2012/013,Far Western,Acute gastro enteritis,30873
2012/013,Far Western,Ameobic Dysentry,80871
2012/013,Far Western,Baccilary Dysentry,35541
2012/013,Far Western,"Presumed non infectious
diarrhoea",80798
2012/013,Far Western,Cholera,703
2012/013,Far Western,Intestinal Worms,65043
2012/013,Far Western,"Jaundice and Infective
Hepatitis",6707
