District,Year,Mental problem,Number of patients
Chitwan,2068/69,Epilesy,248
Gorkha,2068/69,Depression,2843
Gorkha,2068/69,Psychosis,30
Gorkha,2068/69,Anxiety (Neurosis,544
Gorkha,2068/69,Mental retardation,6
Gorkha,2068/69,"Conversive disorder
(Hysteria)",45
Gorkha,2068/69,Alcoholism,33
Gorkha,2068/69,Epilesy,359
Lamjung,2068/69,Depression,296
Lamjung,2068/69,Psychosis,21
Lamjung,2068/69,Anxiety (Neurosis,447
Lamjung,2068/69,Mental retardation,2
Lamjung,2068/69,"Conversive disorder
(Hysteria)",37
Lamjung,2068/69,Alcoholism,64
Lamjung,2068/69,Epilesy,199
Tanahu,2068/69,Depression,206
Tanahu,2068/69,Psychosis,18
Tanahu,2068/69,Anxiety (Neurosis,149
Tanahu,2068/69,Mental retardation,13
Tanahu,2068/69,"Conversive disorder
(Hysteria)",56
Tanahu,2068/69,Alcoholism,97
Tanahu,2068/69,Epilesy,18
Syangja,2068/69,Depression,298
Syangja,2068/69,Psychosis,38
Syangja,2068/69,Anxiety (Neurosis,547
Syangja,2068/69,Mental retardation,31
Syangja,2068/69,"Conversive disorder
(Hysteria)",150
Syangja,2068/69,Alcoholism,98
Syangja,2068/69,Epilesy,89
Kaski,2068/69,Depression,2564
Kaski,2068/69,Psychosis,2730
Kaski,2068/69,Anxiety (Neurosis,4471
Kaski,2068/69,Mental retardation,302
Kaski,2068/69,"Conversive disorder
(Hysteria)",569
Kaski,2068/69,Alcoholism,1052
Kaski,2068/69,Epilesy,1680
Manang,2068/69,Depression,1
Manang,2068/69,Psychosis,1
Manang,2068/69,Anxiety (Neurosis,4
Manang,2068/69,Mental retardation,0
Manang,2068/69,"Conversive disorder
(Hysteria)",0
Manang,2068/69,Alcoholism,0
Manang,2068/69,Epilesy,0
Mustang,2068/69,Depression,8
Mustang,2068/69,Psychosis,0
Mustang,2068/69,Anxiety (Neurosis,14
Mustang,2068/69,Mental retardation,6
Mustang,2068/69,"Conversive disorder
(Hysteria)",2
Mustang,2068/69,Alcoholism,5
Mustang,2068/69,Epilesy,6
Myagdi,2068/69,Depression,76
Myagdi,2068/69,Psychosis,20
Myagdi,2068/69,Anxiety (Neurosis,174
Myagdi,2068/69,Mental retardation,10
Myagdi,2068/69,"Conversive disorder
(Hysteria)",13
Myagdi,2068/69,Alcoholism,31
Myagdi,2068/69,Epilesy,20
Parbat,2068/69,Depression,50
Parbat,2068/69,Psychosis,9
Parbat,2068/69,Anxiety (Neurosis,296
Parbat,2068/69,Mental retardation,11
Parbat,2068/69,"Conversive disorder
(Hysteria)",10
Parbat,2068/69,Alcoholism,51
Parbat,2068/69,Epilesy,10
Baglung,2068/69,Depression,302
Baglung,2068/69,Psychosis,130
Baglung,2068/69,Anxiety (Neurosis,594
Baglung,2068/69,Mental retardation,101
Baglung,2068/69,"Conversive disorder
(Hysteria)",45
Baglung,2068/69,Alcoholism,102
Baglung,2068/69,Epilesy,86
Gulmi,2068/69,Depression,735
Gulmi,2068/69,Psychosis,110
Gulmi,2068/69,Anxiety (Neurosis,863
Gulmi,2068/69,Mental retardation,53
Gulmi,2068/69,"Conversive disorder
(Hysteria)",81
Gulmi,2068/69,Alcoholism,60
Gulmi,2068/69,Epilesy,85
Palpa,2068/69,Depression,2127
Palpa,2068/69,Psychosis,382
Palpa,2068/69,Anxiety (Neurosis,4838
Palpa,2068/69,Mental retardation,504
Palpa,2068/69,"Conversive disorder
(Hysteria)",375
Palpa,2068/69,Alcoholism,444
Palpa,2068/69,Epilesy,1207
Nawalparasi,2068/69,Depression,137
Nawalparasi,2068/69,Psychosis,46
Nawalparasi,2068/69,Anxiety (Neurosis,270
Nawalparasi,2068/69,Mental retardation,10
Nawalparasi,2068/69,"Conversive disorder
(Hysteria)",72
Nawalparasi,2068/69,Alcoholism,53
Nawalparasi,2068/69,Epilesy,58
Rupandehi,2068/69,Depression,0
Rupandehi,2068/69,Psychosis,0
Rupandehi,2068/69,Anxiety (Neurosis,0
Rupandehi,2068/69,Mental retardation,0
Rupandehi,2068/69,"Conversive disorder
(Hysteria)",0
Rupandehi,2068/69,Alcoholism,0
Rupandehi,2068/69,Epilesy,0
Kapilvastu,2068/69,Depression,312
Kapilvastu,2068/69,Psychosis,15
Kapilvastu,2068/69,Anxiety (Neurosis,219
Kapilvastu,2068/69,Mental retardation,14
Kapilvastu,2068/69,"Conversive disorder
(Hysteria)",29
Kapilvastu,2068/69,Alcoholism,51
Kapilvastu,2068/69,Epilesy,15
Arghakhanchi,2068/69,Depression,267
Arghakhanchi,2068/69,Psychosis,66
Arghakhanchi,2068/69,Anxiety (Neurosis,382
Arghakhanchi,2068/69,Mental retardation,7
Arghakhanchi,2068/69,"Conversive disorder
(Hysteria)",32
Arghakhanchi,2068/69,Alcoholism,56
Arghakhanchi,2068/69,Epilesy,20
Pyuthan,2068/69,Depression,41
Pyuthan,2068/69,Psychosis,0
Pyuthan,2068/69,Anxiety (Neurosis,456
Pyuthan,2068/69,Mental retardation,1
Pyuthan,2068/69,"Conversive disorder
(Hysteria)",5
Pyuthan,2068/69,Alcoholism,54
Pyuthan,2068/69,Epilesy,60
Rolpa,2068/69,Depression,47
Rolpa,2068/69,Psychosis,13
Rolpa,2068/69,Anxiety (Neurosis,179
Rolpa,2068/69,Mental retardation,5
Rolpa,2068/69,"Conversive disorder
(Hysteria)",10
Rolpa,2068/69,Alcoholism,66
Rolpa,2068/69,Epilesy,8
Rukum,2068/69,Depression,185
Rukum,2068/69,Psychosis,57
Rukum,2068/69,Anxiety (Neurosis,224
Rukum,2068/69,Mental retardation,61
Rukum,2068/69,"Conversive disorder
(Hysteria)",16
Rukum,2068/69,Alcoholism,58
Rukum,2068/69,Epilesy,47
Salyan,2068/69,Depression,134
Salyan,2068/69,Psychosis,51
Salyan,2068/69,Anxiety (Neurosis,440
Salyan,2068/69,Mental retardation,3
Salyan,2068/69,"Conversive disorder
(Hysteria)",26
Salyan,2068/69,Alcoholism,59
Salyan,2068/69,Epilesy,27
Dang,2068/69,Depression,345
Dang,2068/69,Psychosis,25
Dang,2068/69,Anxiety (Neurosis,497
Dang,2068/69,Mental retardation,14
Dang,2068/69,"Conversive disorder
(Hysteria)",34
Dang,2068/69,Alcoholism,243
Dang,2068/69,Epilesy,108
Banke,2068/69,Depression,66
Banke,2068/69,Psychosis,10
Banke,2068/69,Anxiety (Neurosis,82
Banke,2068/69,Mental retardation,8
Banke,2068/69,"Conversive disorder
(Hysteria)",9
Banke,2068/69,Alcoholism,30
Banke,2068/69,Epilesy,10
Bardiya,2068/69,Depression,155
Bardiya,2068/69,Psychosis,44
Bardiya,2068/69,Anxiety (Neurosis,193
Bardiya,2068/69,Mental retardation,27
Bardiya,2068/69,"Conversive disorder
(Hysteria)",46
Bardiya,2068/69,Alcoholism,26
Bardiya,2068/69,Epilesy,155
Surkhet,2068/69,Depression,156
Surkhet,2068/69,Psychosis,19
Surkhet,2068/69,Anxiety (Neurosis,107
Surkhet,2068/69,Mental retardation,2
Surkhet,2068/69,"Conversive disorder
(Hysteria)",31
Surkhet,2068/69,Alcoholism,27
Surkhet,2068/69,Epilesy,87
Dailekh,2068/69,Depression,66
Dailekh,2068/69,Psychosis,19
Dailekh,2068/69,Anxiety (Neurosis,192
Dailekh,2068/69,Mental retardation,1
Dailekh,2068/69,"Conversive disorder
(Hysteria)",31
Dailekh,2068/69,Alcoholism,33
Dailekh,2068/69,Epilesy,35
Jajarkot,2068/69,Depression,47
Jajarkot,2068/69,Psychosis,12
Jajarkot,2068/69,Anxiety (Neurosis,149
Jajarkot,2068/69,Mental retardation,9
Jajarkot,2068/69,"Conversive disorder
(Hysteria)",29
Jajarkot,2068/69,Alcoholism,41
Jajarkot,2068/69,Epilesy,9
Dolpa,2068/69,Depression,18
Dolpa,2068/69,Psychosis,0
Dolpa,2068/69,Anxiety (Neurosis,19
Dolpa,2068/69,Mental retardation,0
Dolpa,2068/69,"Conversive disorder
(Hysteria)",27
Dolpa,2068/69,Alcoholism,97
Dolpa,2068/69,Epilesy,0
Jumla,2068/69,Depression,3
Jumla,2068/69,Psychosis,0
Jumla,2068/69,Anxiety (Neurosis,19
Jumla,2068/69,Mental retardation,2
Jumla,2068/69,"Conversive disorder
(Hysteria)",0
Jumla,2068/69,Alcoholism,11
Jumla,2068/69,Epilesy,0
Kalikot,2068/69,Depression,26
Kalikot,2068/69,Psychosis,2
Kalikot,2068/69,Anxiety (Neurosis,55
Kalikot,2068/69,Mental retardation,0
Kalikot,2068/69,"Conversive disorder
(Hysteria)",21
Kalikot,2068/69,Alcoholism,7
Kalikot,2068/69,Epilesy,8
Mugu,2068/69,Depression,6
Mugu,2068/69,Psychosis,1
Mugu,2068/69,Anxiety (Neurosis,0
Mugu,2068/69,Mental retardation,0
Mugu,2068/69,"Conversive disorder
(Hysteria)",0
Mugu,2068/69,Alcoholism,1
Mugu,2068/69,Epilesy,5
Humla,2068/69,Depression,46
Humla,2068/69,Psychosis,3
Humla,2068/69,Anxiety (Neurosis,11
Humla,2068/69,Mental retardation,0
Humla,2068/69,"Conversive disorder
(Hysteria)",3
Humla,2068/69,Alcoholism,19
Humla,2068/69,Epilesy,16
Bajura,2068/69,Depression,35
Bajura,2068/69,Psychosis,0
Bajura,2068/69,Anxiety (Neurosis,20
Bajura,2068/69,Mental retardation,0
Bajura,2068/69,"Conversive disorder
(Hysteria)",0
Bajura,2068/69,Alcoholism,1
Bajura,2068/69,Epilesy,1
Bajhang,2068/69,Depression,167
Bajhang,2068/69,Psychosis,45
Bajhang,2068/69,Anxiety (Neurosis,246
Bajhang,2068/69,Mental retardation,7
Bajhang,2068/69,"Conversive disorder
(Hysteria)",34
Bajhang,2068/69,Alcoholism,20
Bajhang,2068/69,Epilesy,26
Achham,2068/69,Depression,381
Achham,2068/69,Psychosis,36
Achham,2068/69,Anxiety (Neurosis,311
Achham,2068/69,Mental retardation,5
Achham,2068/69,"Conversive disorder
(Hysteria)",39
Achham,2068/69,Alcoholism,9
Achham,2068/69,Epilesy,108
Doti,2068/69,Depression,89
Doti,2068/69,Psychosis,22
Doti,2068/69,Anxiety (Neurosis,128
Doti,2068/69,Mental retardation,7
Doti,2068/69,"Conversive disorder
(Hysteria)",15
Doti,2068/69,Alcoholism,58
Doti,2068/69,Epilesy,19
Kailali,2068/69,Depression,897
Kailali,2068/69,Psychosis,150
Kailali,2068/69,Anxiety (Neurosis,379
Kailali,2068/69,Mental retardation,142
Kailali,2068/69,"Conversive disorder
(Hysteria)",209
Kailali,2068/69,Alcoholism,280
Kailali,2068/69,Epilesy,392
Kanchanpur,2068/69,Depression,62
Kanchanpur,2068/69,Psychosis,13
Kanchanpur,2068/69,Anxiety (Neurosis,58
Kanchanpur,2068/69,Mental retardation,7
Kanchanpur,2068/69,"Conversive disorder
(Hysteria)",40
Kanchanpur,2068/69,Alcoholism,25
Kanchanpur,2068/69,Epilesy,14
Dadeldhura,2068/69,Depression,386
Dadeldhura,2068/69,Psychosis,56
Dadeldhura,2068/69,Anxiety (Neurosis,779
Dadeldhura,2068/69,Mental retardation,24
Dadeldhura,2068/69,"Conversive disorder
(Hysteria)",87
Dadeldhura,2068/69,Alcoholism,63
Dadeldhura,2068/69,Epilesy,155
Baitadi,2068/69,Depression,129
Baitadi,2068/69,Psychosis,26
Baitadi,2068/69,Anxiety (Neurosis,132
Baitadi,2068/69,Mental retardation,44
Baitadi,2068/69,"Conversive disorder
(Hysteria)",15
Baitadi,2068/69,Alcoholism,51
Baitadi,2068/69,Epilesy,5
Darchula,2068/69,Depression,7
Darchula,2068/69,Psychosis,3
Darchula,2068/69,Anxiety (Neurosis,34
Darchula,2068/69,Mental retardation,1
Darchula,2068/69,"Conversive disorder
(Hysteria)",1
Darchula,2068/69,Alcoholism,3
Darchula,2068/69,Epilesy,0
Taplejung,2069/70,Depression,42
Taplejung,2069/70,Psychosis,1
Taplejung,2069/70,Anxiety (Neurosis,121
Taplejung,2069/70,Mental retardation,11
Taplejung,2069/70,"Conversive disorder
(Hysteria)",106
Taplejung,2069/70,Alcoholism,123
Taplejung,2069/70,Epilesy,5
Panchthar,2069/70,Depression,64
Panchthar,2069/70,Psychosis,2
Panchthar,2069/70,Anxiety (Neurosis,78
Panchthar,2069/70,Mental retardation,12
Panchthar,2069/70,"Conversive disorder
(Hysteria)",8
Panchthar,2069/70,Alcoholism,41
Panchthar,2069/70,Epilesy,34
Ilam,2069/70,Depression,113
Ilam,2069/70,Psychosis,11
Ilam,2069/70,Anxiety (Neurosis,258
Ilam,2069/70,Mental retardation,9
Ilam,2069/70,"Conversive disorder
(Hysteria)",42
Ilam,2069/70,Alcoholism,104
Ilam,2069/70,Epilesy,28
Jhapa,2069/70,Depression,891
Jhapa,2069/70,Psychosis,56
Jhapa,2069/70,Anxiety (Neurosis,887
Jhapa,2069/70,Mental retardation,48
Jhapa,2069/70,"Conversive disorder
(Hysteria)",55
Jhapa,2069/70,Alcoholism,264
Jhapa,2069/70,Epilesy,50
Morang,2069/70,Depression,7516
Morang,2069/70,Psychosis,738
Morang,2069/70,Anxiety (Neurosis,2680
Morang,2069/70,Mental retardation,5886
Morang,2069/70,"Conversive disorder
(Hysteria)",5217
Morang,2069/70,Alcoholism,1461
Morang,2069/70,Epilesy,5196
Sunsari,2069/70,Depression,157
Sunsari,2069/70,Psychosis,37
Sunsari,2069/70,Anxiety (Neurosis,413
Sunsari,2069/70,Mental retardation,1
Sunsari,2069/70,"Conversive disorder
(Hysteria)",87
Sunsari,2069/70,Alcoholism,223
Sunsari,2069/70,Epilesy,15
Dhankuta,2069/70,Depression,191
Dhankuta,2069/70,Psychosis,18
Dhankuta,2069/70,Anxiety (Neurosis,114
Dhankuta,2069/70,Mental retardation,16
Dhankuta,2069/70,"Conversive disorder
(Hysteria)",37
Dhankuta,2069/70,Alcoholism,115
Dhankuta,2069/70,Epilesy,18
Teharthum,2069/70,Depression,48
Teharthum,2069/70,Psychosis,8
Teharthum,2069/70,Anxiety (Neurosis,26
Teharthum,2069/70,Mental retardation,17
Teharthum,2069/70,"Conversive disorder
(Hysteria)",22
Teharthum,2069/70,Alcoholism,53
Teharthum,2069/70,Epilesy,13
Sankhuwasabha,2069/70,Depression,98
Sankhuwasabha,2069/70,Psychosis,7
Sankhuwasabha,2069/70,Anxiety (Neurosis,66
Sankhuwasabha,2069/70,Mental retardation,15
Sankhuwasabha,2069/70,"Conversive disorder
(Hysteria)",56
Sankhuwasabha,2069/70,Alcoholism,132
Sankhuwasabha,2069/70,Epilesy,16
Bhojpur,2069/70,Depression,47
Bhojpur,2069/70,Psychosis,5
Bhojpur,2069/70,Anxiety (Neurosis,53
Bhojpur,2069/70,Mental retardation,2
Bhojpur,2069/70,"Conversive disorder
(Hysteria)",16
Bhojpur,2069/70,Alcoholism,19
Bhojpur,2069/70,Epilesy,60
Solukhumbu,2069/70,Depression,67
Solukhumbu,2069/70,Psychosis,47
Solukhumbu,2069/70,Anxiety (Neurosis,66
Solukhumbu,2069/70,Mental retardation,9
Solukhumbu,2069/70,"Conversive disorder
(Hysteria)",6
Solukhumbu,2069/70,Alcoholism,23
Solukhumbu,2069/70,Epilesy,283
Okhaldhunga,2069/70,Depression,1046
Okhaldhunga,2069/70,Psychosis,342
Okhaldhunga,2069/70,Anxiety (Neurosis,708
Okhaldhunga,2069/70,Mental retardation,5
Okhaldhunga,2069/70,"Conversive disorder
(Hysteria)",4
Okhaldhunga,2069/70,Alcoholism,37
Okhaldhunga,2069/70,Epilesy,366
Khotang,2069/70,Depression,55
Khotang,2069/70,Psychosis,8
Khotang,2069/70,Anxiety (Neurosis,86
Khotang,2069/70,Mental retardation,1
Khotang,2069/70,"Conversive disorder
(Hysteria)",22
Khotang,2069/70,Alcoholism,40
Khotang,2069/70,Epilesy,8
Udaypur,2069/70,Depression,150
Udaypur,2069/70,Psychosis,16
Udaypur,2069/70,Anxiety (Neurosis,97
Udaypur,2069/70,Mental retardation,7
Udaypur,2069/70,"Conversive disorder
(Hysteria)",53
Udaypur,2069/70,Alcoholism,75
Udaypur,2069/70,Epilesy,28
Saptari,2069/70,Depression,233
Saptari,2069/70,Psychosis,8
Saptari,2069/70,Anxiety (Neurosis,14
Saptari,2069/70,Mental retardation,4
Saptari,2069/70,"Conversive disorder
(Hysteria)",14
Saptari,2069/70,Alcoholism,1
Saptari,2069/70,Epilesy,2
Siraha,2069/70,Depression,216
Siraha,2069/70,Psychosis,73
Siraha,2069/70,Anxiety (Neurosis,182
Siraha,2069/70,Mental retardation,18
Siraha,2069/70,"Conversive disorder
(Hysteria)",23
Siraha,2069/70,Alcoholism,245
Siraha,2069/70,Epilesy,31
Dhanusha,2069/70,Depression,67
Dhanusha,2069/70,Psychosis,42
Dhanusha,2069/70,Anxiety (Neurosis,62
Dhanusha,2069/70,Mental retardation,12
Dhanusha,2069/70,"Conversive disorder
(Hysteria)",16
Dhanusha,2069/70,Alcoholism,18
Dhanusha,2069/70,Epilesy,144
Mahottari,2069/70,Depression,112
Mahottari,2069/70,Psychosis,39
Mahottari,2069/70,Anxiety (Neurosis,234
Mahottari,2069/70,Mental retardation,42
Mahottari,2069/70,"Conversive disorder
(Hysteria)",52
Mahottari,2069/70,Alcoholism,96
Mahottari,2069/70,Epilesy,20
Sarlahi,2069/70,Depression,149
Sarlahi,2069/70,Psychosis,13
Sarlahi,2069/70,Anxiety (Neurosis,100
Sarlahi,2069/70,Mental retardation,61
Sarlahi,2069/70,"Conversive disorder
(Hysteria)",22
Sarlahi,2069/70,Alcoholism,56
Sarlahi,2069/70,Epilesy,55
Sindhuli,2069/70,Depression,64
Sindhuli,2069/70,Psychosis,2
Sindhuli,2069/70,Anxiety (Neurosis,49
Sindhuli,2069/70,Mental retardation,13
Sindhuli,2069/70,"Conversive disorder
(Hysteria)",12
Sindhuli,2069/70,Alcoholism,98
Sindhuli,2069/70,Epilesy,37
Ramechhap,2069/70,Depression,267
Ramechhap,2069/70,Psychosis,104
Ramechhap,2069/70,Anxiety (Neurosis,249
Ramechhap,2069/70,Mental retardation,9
Ramechhap,2069/70,"Conversive disorder
(Hysteria)",38
Ramechhap,2069/70,Alcoholism,35
Ramechhap,2069/70,Epilesy,42
Dolkha,2069/70,Depression,89
Dolkha,2069/70,Psychosis,62
Dolkha,2069/70,Anxiety (Neurosis,106
Dolkha,2069/70,Mental retardation,48
Dolkha,2069/70,"Conversive disorder
(Hysteria)",46
Dolkha,2069/70,Alcoholism,37
Dolkha,2069/70,Epilesy,175
Sindhupalchowk,2069/70,Depression,198
Sindhupalchowk,2069/70,Psychosis,34
Sindhupalchowk,2069/70,Anxiety (Neurosis,402
Sindhupalchowk,2069/70,Mental retardation,10
Sindhupalchowk,2069/70,"Conversive disorder
(Hysteria)",140
Sindhupalchowk,2069/70,Alcoholism,107
Sindhupalchowk,2069/70,Epilesy,29
Kavre,2069/70,Depression,1702
Kavre,2069/70,Psychosis,41
Kavre,2069/70,Anxiety (Neurosis,616
Kavre,2069/70,Mental retardation,7
Kavre,2069/70,"Conversive disorder
(Hysteria)",44
Kavre,2069/70,Alcoholism,771
Kavre,2069/70,Epilesy,104
Lalitpur,2069/70,Depression,0
Lalitpur,2069/70,Psychosis,0
Lalitpur,2069/70,Anxiety (Neurosis,0
Lalitpur,2069/70,Mental retardation,0
Lalitpur,2069/70,"Conversive disorder
(Hysteria)",0
Lalitpur,2069/70,Alcoholism,0
Lalitpur,2069/70,Epilesy,0
Bhaktapur,2069/70,Depression,296
Bhaktapur,2069/70,Psychosis,91
Bhaktapur,2069/70,Anxiety (Neurosis,325
Bhaktapur,2069/70,Mental retardation,16
Bhaktapur,2069/70,"Conversive disorder
(Hysteria)",77
Bhaktapur,2069/70,Alcoholism,101
Bhaktapur,2069/70,Epilesy,17
Kathmandu,2069/70,Depression,4491
Kathmandu,2069/70,Psychosis,1411
Kathmandu,2069/70,Anxiety (Neurosis,3965
Kathmandu,2069/70,Mental retardation,439
Kathmandu,2069/70,"Conversive disorder
(Hysteria)",1077
Kathmandu,2069/70,Alcoholism,3238
Kathmandu,2069/70,Epilesy,1926
Nuwakot,2069/70,Depression,102
Nuwakot,2069/70,Psychosis,84
Nuwakot,2069/70,Anxiety (Neurosis,109
Nuwakot,2069/70,Mental retardation,14
Nuwakot,2069/70,"Conversive disorder
(Hysteria)",48
Nuwakot,2069/70,Alcoholism,209
Nuwakot,2069/70,Epilesy,61
Rasuwa,2069/70,Depression,6
Rasuwa,2069/70,Psychosis,1
Rasuwa,2069/70,Anxiety (Neurosis,24
Rasuwa,2069/70,Mental retardation,1
Rasuwa,2069/70,"Conversive disorder
(Hysteria)",1
Rasuwa,2069/70,Alcoholism,3
Rasuwa,2069/70,Epilesy,7
Dhading,2069/70,Depression,534
Dhading,2069/70,Psychosis,49
Dhading,2069/70,Anxiety (Neurosis,497
Dhading,2069/70,Mental retardation,77
Dhading,2069/70,"Conversive disorder
(Hysteria)",232
Dhading,2069/70,Alcoholism,169
Dhading,2069/70,Epilesy,148
Makawanpur,2069/70,Depression,349
Makawanpur,2069/70,Psychosis,174
Makawanpur,2069/70,Anxiety (Neurosis,233
Makawanpur,2069/70,Mental retardation,5
Makawanpur,2069/70,"Conversive disorder
(Hysteria)",5
Makawanpur,2069/70,Alcoholism,56
Makawanpur,2069/70,Epilesy,610
Rautahat,2069/70,Depression,272
Rautahat,2069/70,Psychosis,8
Rautahat,2069/70,Anxiety (Neurosis,231
Rautahat,2069/70,Mental retardation,40
Rautahat,2069/70,"Conversive disorder
(Hysteria)",4
Rautahat,2069/70,Alcoholism,62
Rautahat,2069/70,Epilesy,56
Bara,2069/70,Depression,112
Bara,2069/70,Psychosis,2
Bara,2069/70,Anxiety (Neurosis,68
Bara,2069/70,Mental retardation,2
Bara,2069/70,"Conversive disorder
(Hysteria)",6
Bara,2069/70,Alcoholism,92
Bara,2069/70,Epilesy,48
Parsa,2069/70,Depression,0
Parsa,2069/70,Psychosis,0
Parsa,2069/70,Anxiety (Neurosis,0
Parsa,2069/70,Mental retardation,0
Parsa,2069/70,"Conversive disorder
(Hysteria)",0
Parsa,2069/70,Alcoholism,0
Parsa,2069/70,Epilesy,0
Chitwan,2069/70,Depression,4889
Chitwan,2069/70,Psychosis,1524
Chitwan,2069/70,Anxiety (Neurosis,2354
Chitwan,2069/70,Mental retardation,714
Chitwan,2069/70,"Conversive disorder
(Hysteria)",1137
Chitwan,2069/70,Alcoholism,1344
Chitwan,2069/70,Epilesy,998
Gorkha,2069/70,Depression,1462
Gorkha,2069/70,Psychosis,60
Gorkha,2069/70,Anxiety (Neurosis,478
Gorkha,2069/70,Mental retardation,17
Gorkha,2069/70,"Conversive disorder
(Hysteria)",79
Gorkha,2069/70,Alcoholism,31
Gorkha,2069/70,Epilesy,479
Lamjung,2069/70,Depression,528
Lamjung,2069/70,Psychosis,13
Lamjung,2069/70,Anxiety (Neurosis,484
Lamjung,2069/70,Mental retardation,12
Lamjung,2069/70,"Conversive disorder
(Hysteria)",31
Lamjung,2069/70,Alcoholism,96
Lamjung,2069/70,Epilesy,218
Tanahu,2069/70,Depression,423
Tanahu,2069/70,Psychosis,59
Tanahu,2069/70,Anxiety (Neurosis,383
Tanahu,2069/70,Mental retardation,34
Tanahu,2069/70,"Conversive disorder
(Hysteria)",117
Tanahu,2069/70,Alcoholism,235
Tanahu,2069/70,Epilesy,97
Syangja,2069/70,Depression,433
Syangja,2069/70,Psychosis,57
Syangja,2069/70,Anxiety (Neurosis,842
Syangja,2069/70,Mental retardation,8
Syangja,2069/70,"Conversive disorder
(Hysteria)",192
Syangja,2069/70,Alcoholism,63
Syangja,2069/70,Epilesy,127
Kaski,2069/70,Depression,2234
Kaski,2069/70,Psychosis,3118
Kaski,2069/70,Anxiety (Neurosis,4759
Kaski,2069/70,Mental retardation,404
Kaski,2069/70,"Conversive disorder
(Hysteria)",586
Kaski,2069/70,Alcoholism,1699
Kaski,2069/70,Epilesy,1979
Manang,2069/70,Depression,0
Manang,2069/70,Psychosis,1
Manang,2069/70,Anxiety (Neurosis,1
Manang,2069/70,Mental retardation,0
Manang,2069/70,"Conversive disorder
(Hysteria)",1
Manang,2069/70,Alcoholism,3
Manang,2069/70,Epilesy,0
Mustang,2069/70,Depression,3
Mustang,2069/70,Psychosis,0
Mustang,2069/70,Anxiety (Neurosis,48
Mustang,2069/70,Mental retardation,0
Mustang,2069/70,"Conversive disorder
(Hysteria)",17
Mustang,2069/70,Alcoholism,14
Mustang,2069/70,Epilesy,8
Myagdi,2069/70,Depression,49
Myagdi,2069/70,Psychosis,41
Myagdi,2069/70,Anxiety (Neurosis,78
Myagdi,2069/70,Mental retardation,1
Myagdi,2069/70,"Conversive disorder
(Hysteria)",14
Myagdi,2069/70,Alcoholism,19
Myagdi,2069/70,Epilesy,22
Parbat,2069/70,Depression,86
Parbat,2069/70,Psychosis,3
Parbat,2069/70,Anxiety (Neurosis,266
Parbat,2069/70,Mental retardation,5
Parbat,2069/70,"Conversive disorder
(Hysteria)",26
Parbat,2069/70,Alcoholism,37
Parbat,2069/70,Epilesy,13
Baglung,2069/70,Depression,282
Baglung,2069/70,Psychosis,48
Baglung,2069/70,Anxiety (Neurosis,842
Baglung,2069/70,Mental retardation,82
Baglung,2069/70,"Conversive disorder
(Hysteria)",80
Baglung,2069/70,Alcoholism,113
Baglung,2069/70,Epilesy,103
Gulmi,2069/70,Depression,287
Gulmi,2069/70,Psychosis,18
Gulmi,2069/70,Anxiety (Neurosis,343
Gulmi,2069/70,Mental retardation,12
Gulmi,2069/70,"Conversive disorder
(Hysteria)",89
Gulmi,2069/70,Alcoholism,19
Gulmi,2069/70,Epilesy,25
Palpa,2069/70,Depression,2690
Palpa,2069/70,Psychosis,351
Palpa,2069/70,Anxiety (Neurosis,5745
Palpa,2069/70,Mental retardation,732
Palpa,2069/70,"Conversive disorder
(Hysteria)",509
Palpa,2069/70,Alcoholism,925
Palpa,2069/70,Epilesy,1126
Nawalparasi,2069/70,Depression,104
Nawalparasi,2069/70,Psychosis,6
Nawalparasi,2069/70,Anxiety (Neurosis,246
Nawalparasi,2069/70,Mental retardation,7
Nawalparasi,2069/70,"Conversive disorder
(Hysteria)",54
Nawalparasi,2069/70,Alcoholism,38
Nawalparasi,2069/70,Epilesy,78
Rupandehi,2069/70,Depression,0
Rupandehi,2069/70,Psychosis,0
Rupandehi,2069/70,Anxiety (Neurosis,0
Rupandehi,2069/70,Mental retardation,0
Rupandehi,2069/70,"Conversive disorder
(Hysteria)",0
Rupandehi,2069/70,Alcoholism,0
Rupandehi,2069/70,Epilesy,0
Kapilvastu,2069/70,Depression,442
Kapilvastu,2069/70,Psychosis,14
Kapilvastu,2069/70,Anxiety (Neurosis,150
Kapilvastu,2069/70,Mental retardation,16
Kapilvastu,2069/70,"Conversive disorder
(Hysteria)",17
Kapilvastu,2069/70,Alcoholism,47
Kapilvastu,2069/70,Epilesy,29
Arghakhanchi,2069/70,Depression,173
Arghakhanchi,2069/70,Psychosis,1
Arghakhanchi,2069/70,Anxiety (Neurosis,150
Arghakhanchi,2069/70,Mental retardation,1
Arghakhanchi,2069/70,"Conversive disorder
(Hysteria)",16
Arghakhanchi,2069/70,Alcoholism,30
Arghakhanchi,2069/70,Epilesy,35
Pyuthan,2069/70,Depression,99
Pyuthan,2069/70,Psychosis,1
Pyuthan,2069/70,Anxiety (Neurosis,326
Pyuthan,2069/70,Mental retardation,3
Pyuthan,2069/70,"Conversive disorder
(Hysteria)",27
Pyuthan,2069/70,Alcoholism,35
Pyuthan,2069/70,Epilesy,38
Rolpa,2069/70,Depression,166
Rolpa,2069/70,Psychosis,12
Rolpa,2069/70,Anxiety (Neurosis,225
Rolpa,2069/70,Mental retardation,5
