District,Year,Nutritional deficines,Number of people
Bajura,2067/68,Night blindness,129
Bajhang,2067/68,Malnutrition,297
Bajhang,2067/68,Avitaminoses and othernnutrideficency,541
Bajhang,2067/68,Polyneuritis,637
Bajhang,2067/68,Anaemia,618
Bajhang,2067/68,"Goitre,Cretinism",3
Bajhang,2067/68,Diabetic mellitis,18
Bajhang,2067/68,Obesity,10
Bajhang,2067/68,Dehydration,1277
Bajhang,2067/68,Night blindness,188
Achham,2067/68,Malnutrition,1494
Achham,2067/68,Avitaminoses and othernnutrideficency,1558
Achham,2067/68,Polyneuritis,858
Achham,2067/68,Anaemia,1540
Achham,2067/68,"Goitre,Cretinism",43
Achham,2067/68,Diabetic mellitis,176
Achham,2067/68,Obesity,57
Achham,2067/68,Dehydration,2179
Achham,2067/68,Night blindness,203
Doti,2067/68,Malnutrition,315
Doti,2067/68,Avitaminoses and othernnutrideficency,1017
Doti,2067/68,Polyneuritis,370
Doti,2067/68,Anaemia,735
Doti,2067/68,"Goitre,Cretinism",7
Doti,2067/68,Diabetic mellitis,20
Doti,2067/68,Obesity,2
Doti,2067/68,Dehydration,981
Doti,2067/68,Night blindness,122
Kailali,2067/68,Malnutrition,851
Kailali,2067/68,Avitaminoses and othernnutrideficency,3404
Kailali,2067/68,Polyneuritis,1657
Kailali,2067/68,Anaemia,4136
Kailali,2067/68,"Goitre,Cretinism",305
Kailali,2067/68,Diabetic mellitis,434
Kailali,2067/68,Obesity,126
Kailali,2067/68,Dehydration,1507
Kailali,2067/68,Night blindness,162
Kanchanpur,2067/68,Malnutrition,1516
Kanchanpur,2067/68,Avitaminoses and othernnutrideficency,2508
Kanchanpur,2067/68,Polyneuritis,504
Kanchanpur,2067/68,Anaemia,2138
Kanchanpur,2067/68,"Goitre,Cretinism",2
Kanchanpur,2067/68,Diabetic mellitis,92
Kanchanpur,2067/68,Obesity,4
Kanchanpur,2067/68,Dehydration,1371
Kanchanpur,2067/68,Night blindness,163
Dadeldhura,2067/68,Malnutrition,179
Dadeldhura,2067/68,Avitaminoses and othernnutrideficency,1168
Dadeldhura,2067/68,Polyneuritis,380
Dadeldhura,2067/68,Anaemia,616
Dadeldhura,2067/68,"Goitre,Cretinism",45
Dadeldhura,2067/68,Diabetic mellitis,270
Dadeldhura,2067/68,Obesity,49
Dadeldhura,2067/68,Dehydration,792
Dadeldhura,2067/68,Night blindness,49
Baitadi,2067/68,Malnutrition,205
Baitadi,2067/68,Avitaminoses and othernnutrideficency,470
Baitadi,2067/68,Polyneuritis,362
Baitadi,2067/68,Anaemia,1382
Baitadi,2067/68,"Goitre,Cretinism",4
Baitadi,2067/68,Diabetic mellitis,115
Baitadi,2067/68,Obesity,8
Baitadi,2067/68,Dehydration,975
Baitadi,2067/68,Night blindness,192
Darchula,2067/68,Malnutrition,84
Darchula,2067/68,Avitaminoses and othernnutrideficency,256
Darchula,2067/68,Polyneuritis,110
Darchula,2067/68,Anaemia,283
Darchula,2067/68,"Goitre,Cretinism",28
Darchula,2067/68,Diabetic mellitis,9
Darchula,2067/68,Obesity,4
Darchula,2067/68,Dehydration,283
Darchula,2067/68,Night blindness,90
Taplejung,2068/69,Malnutrition,134
Taplejung,2068/69,Avitaminoses and othernnutrideficency,604
Taplejung,2068/69,Polyneuritis,228
Taplejung,2068/69,Anaemia,425
Taplejung,2068/69,"Goitre,Cretinism",46
Taplejung,2068/69,Diabetic mellitis,99
Taplejung,2068/69,Obesity,69
Taplejung,2068/69,Dehydration,376
Taplejung,2068/69,Night blindness,25
Panchthar,2068/69,Malnutrition,66
Panchthar,2068/69,Avitaminoses and othernnutrideficency,858
Panchthar,2068/69,Polyneuritis,248
Panchthar,2068/69,Anaemia,601
Panchthar,2068/69,"Goitre,Cretinism",0
Panchthar,2068/69,Diabetic mellitis,28
Panchthar,2068/69,Obesity,2
Panchthar,2068/69,Dehydration,515
Panchthar,2068/69,Night blindness,12
Ilam,2068/69,Malnutrition,165
Ilam,2068/69,Avitaminoses and othernnutrideficency,973
Ilam,2068/69,Polyneuritis,324
Ilam,2068/69,Anaemia,755
Ilam,2068/69,"Goitre,Cretinism",12
Ilam,2068/69,Diabetic mellitis,286
Ilam,2068/69,Obesity,7
Ilam,2068/69,Dehydration,466
Ilam,2068/69,Night blindness,46
Jhapa,2068/69,Malnutrition,590
Jhapa,2068/69,Avitaminoses and othernnutrideficency,2377
Jhapa,2068/69,Polyneuritis,2000
Jhapa,2068/69,Anaemia,2501
Jhapa,2068/69,"Goitre,Cretinism",66
Jhapa,2068/69,Diabetic mellitis,926
Jhapa,2068/69,Obesity,36
Jhapa,2068/69,Dehydration,2255
Jhapa,2068/69,Night blindness,279
Morang,2068/69,Malnutrition,988
Morang,2068/69,Avitaminoses and othernnutrideficency,6060
Morang,2068/69,Polyneuritis,2412
Morang,2068/69,Anaemia,2517
Morang,2068/69,"Goitre,Cretinism",59
Morang,2068/69,Diabetic mellitis,5717
Morang,2068/69,Obesity,50
Morang,2068/69,Dehydration,1903
Morang,2068/69,Night blindness,496
Sunsari,2068/69,Malnutrition,469
Sunsari,2068/69,Avitaminoses and othernnutrideficency,9009
Sunsari,2068/69,Polyneuritis,1129
Sunsari,2068/69,Anaemia,2350
Sunsari,2068/69,"Goitre,Cretinism",3
Sunsari,2068/69,Diabetic mellitis,144
Sunsari,2068/69,Obesity,47
Sunsari,2068/69,Dehydration,2909
Sunsari,2068/69,Night blindness,193
Dhankuta,2068/69,Malnutrition,23
Dhankuta,2068/69,Avitaminoses and othernnutrideficency,1401
Dhankuta,2068/69,Polyneuritis,252
Dhankuta,2068/69,Anaemia,148
Dhankuta,2068/69,"Goitre,Cretinism",9
Dhankuta,2068/69,Diabetic mellitis,28
Dhankuta,2068/69,Obesity,5
Dhankuta,2068/69,Dehydration,395
Dhankuta,2068/69,Night blindness,4
Teharthum,2068/69,Malnutrition,29
Teharthum,2068/69,Avitaminoses and othernnutrideficency,536
Teharthum,2068/69,Polyneuritis,308
Teharthum,2068/69,Anaemia,238
Teharthum,2068/69,"Goitre,Cretinism",10
Teharthum,2068/69,Diabetic mellitis,88
Teharthum,2068/69,Obesity,1
Teharthum,2068/69,Dehydration,247
Teharthum,2068/69,Night blindness,31
Sankhuwasabha,2068/69,Malnutrition,47
Sankhuwasabha,2068/69,Avitaminoses and othernnutrideficency,817
Sankhuwasabha,2068/69,Polyneuritis,64
Sankhuwasabha,2068/69,Anaemia,279
Sankhuwasabha,2068/69,"Goitre,Cretinism",1
Sankhuwasabha,2068/69,Diabetic mellitis,192
Sankhuwasabha,2068/69,Obesity,2
Sankhuwasabha,2068/69,Dehydration,257
Sankhuwasabha,2068/69,Night blindness,13
Bhojpur,2068/69,Malnutrition,68
Bhojpur,2068/69,Avitaminoses and othernnutrideficency,1545
Bhojpur,2068/69,Polyneuritis,250
Bhojpur,2068/69,Anaemia,784
Bhojpur,2068/69,"Goitre,Cretinism",27
Bhojpur,2068/69,Diabetic mellitis,89
Bhojpur,2068/69,Obesity,22
Bhojpur,2068/69,Dehydration,737
Bhojpur,2068/69,Night blindness,42
Solukhumbu,2068/69,Malnutrition,89
Solukhumbu,2068/69,Avitaminoses and othernnutrideficency,516
Solukhumbu,2068/69,Polyneuritis,272
Solukhumbu,2068/69,Anaemia,950
Solukhumbu,2068/69,"Goitre,Cretinism",0
Solukhumbu,2068/69,Diabetic mellitis,173
Solukhumbu,2068/69,Obesity,20
Solukhumbu,2068/69,Dehydration,878
Solukhumbu,2068/69,Night blindness,93
Okhaldhunga,2068/69,Malnutrition,413
Okhaldhunga,2068/69,Avitaminoses and othernnutrideficency,930
Okhaldhunga,2068/69,Polyneuritis,57
Okhaldhunga,2068/69,Anaemia,445
Okhaldhunga,2068/69,"Goitre,Cretinism",17
Okhaldhunga,2068/69,Diabetic mellitis,221
Okhaldhunga,2068/69,Obesity,12
Okhaldhunga,2068/69,Dehydration,600
Okhaldhunga,2068/69,Night blindness,28
Khotang,2068/69,Malnutrition,250
Khotang,2068/69,Avitaminoses and othernnutrideficency,1278
Khotang,2068/69,Polyneuritis,345
Khotang,2068/69,Anaemia,820
Khotang,2068/69,"Goitre,Cretinism",14
Khotang,2068/69,Diabetic mellitis,10
Khotang,2068/69,Obesity,29
Khotang,2068/69,Dehydration,1474
Khotang,2068/69,Night blindness,255
Udaypur,2068/69,Malnutrition,169
Udaypur,2068/69,Avitaminoses and othernnutrideficency,1384
Udaypur,2068/69,Polyneuritis,859
Udaypur,2068/69,Anaemia,780
Udaypur,2068/69,"Goitre,Cretinism",6
Udaypur,2068/69,Diabetic mellitis,201
Udaypur,2068/69,Obesity,3
Udaypur,2068/69,Dehydration,702
Udaypur,2068/69,Night blindness,93
Saptari,2068/69,Malnutrition,712
Saptari,2068/69,Avitaminoses and othernnutrideficency,5461
Saptari,2068/69,Polyneuritis,838
Saptari,2068/69,Anaemia,4818
Saptari,2068/69,"Goitre,Cretinism",12
Saptari,2068/69,Diabetic mellitis,72
Saptari,2068/69,Obesity,18
Saptari,2068/69,Dehydration,4284
Saptari,2068/69,Night blindness,1095
Siraha,2068/69,Malnutrition,581
Siraha,2068/69,Avitaminoses and othernnutrideficency,8345
Siraha,2068/69,Polyneuritis,1509
Siraha,2068/69,Anaemia,3754
Siraha,2068/69,"Goitre,Cretinism",6
Siraha,2068/69,Diabetic mellitis,156
Siraha,2068/69,Obesity,207
Siraha,2068/69,Dehydration,4535
Siraha,2068/69,Night blindness,1088
Dhanusha,2068/69,Malnutrition,1305
Dhanusha,2068/69,Avitaminoses and othernnutrideficency,7778
Dhanusha,2068/69,Polyneuritis,1125
Dhanusha,2068/69,Anaemia,5356
Dhanusha,2068/69,"Goitre,Cretinism",71
Dhanusha,2068/69,Diabetic mellitis,212
Dhanusha,2068/69,Obesity,43
Dhanusha,2068/69,Dehydration,1398
Dhanusha,2068/69,Night blindness,821
Mahottari,2068/69,Malnutrition,590
Mahottari,2068/69,Avitaminoses and othernnutrideficency,3977
Mahottari,2068/69,Polyneuritis,721
Mahottari,2068/69,Anaemia,3725
Mahottari,2068/69,"Goitre,Cretinism",63
Mahottari,2068/69,Diabetic mellitis,291
Mahottari,2068/69,Obesity,23
Mahottari,2068/69,Dehydration,2096
Mahottari,2068/69,Night blindness,1679
Sarlahi,2068/69,Malnutrition,2127
Sarlahi,2068/69,Avitaminoses and othernnutrideficency,8621
Sarlahi,2068/69,Polyneuritis,1168
Sarlahi,2068/69,Anaemia,6877
Sarlahi,2068/69,"Goitre,Cretinism",119
Sarlahi,2068/69,Diabetic mellitis,1153
Sarlahi,2068/69,Obesity,290
Sarlahi,2068/69,Dehydration,4527
Sarlahi,2068/69,Night blindness,2349
Sindhuli,2068/69,Malnutrition,258
Sindhuli,2068/69,Avitaminoses and othernnutrideficency,1042
Sindhuli,2068/69,Polyneuritis,266
Sindhuli,2068/69,Anaemia,754
Sindhuli,2068/69,"Goitre,Cretinism",18
Sindhuli,2068/69,Diabetic mellitis,15
Sindhuli,2068/69,Obesity,15
Sindhuli,2068/69,Dehydration,1147
Sindhuli,2068/69,Night blindness,154
Ramechhap,2068/69,Malnutrition,106
Ramechhap,2068/69,Avitaminoses and othernnutrideficency,1321
Ramechhap,2068/69,Polyneuritis,811
Ramechhap,2068/69,Anaemia,527
Ramechhap,2068/69,"Goitre,Cretinism",5
Ramechhap,2068/69,Diabetic mellitis,205
Ramechhap,2068/69,Obesity,10
Ramechhap,2068/69,Dehydration,348
Ramechhap,2068/69,Night blindness,87
Dolkha,2068/69,Malnutrition,89
Dolkha,2068/69,Avitaminoses and othernnutrideficency,597
Dolkha,2068/69,Polyneuritis,259
Dolkha,2068/69,Anaemia,376
Dolkha,2068/69,"Goitre,Cretinism",18
Dolkha,2068/69,Diabetic mellitis,386
Dolkha,2068/69,Obesity,0
Dolkha,2068/69,Dehydration,293
Dolkha,2068/69,Night blindness,95
Sindhupalchowk,2068/69,Malnutrition,171
Sindhupalchowk,2068/69,Avitaminoses and othernnutrideficency,1035
Sindhupalchowk,2068/69,Polyneuritis,1302
Sindhupalchowk,2068/69,Anaemia,831
Sindhupalchowk,2068/69,"Goitre,Cretinism",27
Sindhupalchowk,2068/69,Diabetic mellitis,108
Sindhupalchowk,2068/69,Obesity,41
Sindhupalchowk,2068/69,Dehydration,985
Sindhupalchowk,2068/69,Night blindness,44
Kavre,2068/69,Malnutrition,106
Kavre,2068/69,Avitaminoses and othernnutrideficency,2888
Kavre,2068/69,Polyneuritis,1041
Kavre,2068/69,Anaemia,1763
Kavre,2068/69,"Goitre,Cretinism",14
Kavre,2068/69,Diabetic mellitis,707
Kavre,2068/69,Obesity,16
Kavre,2068/69,Dehydration,1357
Kavre,2068/69,Night blindness,92
Lalitpur,2068/69,Malnutrition,0
Lalitpur,2068/69,Avitaminoses and othernnutrideficency,0
Lalitpur,2068/69,Polyneuritis,0
Lalitpur,2068/69,Anaemia,0
Lalitpur,2068/69,"Goitre,Cretinism",0
Lalitpur,2068/69,Diabetic mellitis,0
Lalitpur,2068/69,Obesity,0
Lalitpur,2068/69,Dehydration,0
Lalitpur,2068/69,Night blindness,0
Bhaktapur,2068/69,Malnutrition,64
Bhaktapur,2068/69,Avitaminoses and othernnutrideficency,1141
Bhaktapur,2068/69,Polyneuritis,131
Bhaktapur,2068/69,Anaemia,238
Bhaktapur,2068/69,"Goitre,Cretinism",3
Bhaktapur,2068/69,Diabetic mellitis,850
Bhaktapur,2068/69,Obesity,75
Bhaktapur,2068/69,Dehydration,117
Bhaktapur,2068/69,Night blindness,5
Kathmandu,2068/69,Malnutrition,542
Kathmandu,2068/69,Avitaminoses and othernnutrideficency,3440
Kathmandu,2068/69,Polyneuritis,707
Kathmandu,2068/69,Anaemia,2640
Kathmandu,2068/69,"Goitre,Cretinism",356
Kathmandu,2068/69,Diabetic mellitis,15841
Kathmandu,2068/69,Obesity,554
Kathmandu,2068/69,Dehydration,2267
Kathmandu,2068/69,Night blindness,316
Nuwakot,2068/69,Malnutrition,134
Nuwakot,2068/69,Avitaminoses and othernnutrideficency,971
Nuwakot,2068/69,Polyneuritis,296
Nuwakot,2068/69,Anaemia,671
Nuwakot,2068/69,"Goitre,Cretinism",2
Nuwakot,2068/69,Diabetic mellitis,102
Nuwakot,2068/69,Obesity,32
Nuwakot,2068/69,Dehydration,544
Nuwakot,2068/69,Night blindness,121
Rasuwa,2068/69,Malnutrition,3
Rasuwa,2068/69,Avitaminoses and othernnutrideficency,709
Rasuwa,2068/69,Polyneuritis,16
Rasuwa,2068/69,Anaemia,109
Rasuwa,2068/69,"Goitre,Cretinism",1
Rasuwa,2068/69,Diabetic mellitis,5
Rasuwa,2068/69,Obesity,2
Rasuwa,2068/69,Dehydration,216
Rasuwa,2068/69,Night blindness,11
Dhading,2068/69,Malnutrition,268
Dhading,2068/69,Avitaminoses and othernnutrideficency,2305
Dhading,2068/69,Polyneuritis,1362
Dhading,2068/69,Anaemia,2024
Dhading,2068/69,"Goitre,Cretinism",16
Dhading,2068/69,Diabetic mellitis,374
Dhading,2068/69,Obesity,24
Dhading,2068/69,Dehydration,1218
Dhading,2068/69,Night blindness,136
Makawanpur,2068/69,Malnutrition,99
Makawanpur,2068/69,Avitaminoses and othernnutrideficency,803
Makawanpur,2068/69,Polyneuritis,452
Makawanpur,2068/69,Anaemia,888
Makawanpur,2068/69,"Goitre,Cretinism",11
Makawanpur,2068/69,Diabetic mellitis,242
Makawanpur,2068/69,Obesity,83
Makawanpur,2068/69,Dehydration,365
Makawanpur,2068/69,Night blindness,106
Rautahat,2068/69,Malnutrition,2044
Rautahat,2068/69,Avitaminoses and othernnutrideficency,5528
Rautahat,2068/69,Polyneuritis,929
Rautahat,2068/69,Anaemia,5570
Rautahat,2068/69,"Goitre,Cretinism",50
Rautahat,2068/69,Diabetic mellitis,242
Rautahat,2068/69,Obesity,174
Rautahat,2068/69,Dehydration,4251
Rautahat,2068/69,Night blindness,1554
Bara,2068/69,Malnutrition,1022
Bara,2068/69,Avitaminoses and othernnutrideficency,8373
Bara,2068/69,Polyneuritis,1677
Bara,2068/69,Anaemia,5081
Bara,2068/69,"Goitre,Cretinism",54
Bara,2068/69,Diabetic mellitis,345
Bara,2068/69,Obesity,86
Bara,2068/69,Dehydration,3799
Bara,2068/69,Night blindness,1255
Parsa,2068/69,Malnutrition,0
Parsa,2068/69,Avitaminoses and othernnutrideficency,0
Parsa,2068/69,Polyneuritis,0
Parsa,2068/69,Anaemia,0
Parsa,2068/69,"Goitre,Cretinism",0
Parsa,2068/69,Diabetic mellitis,0
Parsa,2068/69,Obesity,0
Parsa,2068/69,Dehydration,0
Parsa,2068/69,Night blindness,0
Chitwan,2068/69,Malnutrition,282
Chitwan,2068/69,Avitaminoses and othernnutrideficency,2983
Chitwan,2068/69,Polyneuritis,1076
Chitwan,2068/69,Anaemia,2566
Chitwan,2068/69,"Goitre,Cretinism",272
Chitwan,2068/69,Diabetic mellitis,7210
Chitwan,2068/69,Obesity,477
Chitwan,2068/69,Dehydration,513
Chitwan,2068/69,Night blindness,191
Gorkha,2068/69,Malnutrition,94
Gorkha,2068/69,Avitaminoses and othernnutrideficency,1073
Gorkha,2068/69,Polyneuritis,1553
Gorkha,2068/69,Anaemia,1051
Gorkha,2068/69,"Goitre,Cretinism",63
Gorkha,2068/69,Diabetic mellitis,603
Gorkha,2068/69,Obesity,83
Gorkha,2068/69,Dehydration,521
Gorkha,2068/69,Night blindness,17
Lamjung,2068/69,Malnutrition,50
Lamjung,2068/69,Avitaminoses and othernnutrideficency,2340
Lamjung,2068/69,Polyneuritis,675
Lamjung,2068/69,Anaemia,958
Lamjung,2068/69,"Goitre,Cretinism",7
Lamjung,2068/69,Diabetic mellitis,642
Lamjung,2068/69,Obesity,5
Lamjung,2068/69,Dehydration,519
Lamjung,2068/69,Night blindness,8
Tanahu,2068/69,Malnutrition,39
Tanahu,2068/69,Avitaminoses and othernnutrideficency,772
Tanahu,2068/69,Polyneuritis,311
Tanahu,2068/69,Anaemia,632
Tanahu,2068/69,"Goitre,Cretinism",174
Tanahu,2068/69,Diabetic mellitis,688
Tanahu,2068/69,Obesity,114
Tanahu,2068/69,Dehydration,220
Tanahu,2068/69,Night blindness,109
Syangja,2068/69,Malnutrition,225
Syangja,2068/69,Avitaminoses and othernnutrideficency,4288
Syangja,2068/69,Polyneuritis,1122
Syangja,2068/69,Anaemia,1340
Syangja,2068/69,"Goitre,Cretinism",17
Syangja,2068/69,Diabetic mellitis,459
Syangja,2068/69,Obesity,26
Syangja,2068/69,Dehydration,260
Syangja,2068/69,Night blindness,270
Kaski,2068/69,Malnutrition,580
Kaski,2068/69,Avitaminoses and othernnutrideficency,4478
Kaski,2068/69,Polyneuritis,856
Kaski,2068/69,Anaemia,1671
Kaski,2068/69,"Goitre,Cretinism",1966
Kaski,2068/69,Diabetic mellitis,7193
Kaski,2068/69,Obesity,588
Kaski,2068/69,Dehydration,804
Kaski,2068/69,Night blindness,64
Manang,2068/69,Malnutrition,4
Manang,2068/69,Avitaminoses and othernnutrideficency,75
Manang,2068/69,Polyneuritis,7
Manang,2068/69,Anaemia,35
Manang,2068/69,"Goitre,Cretinism",0
Manang,2068/69,Diabetic mellitis,31
Manang,2068/69,Obesity,0
Manang,2068/69,Dehydration,27
Manang,2068/69,Night blindness,2
Mustang,2068/69,Malnutrition,13
Mustang,2068/69,Avitaminoses and othernnutrideficency,193
Mustang,2068/69,Polyneuritis,19
Mustang,2068/69,Anaemia,31
Mustang,2068/69,"Goitre,Cretinism",1
Mustang,2068/69,Diabetic mellitis,27
Mustang,2068/69,Obesity,0
Mustang,2068/69,Dehydration,180
Mustang,2068/69,Night blindness,1
Myagdi,2068/69,Malnutrition,117
Myagdi,2068/69,Avitaminoses and othernnutrideficency,489
Myagdi,2068/69,Polyneuritis,242
Myagdi,2068/69,Anaemia,166
Myagdi,2068/69,"Goitre,Cretinism",12
Myagdi,2068/69,Diabetic mellitis,73
Myagdi,2068/69,Obesity,11
Myagdi,2068/69,Dehydration,194
Myagdi,2068/69,Night blindness,29
Parbat,2068/69,Malnutrition,43
Parbat,2068/69,Avitaminoses and othernnutrideficency,2079
Parbat,2068/69,Polyneuritis,831
Parbat,2068/69,Anaemia,917
Parbat,2068/69,"Goitre,Cretinism",23
Parbat,2068/69,Diabetic mellitis,107
Parbat,2068/69,Obesity,3
Parbat,2068/69,Dehydration,157
Parbat,2068/69,Night blindness,40
Baglung,2068/69,Malnutrition,229
Baglung,2068/69,Avitaminoses and othernnutrideficency,1668
Baglung,2068/69,Polyneuritis,1502
Baglung,2068/69,Anaemia,1386
Baglung,2068/69,"Goitre,Cretinism",77
Baglung,2068/69,Diabetic mellitis,246
Baglung,2068/69,Obesity,90
Baglung,2068/69,Dehydration,641
Baglung,2068/69,Night blindness,128
Gulmi,2068/69,Malnutrition,311
Gulmi,2068/69,Avitaminoses and othernnutrideficency,2042
Gulmi,2068/69,Polyneuritis,2484
Gulmi,2068/69,Anaemia,1441
Gulmi,2068/69,"Goitre,Cretinism",128
Gulmi,2068/69,Diabetic mellitis,284
Gulmi,2068/69,Obesity,81
Gulmi,2068/69,Dehydration,381
Gulmi,2068/69,Night blindness,14
Palpa,2068/69,Malnutrition,311
Palpa,2068/69,Avitaminoses and othernnutrideficency,3050
Palpa,2068/69,Polyneuritis,695
Palpa,2068/69,Anaemia,1076
Palpa,2068/69,"Goitre,Cretinism",480
Palpa,2068/69,Diabetic mellitis,3175
Palpa,2068/69,Obesity,25
Palpa,2068/69,Dehydration,1449
Palpa,2068/69,Night blindness,50
Nawalparasi,2068/69,Malnutrition,436
Nawalparasi,2068/69,Avitaminoses and othernnutrideficency,4925
Nawalparasi,2068/69,Polyneuritis,1107
Nawalparasi,2068/69,Anaemia,2108
Nawalparasi,2068/69,"Goitre,Cretinism",25
Nawalparasi,2068/69,Diabetic mellitis,623
Nawalparasi,2068/69,Obesity,33
Nawalparasi,2068/69,Dehydration,773
Nawalparasi,2068/69,Night blindness,147
Rupandehi,2068/69,Malnutrition,0
Rupandehi,2068/69,Avitaminoses and othernnutrideficency,0
Rupandehi,2068/69,Polyneuritis,0
Rupandehi,2068/69,Anaemia,0
Rupandehi,2068/69,"Goitre,Cretinism",0
Rupandehi,2068/69,Diabetic mellitis,0
Rupandehi,2068/69,Obesity,0
Rupandehi,2068/69,Dehydration,0
Rupandehi,2068/69,Night blindness,0
Kapilvastu,2068/69,Malnutrition,2218
Kapilvastu,2068/69,Avitaminoses and othernnutrideficency,5599
Kapilvastu,2068/69,Polyneuritis,2145
Kapilvastu,2068/69,Anaemia,5078
Kapilvastu,2068/69,"Goitre,Cretinism",0
Kapilvastu,2068/69,Diabetic mellitis,218
Kapilvastu,2068/69,Obesity,298
Kapilvastu,2068/69,Dehydration,1821
Kapilvastu,2068/69,Night blindness,1144
Arghakhanchi,2068/69,Malnutrition,117
Arghakhanchi,2068/69,Avitaminoses and othernnutrideficency,1162
Arghakhanchi,2068/69,Polyneuritis,1178
Arghakhanchi,2068/69,Anaemia,797
Arghakhanchi,2068/69,"Goitre,Cretinism",84
Arghakhanchi,2068/69,Diabetic mellitis,217
Arghakhanchi,2068/69,Obesity,14
Arghakhanchi,2068/69,Dehydration,758
Arghakhanchi,2068/69,Night blindness,166
Pyuthan,2068/69,Malnutrition,160
Pyuthan,2068/69,Avitaminoses and othernnutrideficency,1165
Pyuthan,2068/69,Polyneuritis,531
Pyuthan,2068/69,Anaemia,316
Pyuthan,2068/69,"Goitre,Cretinism",4
Pyuthan,2068/69,Diabetic mellitis,237
Pyuthan,2068/69,Obesity,0
Pyuthan,2068/69,Dehydration,69
Pyuthan,2068/69,Night blindness,5
Rolpa,2068/69,Malnutrition,97
Rolpa,2068/69,Avitaminoses and othernnutrideficency,423
Rolpa,2068/69,Polyneuritis,357
Rolpa,2068/69,Anaemia,501
Rolpa,2068/69,"Goitre,Cretinism",25
Rolpa,2068/69,Diabetic mellitis,5
Rolpa,2068/69,Obesity,16
Rolpa,2068/69,Dehydration,892
Rolpa,2068/69,Night blindness,27
Rukum,2068/69,Malnutrition,313
Rukum,2068/69,Avitaminoses and othernnutrideficency,967
Rukum,2068/69,Polyneuritis,1287
Rukum,2068/69,Anaemia,848
Rukum,2068/69,"Goitre,Cretinism",145
Rukum,2068/69,Diabetic mellitis,25
Rukum,2068/69,Obesity,7
Rukum,2068/69,Dehydration,735
Rukum,2068/69,Night blindness,52
Salyan,2068/69,Malnutrition,160
Salyan,2068/69,Avitaminoses and othernnutrideficency,1208
Salyan,2068/69,Polyneuritis,1413
Salyan,2068/69,Anaemia,940
Salyan,2068/69,"Goitre,Cretinism",13
Salyan,2068/69,Diabetic mellitis,141
Salyan,2068/69,Obesity,26
Salyan,2068/69,Dehydration,835
Salyan,2068/69,Night blindness,239
Dang,2068/69,Malnutrition,843
Dang,2068/69,Avitaminoses and othernnutrideficency,1699
Dang,2068/69,Polyneuritis,1582
Dang,2068/69,Anaemia,1496
Dang,2068/69,"Goitre,Cretinism",1
Dang,2068/69,Diabetic mellitis,526
Dang,2068/69,Obesity,169
Dang,2068/69,Dehydration,1849
Dang,2068/69,Night blindness,194
Banke,2068/69,Malnutrition,494
Banke,2068/69,Avitaminoses and othernnutrideficency,3446
Banke,2068/69,Polyneuritis,1024
Banke,2068/69,Anaemia,2324
Banke,2068/69,"Goitre,Cretinism",51
Banke,2068/69,Diabetic mellitis,166
Banke,2068/69,Obesity,79
Banke,2068/69,Dehydration,1581
Banke,2068/69,Night blindness,488
Bardiya,2068/69,Malnutrition,724
Bardiya,2068/69,Avitaminoses and othernnutrideficency,4355
Bardiya,2068/69,Polyneuritis,4021
Bardiya,2068/69,Anaemia,2346
Bardiya,2068/69,"Goitre,Cretinism",66
Bardiya,2068/69,Diabetic mellitis,220
Bardiya,2068/69,Obesity,8
Bardiya,2068/69,Dehydration,1286
Bardiya,2068/69,Night blindness,300
Surkhet,2068/69,Malnutrition,210
Surkhet,2068/69,Avitaminoses and othernnutrideficency,2409
Surkhet,2068/69,Polyneuritis,3150
Surkhet,2068/69,Anaemia,1144
Surkhet,2068/69,"Goitre,Cretinism",74
Surkhet,2068/69,Diabetic mellitis,34
Surkhet,2068/69,Obesity,15
Surkhet,2068/69,Dehydration,1898
Surkhet,2068/69,Night blindness,265
Dailekh,2068/69,Malnutrition,174
Dailekh,2068/69,Avitaminoses and othernnutrideficency,1380
Dailekh,2068/69,Polyneuritis,890
Dailekh,2068/69,Anaemia,626
Dailekh,2068/69,"Goitre,Cretinism",6
Dailekh,2068/69,Diabetic mellitis,46
Dailekh,2068/69,Obesity,10
Dailekh,2068/69,Dehydration,2367
Dailekh,2068/69,Night blindness,56
Jajarkot,2068/69,Malnutrition,739
Jajarkot,2068/69,Avitaminoses and othernnutrideficency,932
Jajarkot,2068/69,Polyneuritis,852
Jajarkot,2068/69,Anaemia,1090
Jajarkot,2068/69,"Goitre,Cretinism",18
Jajarkot,2068/69,Diabetic mellitis,5
Jajarkot,2068/69,Obesity,17
Jajarkot,2068/69,Dehydration,1098
Jajarkot,2068/69,Night blindness,244
Dolpa,2068/69,Malnutrition,24
Dolpa,2068/69,Avitaminoses and othernnutrideficency,120
Dolpa,2068/69,Polyneuritis,97
Dolpa,2068/69,Anaemia,171
Dolpa,2068/69,"Goitre,Cretinism",0
Dolpa,2068/69,Diabetic mellitis,0
Dolpa,2068/69,Obesity,16
Dolpa,2068/69,Dehydration,639
Dolpa,2068/69,Night blindness,17
Jumla,2068/69,Malnutrition,183
Jumla,2068/69,Avitaminoses and othernnutrideficency,394
Jumla,2068/69,Polyneuritis,67
Jumla,2068/69,Anaemia,50
Jumla,2068/69,"Goitre,Cretinism",0
Jumla,2068/69,Diabetic mellitis,0
Jumla,2068/69,Obesity,2
